scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Tyto alba,Animalia,BARN_OWLS_TYTONIDAE,Western Barn Owl,,1,1.03594779881,35.3445982035,Africa,Algeria,DZ,,Algeria - Tiaret,2014-05-10,10:55
Tyto alba,Animalia,BARN_OWLS_TYTONIDAE,Western Barn Owl,,1,1.03,35.34,Africa,Algeria,DZ,,Algeria - Tiaret,2014-05-10,10:55
Hyles livornica,Animalia,Sphingidae,Striped Hawk-moth,,1,2.55007266998,36.5739742613,Africa,Algeria,DZ,,Algeria - Tipaza,2014-04-20,
Pieris brassicae,Animalia,WHITES_PIERIDAE,Large White,,10,2.55116701126,36.5752322165,Africa,Algeria,DZ,,Algeria - Tipaza,2014-04-20,
Lycaena phlaeas,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Small Copper,,2,2.55041599274,36.5740431909,Africa,Algeria,DZ,,Algeria - Tipaza,2014-04-20,
Ficedula hypoleuca,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,European Pied Flycatcher,,1,2.55073785782,36.5757147145,Africa,Algeria,DZ,,Algeria - Tipaza,2014-04-20,
Iphiclides feisthamelii,Animalia,SWALLOWTAILS_PAPILIONIDAE,Iberian scarce swallowtail,,1,2.54990101,36.57390533,Africa,Algeria,DZ,,Algeria - Tipaza,2014-04-20,
Orthetrum chrysostigma,Animalia,SKIMMERS_LIBELLULIDAE,Epaulet Skimmer,,1,2.54990100861,36.5739053317,Africa,Algeria,DZ,,Algeria - Tipaza,2014-04-20,
Iphiclides feisthamelii,Animalia,SWALLOWTAILS_PAPILIONIDAE,Iberian scarce swallowtail,,1,2.45851278,36.59452978,Africa,Algeria,DZ,,Algeria - Tipaza Chenoua NP,2014-04-18,
Euchloe belemia,Animalia,WHITES_PIERIDAE,Green-striped White,,6,-0.133209228516,35.7654577982,Africa,Algeria,DZ,,Algeria - Oran,2014-04-12,
Himantopus himantopus,Animalia,STILTS_AND_AVOCETS_RECURVIROSTRIDAE,Black-winged Stilt,,120,-0.129089355469,35.7643434797,Africa,Algeria,DZ,,Algeria - Oran,2014-04-12,
Accipiter nisus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Eurasian Sparrowhawk,,1,2.44012356,36.59520166,Africa,Algeria,DZ,,Algeria - Tipaza Chenoua NP,2014-04-19,
Danaus chrysippus,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,African Monarch,,1,2.76739597321,36.3595477575,Africa,Algeria,DZ,,Algeria - Chrea NP,2014-04-15,
Anthocharis belia,Animalia,WHITES_PIERIDAE,Moroccan Orange-tip,,1,2.71611213684,36.2960692493,Africa,Algeria,DZ,,Algeria - Chrea NP,2014-04-15,
Pieris brassicae,Animalia,WHITES_PIERIDAE,Large White,,1,2.71611213684,36.2960692493,Africa,Algeria,DZ,,Algeria - Chrea NP,2014-04-15,
Coenonympha pamphilus,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Small Heath,,1,2.71611213684,36.2960692493,Africa,Algeria,DZ,,Algeria - Chrea NP,2014-04-15,
Lasiommata megera,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Wall Brown,,1,2.3558807373,36.5767658603,Africa,Algeria,DZ,,Algeria - Tipaza,2014-04-17,
Vanessa atalanta,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Red Admiral,,1,2.37090110779,36.5721476049,Africa,Algeria,DZ,,Algeria - Tipaza,2014-04-17,
Lycaena phlaeas,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Small Copper,,2,2.3700428009,36.5749048055,Africa,Algeria,DZ,,Algeria - Tipaza,2014-04-17,
Polyommatus celina,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Southern Common Blue,,6,2.3700428009,36.5749048055,Africa,Algeria,DZ,,Algeria - Tipaza,2014-04-17,
Anthocharis belia,Animalia,WHITES_PIERIDAE,Moroccan Orange-tip,,5,2.3700428009,36.5749048055,Africa,Algeria,DZ,,Algeria - Tipaza,2014-04-17,
