scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Marmota marmota,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Alpine Marmot,,1,1.72098409384,42.5433740242,Europe,Andorra,AD,,Andorra - Pas de la Casa,2013-07-02,
Marmota marmota,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Alpine Marmot,,4,1.48601621389,42.6360414953,Europe,Andorra,AD,,Andorra,2014-08-30,
Gyps fulvus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Griffon Vulture,,20,1.48601621389,42.6360414953,Europe,Andorra,AD,,Andorra,2014-08-30,
Anthus spinoletta,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Water Pipit,,50,1.48601621389,42.6360414953,Europe,Andorra,AD,,Andorra,2014-08-30,
Arctostaphylos uva-ursi,Plantae,ERICACEAE,Bearberry,,1,1.49960249657,42.4408132688,Europe,Andorra,AD,,Andorra,2014-08-09,17:05
Vaccinium myrtillus,Plantae,ERICACEAE,Bilberry,,1,1.50034897421,42.4407152025,Europe,Andorra,AD,,Andorra,2014-08-09,16:51
Pyrgus andromedae,Animalia,SKIPPERS_HESPERIIDAE,Alpine Grizzled Skipper,,6,1.63722038269,42.6122961245,Europe,Andorra,AD,,Andorra,2014-05-20,
Gyps fulvus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Griffon Vulture,,1,1.52787208557,42.5027943651,Europe,Andorra,AD,,Andorra,2014-07-10,
Rana temporaria,Animalia,Ranidae,Common Frog,,1,1.47773,42.637637,Europe,Andorra,AD,,Andorra,2007-08-15,
Lycaena virgaureae,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Scarce Copper,,1,1.5,42.45,Europe,Andorra,AD,,Andorra,2013-07-26,
