scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Anastomus lamelligerus,Animalia,STORKS_CICONIIDAE,African Openbill,,39,19.8324,-17.8735,Africa,Angola,AO,,Angola - Cuando Cubango,2015-02-26,18:39
Cinnyricinclus leucogaster,Animalia,STARLINGS_STURNIDAE,Violet-backed Starling,,1,19.8319,-17.8742,Africa,Angola,AO,,Angola - Cuando Cubango,2015-02-26,16:05
Laniarius bicolor,Animalia,HELMETSHRIKES_BUSHSHRIKES_MALACONOTIDAE,Swamp Boubou,,1,19.8325,-17.8736,Africa,Angola,AO,,Angola - Cuando Cubango,2015-02-26,07:09
Turdoides hartlaubii,Animalia,Leiothrichidae,Hartlaub's Babbler,,4,19.833,-17.8738,Africa,Angola,AO,,Angola - Cuando Cubango,2015-02-26,06:48
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,30,19.8325,-17.8735,Africa,Angola,AO,,Angola - Cuando Cubango,2015-02-26,06:35
Anastomus lamelligerus,Animalia,STORKS_CICONIIDAE,African Openbill,,1,19.8325,-17.8735,Africa,Angola,AO,,Angola - Cuando Cubango,2015-02-26,06:35
Tyto alba,Animalia,BARN_OWLS_TYTONIDAE,Western Barn Owl,,1,19.8323,-17.8736,Africa,Angola,AO,,Angola - Cuando Cubango,2015-02-25,20:01
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,5,19.8311,-17.8736,Africa,Angola,AO,,Angola - Cuando Cubango,2015-02-25,16:49
Anastomus lamelligerus,Animalia,STORKS_CICONIIDAE,African Openbill,,3,19.832,-17.8737,Africa,Angola,AO,,Angola - Cuando Cubango,2015-02-25,16:37
Anastomus lamelligerus,Animalia,STORKS_CICONIIDAE,African Openbill,,2,19.832,-17.8744,Africa,Angola,AO,,Angola - Cuando Cubango,2015-02-25,16:10
Megaptera novaeangliae,Animalia,RORQUAL_WHALES_BALAENOPTERIDAE,Humpback Whale,,2,11.7297935486,-5.11291526767,Africa,Angola,AO,,Angola,2014-09-27,
Ceryle rudis,Animalia,KINGFISHERS_ALCEDINIDAE,Pied Kingfisher,,1,12.6013183594,-6.03062786203,Africa,Angola,AO,,Angola - Zaire,2013-01-27,
Corvus albus,Animalia,CROWS_AND_JAYS_CORVIDAE,Pied Crow,,30,13.056049346924,-5.864500481913,Africa,Angola,AO,,Angola - Zaire,2013-01-27,
