scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Margarops fuscatus,Animalia,THRASHERS_MIMIDAE,Pearly-eyed Thrasher,,2,-63.0961272866,18.1709707602,South America,Anguilla,AI,,Anguilla,2014-05-11,
Pelecanus occidentalis,Animalia,PELICANS_PELECANIDAE,Brown Pelican,,3,-63.0973932892,18.1696863378,South America,Anguilla,AI,,Anguilla,2014-05-11,
Thalasseus maximus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Royal Tern,,6,-63.096427694,18.1671378527,South America,Anguilla,AI,,Anguilla,2014-05-11,
Fregata magnificens,Animalia,FRIGATEBIRDS_FREGATTIDAE,Magnificent Frigatebird,,100,-63.244739770889,18.279236261417,South America,Anguilla,AI,,Anguilla,2013-05-04,14:00
Sula leucogaster,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Brown Booby,,1,-63.244739770889,18.279236261417,South America,Anguilla,AI,,Anguilla,2013-05-04,14:00
Anous stolidus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Brown Noddy,,1,-63.244739770889,18.279236261417,South America,Anguilla,AI,,Anguilla,2013-05-04,14:00
Phaethon aethereus,Animalia,TROPICBIRDS_PHAETHONTIDAE,Red-billed Tropicbird,,1,-63.244739770889,18.279236261417,South America,Anguilla,AI,,Anguilla,2013-05-04,14:00
Onychoprion fuscatus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Sooty Tern,,1,-63.244739770889,18.279236261417,South America,Anguilla,AI,,Anguilla,2013-05-04,14:00
Sula dactylatra,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Masked Booby,,2,-63.244739770889,18.279236261417,South America,Anguilla,AI,,Anguilla,2013-05-04,14:00
Phaethon aethereus,Animalia,TROPICBIRDS_PHAETHONTIDAE,Red-billed Tropicbird,,2,-63.243712484837,18.278747263106,South America,Anguilla,AI,,Anguilla,2013-05-05,
Fregata magnificens,Animalia,FRIGATEBIRDS_FREGATTIDAE,Magnificent Frigatebird,,250,-63.238648474216,18.281273739542,South America,Anguilla,AI,,Anguilla,2013-05-05,
Onychoprion anaethetus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Bridled Tern,,1,-63.1763043403,18.2643766124,South America,Anguilla,AI,,Anguilla,2012-05-13,
Anous stolidus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Brown Noddy,,3,-63.176436984,18.2647915473,South America,Anguilla,AI,,Anguilla,2012-05-13,
Sula leucogaster,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Brown Booby,,30,-63.176801842,18.265497463,South America,Anguilla,AI,,Anguilla,2012-05-13,12:00
