scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Thalasseus acuflavidus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Cabot's Tern,,1,-61.8507069945,17.1544564794,North America,Antigua and Barbuda,AG,,Antigua and Barbuda,2011-03-29,06:00
Ischnura ramburii,Animalia,POND_DAMSELS_COENAGRIONIDAE,Rambur's Forktail,,1,-61.78942,17.08602,North America,Antigua and Barbuda,AG,,Antigua and Barbuda,2006-01-10,
Erythrodiplax umbrata,Animalia,SKIMMERS_LIBELLULIDAE,Band-winged Dragonlet,,1,-61.78942,17.08602,North America,Antigua and Barbuda,AG,,Antigua and Barbuda,2006-01-10,
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,33,-61.848786924955,17.1216772342803,North America,Antigua and Barbuda,AG,,Antigua and Barbuda,2018-01-08,06:34
Fregata magnificens,Animalia,FRIGATEBIRDS_FREGATTIDAE,Magnificent Frigatebird,,2,-61.8487336944716,17.1216275185958,North America,Antigua and Barbuda,AG,,Antigua and Barbuda,2018-01-08,06:34
Egretta thula,Animalia,HERONS_ARDEIDAE,Snowy Egret,,1,-61.8479804248086,17.121360814636,North America,Antigua and Barbuda,AG,,Antigua and Barbuda,2018-01-08,06:59
Ardea alba egretta,Animalia,HERONS_ARDEIDAE,American Great Egret,,1,-61.8014870826397,17.1124105041914,North America,Antigua and Barbuda,AG,,Antigua and Barbuda,2018-01-08,09:44
Pandion haliaetus,Animalia,OSPREY_PANDIONIDAE,Western Osprey,,1,-61.6784873628964,17.1002121162167,North America,Antigua and Barbuda,AG,,Antigua and Barbuda,2018-01-08,10:38
Patagioenas leucocephala,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,White-crowned Pigeon,,2,-61.890007287173,17.0577578884907,North America,Antigua and Barbuda,AG,,Antigua and Barbuda,2018-01-08,12:44
Fregata magnificens,Animalia,FRIGATEBIRDS_FREGATTIDAE,Magnificent Frigatebird,,6,-61.8501337311542,17.1216065918661,North America,Antigua and Barbuda,AG,,Antigua and Barbuda,2018-01-08,16:26
Thalasseus acuflavidus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Cabot's Tern,,1,-61.890206113458,17.040167334949,North America,Antigua and Barbuda,AG,,Antigua and Barbuda,2011-06-18,
Gallinula galeata,Animalia,RAILS_RALLIDAE,Common Gallinule,,1,-61.876026280224,17.124180768052,North America,Antigua and Barbuda,AG,,Antigua and Barbuda,2011-06-18,
