scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Spindalis zena,Animalia,SPINDALIDAE,Western Spindalis,,3,-78.0518618133,25.1461470876,North America,Bahamas, The",BS,,,2014-10-18
Icterus northropi,Animalia,ICTERIDS_ICTERIDAE,Bahama Oriole,,2,-78.0518618133,25.1461470876,North America,Bahamas, The",BS,,,2014-10-18
Chordeiles gundlachii,Animalia,NIGHTJARS_CAPRIMULGIDAE,Antillean Nighthawk,,5,-77.3434495926,25.0769311664,North America,Bahamas, The",BS,,,2010-05-27
Nyctanassa violacea,Animalia,HERONS_ARDEIDAE,Yellow-crowned Night Heron,,1,-77.3018860817,25.0781361343,North America,Bahamas, The",BS,,,2010-05-27
Phalacrocorax brasilianus,Animalia,CORMORANTS_PHALACROCORACIDAE,Neotropic Cormorant,,2,-77.3098468781,25.083500041,North America,Bahamas, The",BS,,,2010-05-27
Leucophaeus atricilla,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Laughing Gull,,5,-77.3407673836,25.0810318957,North America,Bahamas, The",BS,,,2010-05-27
Chordeiles gundlachii,Animalia,NIGHTJARS_CAPRIMULGIDAE,Antillean Nighthawk,,2,-77.3407673836,25.0810318957,North America,Bahamas, The",BS,,,2010-05-27
Patagioenas leucocephala,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,White-crowned Pigeon,,15,-77.3105335236,25.0830919259,North America,Bahamas, The",BS,,,2010-05-27
Tiaris bicolor,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Black-faced Grassquit,,2,-77.3105335236,25.0830919259,North America,Bahamas, The",BS,,,2010-05-27
Gallinula galeata,Animalia,RAILS_RALLIDAE,Common Gallinule,,13,-77.313709259,25.0835972111,North America,Bahamas, The",BS,,,2010-05-27
Columbina passerina,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Common Ground Dove,,2,-77.313709259,25.0835972111,North America,Bahamas, The",BS,,,2010-05-27
Butorides virescens,Animalia,HERONS_ARDEIDAE,Green Heron,,1,-77.313709259,25.0835972111,North America,Bahamas, The",BS,,,2010-05-27
Turdus plumbeus,Animalia,THRUSHES_TURDIDAE,Red-legged Thrush,,5,-77.313709259,25.0835972111,North America,Bahamas, The",BS,,,2010-05-27
Tachybaptus dominicus,Animalia,GREBES_PODICIPEDIDAE,Least Grebe,,1,-77.3042464256,25.082897585,North America,Bahamas, The",BS,,,2010-05-27
Calonectris borealis,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Cory's Shearwater,,1,-79.2553710938,26.7701350822,North America,Bahamas, The",BS,,,2010-05-28
Sula dactylatra,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Masked Booby,,1,-79.2553710938,26.7701350822,North America,Bahamas, The",BS,,,2010-05-28
Leucophaeus atricilla,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Laughing Gull,,1,-79.290561676025,25.734189199235,North America,Bahamas, The",BS,,,1979-03-15
Ardea herodias,Animalia,HERONS_ARDEIDAE,Great Blue Heron,,1,-78.05346700000001,27.154966,North America,Bahamas, The",BS,,,2017-10-17
Setophaga flavescens,Animalia,NEW_WORLD_WARBLERS_PARULIDAE,Bahama Warbler,,4,-77.9459381,24.7854878,North America,Bahamas, The",BS,,,2014-10-18
Mimus polyglottos,Animalia,THRASHERS_MIMIDAE,Northern Mockingbird,,5,-78.7080498832746,26.5139750351481,North America,Bahamas, The",BS,,,2016-07-30
Leucophaeus atricilla,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Laughing Gull,,2,-78.7623487922414,26.517021786631,North America,Bahamas, The",BS,,,2016-07-30
Leucophaeus atricilla,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Laughing Gull,,50,-78.7729267843503,26.5194872444516,North America,Bahamas, The",BS,,,2016-07-30
Mimus polyglottos,Animalia,THRASHERS_MIMIDAE,Northern Mockingbird,,10,-78.702192286672,26.5107435257992,North America,Bahamas, The",BS,,,2016-07-29
Columbina passerina,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Common Ground Dove,,1,-78.7020203237068,26.5107774748811,North America,Bahamas, The",BS,,,2016-07-30
Himantopus mexicanus,Animalia,STILTS_AND_AVOCETS_RECURVIROSTRIDAE,Black-necked Stilt,,5,-78.701560471875,26.511393162277,North America,Bahamas, The",BS,,,2016-07-30
Tachybaptus dominicus,Animalia,GREBES_PODICIPEDIDAE,Least Grebe,,10,-78.7015803283563,26.5113220374492,North America,Bahamas, The",BS,,,2016-07-30
Anas bahamensis,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,White-cheeked Pintail,,2,-78.7015642390182,26.5113596095064,North America,Bahamas, The",BS,,,2016-07-30
Crotophaga ani,Animalia,CUCKOOS_AND_COUCALS_CUCULIDAE,Smooth-billed Ani,,4,-78.7015511389181,26.5113890018292,North America,Bahamas, The",BS,,,2016-07-30
Gallinula galeata,Animalia,RAILS_RALLIDAE,Common Gallinule,,1,-78.7015966377902,26.5113475503201,North America,Bahamas, The",BS,,,2016-07-30
Mimus polyglottos,Animalia,THRASHERS_MIMIDAE,Northern Mockingbird,,10,-78.7015614029817,26.5113433380734,North America,Bahamas, The",BS,,,2016-07-30
Columbina passerina,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Common Ground Dove,,1,-78.5697144037901,26.5860010035515,North America,Bahamas, The",BS,,,2016-07-29
Cathartes aura,Animalia,NEW_WORLD_VULTURES_CATHARTIDAE,Turkey Vulture,,2,-78.4345774798033,26.5979101255344,North America,Bahamas, The",BS,,,2016-07-29
Spindalis zena townsendi,Animalia,SPINDALIDAE,Western Spindalis ssp townsendi,,1,-78.401680392521,26.605386596991,North America,Bahamas, The",BS,,,2016-07-29
Spindalis zena townsendi,Animalia,SPINDALIDAE,Western Spindalis ssp townsendi,,5,-78.400876603161,26.6056969699786,North America,Bahamas, The",BS,,,2016-07-29
Vireo altiloquus,Animalia,VIREOS_VIREONIDAE,Black-whiskered Vireo,,1,-78.4048613194892,26.6004917518701,North America,Bahamas, The",BS,,,2016-07-29
Vireo crassirostris crassirostris,Animalia,VIREOS_VIREONIDAE,Thick-billed Vireo ssp crassirostris,,4,-78.404887910359,26.600596191185,North America,Bahamas, The",BS,,,2016-07-29
Loxigilla violacea violacea,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Greater Antillean Bullfinch ssp violacea,,2,-78.404921625292,26.600542293859,North America,Bahamas, The",BS,,,2016-07-29
Sternula antillarum,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Least Tern,,10,-78.6180007319868,26.5207621417433,North America,Bahamas, The",BS,,,2016-07-28
Thalasseus acuflavidus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Cabot's Tern,,4,-78.6180061787035,26.5207517198786,North America,Bahamas, The",BS,,,2016-07-28
Thalasseus maximus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Royal Tern,,10,-78.6179998787166,26.5207672289513,North America,Bahamas, The",BS,,,2016-07-28
Crotophaga ani,Animalia,CUCKOOS_AND_COUCALS_CUCULIDAE,Smooth-billed Ani,,4,-78.7019205144836,26.5110186497956,North America,Bahamas, The",BS,,,2016-07-28
Columbina passerina,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Common Ground Dove,,1,-78.7018270710882,26.5110689627591,North America,Bahamas, The",BS,,,2016-07-28
Mimus polyglottos,Animalia,THRASHERS_MIMIDAE,Northern Mockingbird,,1,-78.7017794723551,26.5110845028402,North America,Bahamas, The",BS,,,2016-07-28
Sternula antillarum,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Least Tern,,2,-78.7017755050541,26.5111156146836,North America,Bahamas, The",BS,,,2016-07-28
Tachybaptus dominicus,Animalia,GREBES_PODICIPEDIDAE,Least Grebe,,10,-78.701764760649,26.5111245235498,North America,Bahamas, The",BS,,,2016-07-28
Anas bahamensis,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,White-cheeked Pintail,,2,-78.7017552331214,26.5111202738055,North America,Bahamas, The",BS,,,2016-07-28
Gallinula galeata,Animalia,RAILS_RALLIDAE,Common Gallinule,,2,-78.7017548696099,26.5111247331438,North America,Bahamas, The",BS,,,2016-07-28
Tachybaptus dominicus,Animalia,GREBES_PODICIPEDIDAE,Least Grebe,,10,-78.7021697,26.5107104,North America,Bahamas, The",BS,,,2016-07-27
Mimus polyglottos,Animalia,THRASHERS_MIMIDAE,Northern Mockingbird,,10,-78.703674125055,26.5112544371904,North America,Bahamas, The",BS,,,2016-07-27
Columbina passerina,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Common Ground Dove,,1,-78.7042399543136,26.493420925156,North America,Bahamas, The",BS,,,2016-07-27
Mimus polyglottos,Animalia,THRASHERS_MIMIDAE,Northern Mockingbird,,10,-78.6935084724992,26.4995177402951,North America,Bahamas, The",BS,,,2016-07-27
Sternula antillarum,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Least Tern,,1,-78.6881650239229,26.4909975471267,North America,Bahamas, The",BS,,,2016-07-27
Charadrius melodus,Animalia,PLOVERS_CHARADRIIDAE,Piping Plover,,1,-78.6889462380765,26.4912650087207,North America,Bahamas, The",BS,,,2016-07-27
Thalasseus maximus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Royal Tern,,10,-78.6889431528297,26.49127931903,North America,Bahamas, The",BS,,,2016-07-27
Calidris alba,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Sanderling,,2,-78.6889252886547,26.4912411881714,North America,Bahamas, The",BS,,,2016-07-27
Charadrius wilsonia,Animalia,PLOVERS_CHARADRIIDAE,Wilson's Plover,,3,-78.6889597412034,26.4912791547124,North America,Bahamas, The",BS,,,2016-07-27
Himantopus mexicanus,Animalia,STILTS_AND_AVOCETS_RECURVIROSTRIDAE,Black-necked Stilt,,1,-78.7016171598005,26.5111629715318,North America,Bahamas, The",BS,,,2016-07-26
Falco sparverius,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,American Kestrel,,2,-78.7017166492929,26.5113354279006,North America,Bahamas, The",BS,,,2016-07-26
