scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Phalacrocorax nigrogularis,Animalia,CORMORANTS_PHALACROCORACIDAE,Socotra Cormorant,,10001,50.7741737366,25.6605804753,Asia,Bahrain,BH,,Bahrain - Hawar Islands,2000-10-23,
Phalacrocorax nigrogularis,Animalia,CORMORANTS_PHALACROCORACIDAE,Socotra Cormorant,,100,50.7671356201,25.6661197254,Asia,Bahrain,BH,,Bahrain - Hawar Islands,2000-10-22,
Hypocolius ampelinus,Animalia,Hypocoliidae,Grey Hypocolius,,50,50.4870700836,26.1949896315,Asia,Bahrain,BH,,Bahrain,2000-10-20,
Oenanthe pleschanka,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Pied Wheatear,,10,50.586977005,26.2850373661,Asia,Bahrain,BH,,Bahrain - Al Muharraq,2000-10-21,
Oenanthe isabellina,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Isabelline Wheatear,,20,50.586977005,26.2850373661,Asia,Bahrain,BH,,Bahrain - Al Muharraq,2000-10-21,
Gelochelidon nilotica,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Gull-billed Tern,,15,50.586977005,26.2850373661,Asia,Bahrain,BH,,Bahrain - Al Muharraq,2000-10-21,
Xenus cinereus,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Terek Sandpiper,,15,50.580368042,26.2009710246,Asia,Bahrain,BH,,Bahrain - Manamah,2000-10-21,
Oenanthe pleschanka,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Pied Wheatear,,20,50.5887794495,26.283954847,Asia,Bahrain,BH,,Bahrain - Al Muharraq,2000-10-20,
Oenanthe isabellina,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Isabelline Wheatear,,20,50.5887794495,26.283954847,Asia,Bahrain,BH,,Bahrain - Al Muharraq,2000-10-20,
Gelochelidon nilotica,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Gull-billed Tern,,25,50.5948734283,26.2639751689,Asia,Bahrain,BH,,Bahrain - Al Muharraq,2000-10-20,
Xenus cinereus,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Terek Sandpiper,,20,50.5948734283,26.2639751689,Asia,Bahrain,BH,,Bahrain - Al Muharraq,2000-10-20,
Phalacrocorax nigrogularis,Animalia,CORMORANTS_PHALACROCORACIDAE,Socotra Cormorant,,2,50.5673217773,26.2195190891,Asia,Bahrain,BH,,Bahrain - Manamah,2009-09-14,
Pycnonotus leucotis,Animalia,BULBULS_PYCNONOTIDAE,White-eared Bulbul,,2,50.5673217773,26.2195190891,Asia,Bahrain,BH,,Bahrain - Manamah,2009-09-14,
Chroicocephalus genei,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Slender-billed Gull,,40,50.5223007202148,26.2355918884277,Asia,Bahrain,BH,,Bahrain - Manamah,2020-02-02,13:43
Hydroprogne caspia,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Caspian Tern,,2,50.5222930908203,26.2355842590332,Asia,Bahrain,BH,,Bahrain - Manamah,2020-02-02,13:47
Spilopelia senegalensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Laughing Dove,,2,50.5798149108887,26.2279949188232,Asia,Bahrain,BH,,Bahrain - Manamah,2020-02-02,15:24
Spilopelia senegalensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Laughing Dove,,1,50.6243782043457,26.2712001800537,Asia,Bahrain,BH,,Bahrain - Al Muharraq,2019-11-17,09:21
Passer domesticus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,,1,50.6243705749512,26.2711715698242,Asia,Bahrain,BH,,Bahrain - Al Muharraq,2019-11-17,09:23
Chroicocephalus genei,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Slender-billed Gull,,1,50.60012628,26.2405861,Asia,Bahrain,BH,,Bahrain - Manamah,2018-12-14,14:15
Spilopelia senegalensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Laughing Dove,,1,50.59782118,26.24163506,Asia,Bahrain,BH,,Bahrain - Manamah,2018-12-14,14:15
Passer domesticus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,,1,50.59782118,26.24163506,Asia,Bahrain,BH,,Bahrain - Manamah,2018-12-14,14:15
Motacilla alba,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,White Wagtail,,1,50.60012628,26.2405861,Asia,Bahrain,BH,,Bahrain - Manamah,2018-12-14,14:15
Hydroprogne caspia,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Caspian Tern,,1,50.60012628329042,26.24058610296458,Asia,Bahrain,BH,,Bahrain - Manamah,2018-12-14,14:15
Camelus dromedarius,Animalia,CAMELS_AND_LLAMAS_CAMELIDAE,Dromedary,,1,50.50300777,26.01513542,Asia,Bahrain,BH,,Bahrain,2010-01-23,
Pycnonotus leucotis,Animalia,BULBULS_PYCNONOTIDAE,White-eared Bulbul,,1,50.5180268,26.04706643,Asia,Bahrain,BH,,Bahrain,2010-01-23,
