scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Parus cinereus,Animalia,TITS_PARIDAE,Cinereous Tit,,1,91.77833086,24.30317022,Asia,Bangladesh,BD,,Bangladesh - Sylhet,2015-02-23,13:47
Tyto javanica stertens,Animalia,BARN_OWLS_TYTONIDAE,Eastern Barn Owl ssp stertens,,16,90.40147509,23.89033054,Asia,Bangladesh,BD,,Bangladesh - Dhaka,2015-02-24,18:29
Surniculus lugubris,Animalia,CUCKOOS_AND_COUCALS_CUCULIDAE,Square-tailed Drongo-Cuckoo,,1,91.78509415,24.32688488,Asia,Bangladesh,BD,,Bangladesh - Sylhet,2015-02-23,11:39
Megalurus palustris,Animalia,Locustellidae,Striated Grassbird,,5,91.70608305,24.37055243,Asia,Bangladesh,BD,,Bangladesh - Sylhet,2015-02-22,15:52
Tringa guttifer,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Nordmann's Greenshank,,3,91.86410643,21.55626046,Asia,Bangladesh,BD,,Bangladesh,2015-02-15,10:09
Calidris pygmaea,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Spoon-billed Sandpiper,,3,91.86397824,21.55645338,Asia,Bangladesh,BD,,Bangladesh,2015-02-15,10:20
Charadrius leschenaultii,Animalia,PLOVERS_CHARADRIIDAE,Greater Sand Plover,,30,91.8639753,21.5564063,Asia,Bangladesh,BD,,Bangladesh,2015-02-15,10:30
Parus cinereus planorum,Animalia,TITS_PARIDAE,Cinereous Tit ssp planorum,,2,91.97573688,21.43484254,Asia,Bangladesh,BD,,Bangladesh - Chittagong,2015-02-14,10:02
Charadrius leschenaultii,Animalia,PLOVERS_CHARADRIIDAE,Greater Sand Plover,,55,91.8449717,21.54398297,Asia,Bangladesh,BD,,Bangladesh - Chittagong,2015-02-14,13:23
Calidris pygmaea,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Spoon-billed Sandpiper,,8,91.85969294,21.55643772,Asia,Bangladesh,BD,,Bangladesh,2015-02-14,15:17
Dicrurus hottentottus,Animalia,DRONGOS_DICRURIDAE,Hair-crested Drongo,,1,89.5092771202,22.5815537738,Asia,Bangladesh,BD,,Bangladesh - Khulna,2014-12-04,
Argya striata,Animalia,Leiothrichidae,Jungle Babbler,,1,89.82813835,24.38524335,Asia,Bangladesh,BD,,Bangladesh - Dhaka,2012-09-04,
Riparia chinensis chinensis,Animalia,SWALLOWS_HIRUNDINIDAE,Grey-throated Martin ssp chinensis,,1,89.83411789,24.39216675,Asia,Bangladesh,BD,,Bangladesh - Dhaka,2012-09-11,
Lanius cristatus,Animalia,SHRIKES_LANIIDAE,Brown Shrike,,1,89.83411789,24.39216675,Asia,Bangladesh,BD,,Bangladesh - Dhaka,2012-09-06,
Acridotheres ginginianus,Animalia,STARLINGS_STURNIDAE,Bank Myna,,1,89.83411789,24.39216675,Asia,Bangladesh,BD,,Bangladesh - Dhaka,2012-09-05,
Dendrocopos macei,Animalia,WOODPECKERS_PICIDAE,Fulvous-breasted Woodpecker,,1,89.83411789,24.39216675,Asia,Bangladesh,BD,,Bangladesh - Dhaka,2012-09-05,
Psilopogon lineatus,Animalia,Megalaimidae,Lineated Barbet,,1,89.83411789,24.39216675,Asia,Bangladesh,BD,,Bangladesh - Dhaka,2012-09-05,
Upupa epops,Animalia,HOOPOES_UPUPIDAE,Eurasian Hoopoe,,1,89.83411789,24.39216675,Asia,Bangladesh,BD,,Bangladesh - Dhaka,2012-09-05,
Dicrurus macrocercus,Animalia,DRONGOS_DICRURIDAE,Black Drongo,,1,90.08560178,23.97094438,Asia,Bangladesh,BD,,Bangladesh - Dhaka,2012-09-03,
Columba livia,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Rock Dove,,1,90.08560178,23.97094438,Asia,Bangladesh,BD,,Bangladesh - Dhaka,2012-09-03,
Lanius schach,Animalia,SHRIKES_LANIIDAE,Long-tailed Shrike,,1,90.08560178,23.97094438,Asia,Bangladesh,BD,,Bangladesh - Dhaka,2012-09-03,
Coracias benghalensis,Animalia,ROLLERS_CORACIIDAE,Indian Roller,,1,90.08560178,23.97094438,Asia,Bangladesh,BD,,Bangladesh - Dhaka,2012-09-03,
Elanus caeruleus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Black-winged Kite,,1,90.08560178,23.97094438,Asia,Bangladesh,BD,,Bangladesh - Dhaka,2012-09-03,
Corvus culminatus,Animalia,CROWS_AND_JAYS_CORVIDAE,Indian Jungle Crow,,1,90.43487549,23.73557204,Asia,Bangladesh,BD,,Bangladesh - Dhaka,2012-09-01,
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,1,90.43487549,23.73557204,Asia,Bangladesh,BD,,Bangladesh - Dhaka,2012-09-01,
Gracupica contra,Animalia,STARLINGS_STURNIDAE,Pied Myna,,1,90.43487549,23.73557204,Asia,Bangladesh,BD,,Bangladesh - Dhaka,2012-09-01,
Eudynamys scolopaceus,Animalia,CUCKOOS_AND_COUCALS_CUCULIDAE,Asian Koel,,1,90.43487549,23.73557204,Asia,Bangladesh,BD,,Bangladesh - Dhaka,2012-09-01,
Corvus splendens,Animalia,CROWS_AND_JAYS_CORVIDAE,House Crow,,1,90.43,23.73,Asia,Bangladesh,BD,,Bangladesh - Dhaka,2012-09-01,
Chroicocephalus brunnicephalus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Brown-headed Gull,,5,91.250443897,22.208319223,Asia,Bangladesh,BD,,Bangladesh - Chittagong,2017-01-20,15:35
Clanga hastata,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Indian Spotted Eagle,,3,90.5183580248531,22.7469568345857,Asia,Bangladesh,BD,,Bangladesh - Barisal,2017-01-16,12:12
Falco jugger,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Laggar Falcon,,1,90.59962925,22.81213758,Asia,Bangladesh,BD,,Bangladesh - Barisal,2017-01-16,16:04
Pluvialis fulva,Animalia,PLOVERS_CHARADRIIDAE,Pacific Golden Plover,,70,90.7605447310335,22.6447746154871,Asia,Bangladesh,BD,,Bangladesh - Barisal,2017-01-17,11:19
Orcaella brevirostris,Animalia,DOLPHINS_DELPHINIDAE,Irrawaddy Dolphin,,1,90.5678952412605,21.9925888222565,Asia,Bangladesh,BD,,Bangladesh - Barisal,2017-01-23,08:57
Spilornis cheela,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Crested Serpent Eagle,,1,90.6480803923478,21.964929328725,Asia,Bangladesh,BD,,Bangladesh - Barisal,2017-01-22,08:02
Hierococcyx varius,Animalia,CUCKOOS_AND_COUCALS_CUCULIDAE,Common Hawk-Cuckoo,,1,90.6530866723671,21.9732384184529,Asia,Bangladesh,BD,,Bangladesh - Barisal,2017-01-22,08:53
Heliopais personatus,Animalia,FINFOOTS_HELIORNITHIDAE,Masked Finfoot,,1,89.6956584920642,22.18183014975,Asia,Bangladesh,BD,,Bangladesh - Khulna,2017-01-26,16:46
Halcyon pileata,Animalia,KINGFISHERS_ALCEDINIDAE,Black-capped Kingfisher,,1,89.7316503932799,21.9206362546379,Asia,Bangladesh,BD,,Bangladesh,2017-01-27,07:17
Pelargopsis amauroptera,Animalia,KINGFISHERS_ALCEDINIDAE,Brown-winged Kingfisher,,1,89.7323366920717,21.9193554638892,Asia,Bangladesh,BD,,Bangladesh - Khulna,2017-01-27,07:21
Centropus sinensis,Animalia,CUCKOOS_AND_COUCALS_CUCULIDAE,Greater Coucal,,3,89.7528489719866,21.9152456181274,Asia,Bangladesh,BD,,Bangladesh - Khulna,2017-01-27,08:16
Pelargopsis amauroptera,Animalia,KINGFISHERS_ALCEDINIDAE,Brown-winged Kingfisher,,1,89.7534556834693,21.916152793258,Asia,Bangladesh,BD,,Bangladesh - Khulna,2017-01-27,08:24
Macaca mulatta,Animalia,OLD_WORLD_MONKEYS_CERCOPITHECIDAE,Rhesus Macaque,,3,89.7536026402292,21.9173073373335,Asia,Bangladesh,BD,,Bangladesh - Khulna,2017-01-27,08:27
Axis axis,Animalia,DEER_CERVIDAE,Chital,,20,89.7785908857706,21.8559995435125,Asia,Bangladesh,BD,,Bangladesh - Khulna,2017-01-27,12:53
Macaca mulatta,Animalia,OLD_WORLD_MONKEYS_CERCOPITHECIDAE,Rhesus Macaque,,5,89.7824462756778,21.8567527580663,Asia,Bangladesh,BD,,Bangladesh - Khulna,2017-01-27,13:07
