scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Periparus ater,Animalia,TITS_PARIDAE,Coal Tit,,1,4.36855338,51.35753565,Europe,Belgium,BE,,Grenspark Kalmthoutse Heide - Wildernissen,2019-12-08,
Lophophanes cristatus,Animalia,TITS_PARIDAE,European Crested Tit,,1,4.34576534,51.35820562,Europe,Belgium,BE,,Grenspark Kalmthoutse Heide - Wildernissen,2019-11-24,
Turdus merula,Animalia,THRUSHES_TURDIDAE,Common Blackbird,,1,4.36707281,51.35884877,Europe,Belgium,BE,,Grenspark Kalmthoutse Heide - Wildernissen,2019-11-24,
Erithacus rubecula,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,European Robin,,1,4.36555635,51.36221349,Europe,Belgium,BE,,Grenspark Kalmthoutse Heide - Wildernissen,2019-11-24,
Lophophanes cristatus,Animalia,TITS_PARIDAE,European Crested Tit,,1,4.35844682,51.36001448,Europe,Belgium,BE,,Grenspark Kalmthoutse Heide - Wildernissen,2019-11-22,
Lophophanes cristatus,Animalia,TITS_PARIDAE,European Crested Tit,,1,4.35467027,51.3602363,Europe,Belgium,BE,,Grenspark Kalmthoutse Heide - Wildernissen,2019-11-22,
Periparus ater,Animalia,TITS_PARIDAE,Coal Tit,,1,4.36628591,51.35730283,Europe,Belgium,BE,,Grenspark Kalmthoutse Heide - Wildernissen,2019-11-22,
Lophophanes cristatus,Animalia,TITS_PARIDAE,European Crested Tit,,1,4.35370534,51.3632468,Europe,Belgium,BE,,Grenspark Kalmthoutse Heide - Wildernissen,2019-11-10,
Lophophanes cristatus,Animalia,TITS_PARIDAE,European Crested Tit,,1,4.34819743,51.3643789,Europe,Belgium,BE,,Grenspark Kalmthoutse Heide - Wildernissen,2019-11-10,
Garrulus glandarius,Animalia,CROWS_AND_JAYS_CORVIDAE,Eurasian Jay,,1,4.3490269,51.36276113,Europe,Belgium,BE,,Grenspark Kalmthoutse Heide - Wildernissen,2019-11-10,
