scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Urocyon cinereoargenteus,Animalia,DOGS_CANIDAE,Grey Fox,,1,-88.939961493,17.3090143817,North America,Belize,BZ,,Belize - Cayo,2015-01-18,
Didelphis marsupialis,Animalia,OPOSSUMS_DIDELPHIDAE,Common Opossum,,1,-88.9830062538,17.2213351386,North America,Belize,BZ,,Belize - Cayo,2015-01-16,
Leopardus pardalis,Animalia,CATS_FELIDAE,Ocelot,,1,-88.9423261955,17.3002268238,North America,Belize,BZ,,Belize - Cayo,2015-01-07,
Ascia monuste,Animalia,WHITES_PIERIDAE,,,1,-89.0677211434,17.1573160421,North America,Belize,BZ,,Belize - Cayo,2015-01-03,
Panthiades bathildes,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Zebra-striped Hairstreak,,1,-89.0677211434,17.1573160421,North America,Belize,BZ,,Belize - Cayo,2015-01-03,
Anartia jatrophae,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,White Peacock,,1,-89.0677211434,17.1573160421,North America,Belize,BZ,,Belize - Cayo,2015-01-03,
Heliconius erato,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Red Postman,,1,-89.0677211434,17.1573160421,North America,Belize,BZ,,Belize - Cayo,2015-01-03,
Danaus plexippus,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,American Monarch,,1,-89.0677211434,17.1573160421,North America,Belize,BZ,,Belize - Cayo,2015-01-03,
Chaetodon striatus,Animalia,Butterflyfishes,Banded butterflyfish,,1,-88.0091857945,17.7390077368,North America,Belize,BZ,,Belize - Cay Caulker,2014-11-03,11:00
Stelgidopteryx serripennis,Animalia,SWALLOWS_HIRUNDINIDAE,Northern Rough-winged Swallow,,1,-88.0366864801,17.7286063044,North America,Belize,BZ,,Belize - Cay Caulker,2014-11-04,11:17
Passerculus sandwichensis,Animalia,PASSERELLIDAE,Savannah Sparrow,,4,-88.0283796788,17.734903849,North America,Belize,BZ,,Belize - Cay Caulker,2014-11-04,10:24
Mycteroperca bonaci,Animalia,GROUPERS_AND_FAIRY_BASSLETS,Black grouper,,1,-88.008499149,17.737209232,North America,Belize,BZ,,Belize - Cay Caulker,2014-11-03,11:00
Dumetella carolinensis,Animalia,THRASHERS_MIMIDAE,Grey Catbird,,1,-88.0259187505559,17.7424039228068,North America,Belize,BZ,,Belize - Cay Caulker,2014-11-04,09:51
Eudocimus albus,Animalia,IBISSES_AND_SPOONBILLS_THRESKIORNITHIDAE,American White Ibis,,3,-88.0261081059502,17.7424955247282,North America,Belize,BZ,,Belize - Cay Caulker,2014-11-04,09:54
Streptopelia decaocto,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Eurasian Collared Dove,,6,-88.0260642503893,17.7414715957509,North America,Belize,BZ,,Belize - Cay Caulker,2014-11-04,09:58
Amazilia rutila,Animalia,HUMMINGBIRDS_TROCHILIDAE,Cinnamon Hummingbird,,1,-88.0265256512267,17.741051884651,North America,Belize,BZ,,Belize - Cay Caulker,2014-11-04,10:05
Setophaga ruticilla,Animalia,NEW_WORLD_WARBLERS_PARULIDAE,American Redstart,,1,-88.0263626585023,17.7408914594111,North America,Belize,BZ,,Belize - Cay Caulker,2014-11-04,10:07
