scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Carpodacus pulcherrimus pulcherrimus,Animalia,FINCHES_FRINGILLIDAE,Himalayan Beautiful Rosefinch ssp pulcherrimus,,4,90.7603526115,27.5058289795,Asia,Bhutan,BT,,Bhutan - Chhoekhor,2014-12-21,
Nucifraga caryocatactes macella,Animalia,CROWS_AND_JAYS_CORVIDAE,Spotted Nutcracker ssp macella,,10,89.2004603148,27.4275456052,Asia,Bhutan,BT,,Bhutan - Bji,2014-12-16,15:00
Heterophasia picaoides picaoides,Animalia,Leiothrichidae,Long-tailed Sibia ssp picaoides,,10,91.5471303463,26.9146176951,Asia,Bhutan,BT,,Bhutan - Orong,2014-12-29,09:30
Yungipicus canicapillus semicoronatus,Animalia,WOODPECKERS_PICIDAE,Grey-capped Pygmy Woodpecker ssp semicoronatus,,1,91.473416297,26.8488048665,Asia,Bhutan,BT,,Bhutan - Orong,2014-12-29,11:51
Dicrurus aeneus aeneus,Animalia,DRONGOS_DICRURIDAE,Bronzed Drongo ssp aeneus,,4,91.4801234007,26.8328006771,Asia,Bhutan,BT,,Bhutan - Orong,2014-12-29,13:40
Pycnonotus striatus striatus,Animalia,BULBULS_PYCNONOTIDAE,Striated Bulbul ssp striatus,,4,91.4703655243,27.3009859815,Asia,Bhutan,BT,,Bhutan - Drametse,2014-12-27,
Pycnonotus cafer bengalensis,Animalia,BULBULS_PYCNONOTIDAE,Red-vented Bulbul ssp bengalensis,,20,91.5057689534,27.2724588016,Asia,Bhutan,BT,,Bhutan - Kanglung,2014-12-27,08:45
Parus monticolus yunnanensis,Animalia,TITS_PARIDAE,Green-backed Tit ssp yunnanensis,,6,91.5057689534,27.2724588016,Asia,Bhutan,BT,,Bhutan - Kanglung,2014-12-27,08:45
Buteo burmanicus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Himalayan Buzzard,,2,91.5057689534,27.2724588016,Asia,Bhutan,BT,,Bhutan - Kanglung,2014-12-27,08:45
Heterophasia capistrata bayleyi,Animalia,Leiothrichidae,Rufous Sibia ssp bayleyi,,25,91.329203546,27.3113065499,Asia,Bhutan,BT,,Bhutan - Sherimuhung,2014-12-26,10:50
Pterorhinus albogularis albogularis,Animalia,Leiothrichidae,White-throated Laughingthrush ssp albogularis,,50,91.329203546,27.3113065499,Asia,Bhutan,BT,,Bhutan - Sherimuhung,2014-12-26,10:50
Garrulax leucolophus leucolophus,Animalia,Leiothrichidae,White-crested Laughingthrush ssp leucolophus,,6,91.329203546,27.3113065499,Asia,Bhutan,BT,,Bhutan - Sherimuhung,2014-12-26,10:50
Grammatoptila striata cranbrooki,Animalia,Leiothrichidae,Striated Laughingthrush ssp cranbrooki,,4,91.329203546,27.3113065499,Asia,Bhutan,BT,,Bhutan - Sherimuhung,2014-12-26,10:50
Streptopelia orientalis orientalis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Oriental Turtle Dove ssp orientalis,,15,91.2629771233,27.2631686921,Asia,Bhutan,BT,,Bhutan - Mongar,2014-12-26,09:30
Psilopogon virens magnificus,Animalia,Megalaimidae,Great Barbet ssp magnifica,,1,91.2635457516,27.2624597721,Asia,Bhutan,BT,,Bhutan - Mongar,2014-12-26,07:50
Phoenicurus hodgsoni,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Hodgson's Redstart,,2,91.2233565109,27.2896063063,Asia,Bhutan,BT,,Bhutan - Chali,2014-12-25,16:58
