scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Tyrannus dominicensis,Animalia,TYRANT_FLYCATCHERS_TYRANNIDAE,Grey Kingbird,,1,-68.3519,12.2195,South America,Bonaire, Saint Eustatius and Saba",BQ,,,2015-03-13
Egretta caerulea,Animalia,HERONS_ARDEIDAE,Little Blue Heron,,1,-68.4118,12.2474,South America,Bonaire, Saint Eustatius and Saba",BQ,,,2015-03-13
Icterus nigrogularis,Animalia,ICTERIDS_ICTERIDAE,Yellow Oriole,,1,-68.4124,12.2469,South America,Bonaire, Saint Eustatius and Saba",BQ,,,2015-03-13
Pelecanus occidentalis,Animalia,PELICANS_PELECANIDAE,Brown Pelican,,7,-68.4124,12.2469,South America,Bonaire, Saint Eustatius and Saba",BQ,,,2015-03-13
Egretta thula,Animalia,HERONS_ARDEIDAE,Snowy Egret,,8,-68.4124,12.2469,South America,Bonaire, Saint Eustatius and Saba",BQ,,,2015-03-13
Phoenicopterus ruber,Animalia,FLAMINGOS_PHOENICOPTERIDAE,American Flamingo,,14,-68.4124,12.2469,South America,Bonaire, Saint Eustatius and Saba",BQ,,,2015-03-13
Pandion haliaetus,Animalia,OSPREY_PANDIONIDAE,Western Osprey,,1,-68.3199,12.1997,South America,Bonaire, Saint Eustatius and Saba",BQ,,,2015-03-13
Setophaga aestiva,Animalia,NEW_WORLD_WARBLERS_PARULIDAE,American Yellow Warbler,,2,-68.3106,12.252,South America,Bonaire, Saint Eustatius and Saba",BQ,,,2015-03-08
Thalasseus maximus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Royal Tern,,3,-68.2329,12.0983,South America,Bonaire, Saint Eustatius and Saba",BQ,,,2015-03-07
Leucophaeus atricilla,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Laughing Gull,,5,-68.2329,12.0983,South America,Bonaire, Saint Eustatius and Saba",BQ,,,2015-03-07
