scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Malacopteron albogulare,Animalia,Pellorneidae,Grey-breasted Babbler,,1,114.37752485275,4.58463836478,Asia,Brunei,BN,,Brunei - Badas Peat Dome,2013-06-22,
Setornis criniger,Animalia,BULBULS_PYCNONOTIDAE,Hook-billed Bulbul,,6,114.38238233328,4.5744654411267,Asia,Brunei,BN,,Brunei - Badas Peat Dome,2013-06-22,
Setornis criniger,Animalia,BULBULS_PYCNONOTIDAE,Hook-billed Bulbul,,1,114.45957228541,4.5952941739803,Asia,Brunei,BN,,Brunei - East of Lumut Pipeline road,2013-06-21,
Setornis criniger,Animalia,BULBULS_PYCNONOTIDAE,Hook-billed Bulbul,,1,114.45056006312,4.5866103093953,Asia,Brunei,BN,,Brunei - East of Lumut Pipeline road,2013-06-21,
Setornis criniger,Animalia,BULBULS_PYCNONOTIDAE,Hook-billed Bulbul,,1,114.44880053401,4.5863536418781,Asia,Brunei,BN,,Brunei - East of Lumut Pipeline road,2013-06-21,
Leptoptilos javanicus,Animalia,STORKS_CICONIIDAE,Lesser Adjutant,,2,114.41482901573,4.5572171276956,Asia,Brunei,BN,,Brunei - Lower Sungai Belait,2013-06-19,
Malacopteron albogulare,Animalia,Pellorneidae,Grey-breasted Babbler,,2,114.40049260855,4.5895043504157,Asia,Brunei,BN,,Brunei - Badas Peat Dome,2013-06-19,
Setornis criniger,Animalia,BULBULS_PYCNONOTIDAE,Hook-billed Bulbul,,3,114.40049260855,4.5895043504157,Asia,Brunei,BN,,Brunei - Badas Peat Dome,2013-06-19,
Eutropis rugifera,Animalia,Scincidae,Nicobar Island Skink,,1,114.45130437613,4.5901139316229,Asia,Brunei,BN,,Brunei - East of Lumut Pipeline road,2013-06-15,
Gonocephalus borneensis,Animalia,Agamidae,Borneo Forest Dragon,,1,114.45130437613,4.5901139316229,Asia,Brunei,BN,,Brunei - East of Lumut Pipeline road,2013-06-15,
Nannophya pygmaea,Animalia,SKIMMERS_LIBELLULIDAE,Scarlet Dwarf,,1,114.44881796837,4.6068825935284,Asia,Brunei,BN,,Brunei - East of Lumut Pipeline road,2012-11-26,
Pteropus vampyrus,Animalia,OLD_WORLD_FRUITEATING_BATS_PTEROPODIDAE,Large Flying Fox,,300,114.44875895977,4.5945627987511,Asia,Brunei,BN,,Brunei - East of Lumut Pipeline road,2013-06-15,18:30
Ischnura senegalensis,Animalia,POND_DAMSELS_COENAGRIONIDAE,Marsh Bluetail,,1,114.2452275753,4.5768794574975,Asia,Brunei,BN,,Brunei - Lower Sungai Belait,2013-03-03,
Brachygonia oculata,Animalia,SKIMMERS_LIBELLULIDAE,,,1,114.36104536057,4.494510103513,Asia,Brunei,BN,,Brunei - Belait Sawmill area,2013-03-09,
Rhyothemis phyllis,Animalia,SKIMMERS_LIBELLULIDAE,Yellow-striped Flutterer,,1,114.46397799553624,4.60516997861415,Asia,Brunei,BN,,Brunei - East of Lumut Pipeline road,2012-11-26,
Orthetrum sabina,Animalia,SKIMMERS_LIBELLULIDAE,Slender Skimmer,,1,114.46397799553624,4.60516997861415,Asia,Brunei,BN,,Brunei - East of Lumut Pipeline road,2012-11-26,
Nannophya pygmaea,Animalia,SKIMMERS_LIBELLULIDAE,Scarlet Dwarf,,1,114.46397799553624,4.60516997861415,Asia,Brunei,BN,,Brunei - East of Lumut Pipeline road,2012-11-26,
Ceriagrion cerinorubellum,Animalia,POND_DAMSELS_COENAGRIONIDAE,,,1,114.4615848949582,4.5955893378303,Asia,Brunei,BN,,Brunei - East of Lumut Pipeline road,2012-11-26,
Setornis criniger,Animalia,BULBULS_PYCNONOTIDAE,Hook-billed Bulbul,,2,114.35331523418,4.4939432236005,Asia,Brunei,BN,,Brunei - Belait Sawmill area,2013-03-09,
Pandion haliaetus haliaetus,Animalia,OSPREY_PANDIONIDAE,Western Osprey ssp haliaetus,,1,114.44984794,4.63597015,Asia,Brunei,BN,,Brunei - Belait,2013-02-26,
Collocalia affinis cyanoptila,Animalia,SWIFTS_APODIDAE,Plume-toed Swiftlet ssp cyanoptila,,1,114.39629173488,4.6316299004477,Asia,Brunei,BN,,Brunei - Belait,2012-10-15,
Dicaeum cruentatum,Animalia,FLOWERPECKERS_DICAEIDAE,Scarlet-backed Flowerpecker,,2,114.926066399,4.87878107454,Asia,Brunei,BN,,Brunei - Brunei and Muara,2012-03-20,
Butorides striata,Animalia,HERONS_ARDEIDAE,Striated Heron,,1,114.927353859,4.87527475719,Asia,Brunei,BN,,Brunei - Brunei and Muara,2012-03-19,
Nycticorax caledonicus,Animalia,HERONS_ARDEIDAE,Nankeen Night Heron,,3,114.927353859,4.87527475719,Asia,Brunei,BN,,Brunei - Brunei and Muara,2012-03-19,
Collocalia affinis cyanoptila,Animalia,SWIFTS_APODIDAE,Plume-toed Swiftlet ssp cyanoptila,,4,114.51569667272992,4.54944372177124,Asia,Brunei,BN,,Brunei,2001-12-20,
Bubulcus coromandus,Animalia,HERONS_ARDEIDAE,Eastern Cattle Egret,,1,114.897956848,4.90225582433,Asia,Brunei,BN,,Brunei - Brunei and Muara,2006-02-25,
