scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Passer griseus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Northern Grey-headed Sparrow,,2,29.3932771683,-3.37169187792,Africa,Burundi,BI,,Burundi - Bujumbura Rural,2014-07-29,09:30
Spilopelia senegalensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Laughing Dove,,2,29.3932825327,-3.37168116765,Africa,Burundi,BI,,Burundi - Bujumbura Rural,2014-07-29,09:30
Colius striatus,Animalia,MOUSEBIRDS_COLIIDAE,Speckled Mousebird,,6,29.3932825327,-3.37168116765,Africa,Burundi,BI,,Burundi - Bujumbura Rural,2014-07-29,09:30
Python natalensis,Animalia,PYTHONIDAE,Southern African Python,,1,29.2721119802,-3.34233460104,Africa,Burundi,BI,,Burundi - Bujumbura Rural,2014-06-08,
Python natalensis,Animalia,PYTHONIDAE,Southern African Python,,1,29.272622522,-3.34259701037,Africa,Burundi,BI,,Burundi - Bujumbura Rural,2014-05-24,
Pelecanus rufescens,Animalia,PELICANS_PELECANIDAE,Pink-backed Pelican,,1,29.2677792907,-3.35603334532,Africa,Burundi,BI,,Burundi - Rusizi NP,2014-04-12,
Porphyrio madagascariensis,Animalia,RAILS_RALLIDAE,African Swamphen,,15,29.2571319267,-3.34234531163,Africa,Burundi,BI,,Burundi - Bujumbura Rural,2014-02-22,
Cercopithecus mitis doggetti,Animalia,OLD_WORLD_MONKEYS_CERCOPITHECIDAE,Doggett's Blue Monkey,,5,30.1259782165,-3.90415984193,Africa,Burundi,BI,,Burundi - Rutana,2014-02-09,
Phoenicopterus roseus,Animalia,FLAMINGOS_PHOENICOPTERIDAE,Greater Flamingo,,2,29.2677792907,-3.35603334532,Africa,Burundi,BI,,Burundi - Rusizi NP,2014-02-02,
Passer domesticus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,,10,29.0432820003,-2.73240290893,Africa,Burundi,BI,,Burundi - Cibitoke,2013-12-08,
Corythornis cristatus,Animalia,KINGFISHERS_ALCEDINIDAE,Malachite Kingfisher,,1,29.3496788666,-3.38803560403,Africa,Burundi,BI,,Burundi - Bujumbura Rural,2013-12-01,
Halcyon senegalensis,Animalia,KINGFISHERS_ALCEDINIDAE,Woodland Kingfisher,,5,29.2683365196,-3.35327004878,Africa,Burundi,BI,,Burundi - Rusizi NP,2013-12-01,
Dendrocygna bicolor,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Fulvous Whistling Duck,,350,29.2715551704,-3.35348425809,Africa,Burundi,BI,,Burundi - Rusizi NP,2013-12-01,
Dendrocygna viduata,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,White-faced Whistling Duck,,100,29.2715551704,-3.35348425809,Africa,Burundi,BI,,Burundi - Rusizi NP,2013-12-01,
Platalea alba,Animalia,IBISSES_AND_SPOONBILLS_THRESKIORNITHIDAE,African Spoonbill,,1,29.2677571625,-3.35588339919,Africa,Burundi,BI,,Burundi - Rusizi NP,2013-12-01,
Platalea alba,Animalia,IBISSES_AND_SPOONBILLS_THRESKIORNITHIDAE,African Spoonbill,,9,29.2715551704,-3.35359136273,Africa,Burundi,BI,,Burundi - Rusizi NP,2013-12-01,
Phalacrocorax lucidus,Animalia,CORMORANTS_PHALACROCORACIDAE,White-breasted Cormorant,,1,29.2715840042,-3.35359136273,Africa,Burundi,BI,,Burundi - Rusizi NP,2013-12-01,
Vanellus spinosus,Animalia,PLOVERS_CHARADRIIDAE,Spur-winged Lapwing,,2,29.2715840042,-3.35359136273,Africa,Burundi,BI,,Burundi - Rusizi NP,2013-12-01,
Actitis hypoleucos,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Common Sandpiper,,20,29.2715840042,-3.35359136273,Africa,Burundi,BI,,Burundi - Rusizi NP,2013-12-01,
Rynchops flavirostris,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,African Skimmer,,8,29.2715840042,-3.35359136273,Africa,Burundi,BI,,Burundi - Rusizi NP,2013-12-01,
Hirundo smithii,Animalia,SWALLOWS_HIRUNDINIDAE,Wire-tailed Swallow,,5,29.3498218618,-3.38782140232,Africa,Burundi,BI,,Burundi - Bujumbura Rural,2013-12-01,
Phalacrocorax lucidus,Animalia,CORMORANTS_PHALACROCORACIDAE,White-breasted Cormorant,,2,29.3253279291,-3.35757564697,Africa,Burundi,BI,,Burundi - Bujumbura Rural,2013-11-17,
Motacilla aguimp,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,African Pied Wagtail,,2,29.3253279291,-3.35757564697,Africa,Burundi,BI,,Burundi - Bujumbura Rural,2013-11-17,
Egretta garzetta,Animalia,HERONS_ARDEIDAE,Little Egret,,1,29.3253279291,-3.35757564697,Africa,Burundi,BI,,Burundi - Bujumbura Rural,2013-11-17,
Actitis hypoleucos,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Common Sandpiper,,5,29.3253279291,-3.35757564697,Africa,Burundi,BI,,Burundi - Bujumbura Rural,2013-11-17,
Halcyon senegalensis,Animalia,KINGFISHERS_ALCEDINIDAE,Woodland Kingfisher,,2,29.2715766281,-3.35350567902,Africa,Burundi,BI,,Burundi - Rusizi NP,2013-11-10,
Actitis hypoleucos,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Common Sandpiper,,10,29.2727782577,-3.35164205646,Africa,Burundi,BI,,Burundi - Rusizi NP,2013-11-10,
Vanellus spinosus,Animalia,PLOVERS_CHARADRIIDAE,Spur-winged Lapwing,,6,29.2727782577,-3.35164205646,Africa,Burundi,BI,,Burundi - Rusizi NP,2013-11-10,
Dendrocygna bicolor,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Fulvous Whistling Duck,,40,29.2716195434,-3.35365562551,Africa,Burundi,BI,,Burundi - Rusizi NP,2013-11-10,
Dendrocygna viduata,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,White-faced Whistling Duck,,100,29.2716195434,-3.35365562551,Africa,Burundi,BI,,Burundi - Rusizi NP,2013-11-10,
Sarkidiornis melanotos,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Knob-billed Duck,,1,29.2716195434,-3.35365562551,Africa,Burundi,BI,,Burundi - Rusizi NP,2013-11-10,
Platalea alba,Animalia,IBISSES_AND_SPOONBILLS_THRESKIORNITHIDAE,African Spoonbill,,12,29.2716195434,-3.35365562551,Africa,Burundi,BI,,Burundi - Rusizi NP,2013-11-10,
Phalacrocorax lucidus,Animalia,CORMORANTS_PHALACROCORACIDAE,White-breasted Cormorant,,20,29.2719806358,-3.35320578597,Africa,Burundi,BI,,Burundi - Rusizi NP,2013-11-10,
Colius striatus,Animalia,MOUSEBIRDS_COLIIDAE,Speckled Mousebird,,2,29.3480372429,-3.40886256603,Africa,Burundi,BI,,Burundi - Bujumbura Rural,2013-09-21,14:54
Ploceus baglafecht,Animalia,WEAVERS_PLOCEIDAE,Baglafecht Weaver,,1,29.3480372429,-3.40886256603,Africa,Burundi,BI,,Burundi - Bujumbura Rural,2013-09-21,14:53
