scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Macaca fascicularis,Animalia,OLD_WORLD_MONKEYS_CERCOPITHECIDAE,Long-tailed Macaque,,1,103.865897655,13.4133296615,Asia,Cambodia,KH,,Cambodia - Siemréab,2014-02-05,12:22
Copsychus saularis,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Oriental Magpie-Robin,,2,104.93124783,11.5626039993,Asia,Cambodia,KH,,Cambodia - Phnom Penh,2014-01-31,17:02
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,1,104.931494594,11.5620206322,Asia,Cambodia,KH,,Cambodia - Phnom Penh,2014-01-31,17:17
Passer montanus malaccensis,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Eurasian Tree Sparrow ssp malaccensis,,1,104.931591153,11.561938295,Asia,Cambodia,KH,,Cambodia - Phnom Penh,2014-01-31,17:03
Macaca fascicularis,Animalia,OLD_WORLD_MONKEYS_CERCOPITHECIDAE,Long-tailed Macaque,,1,104.931730628,11.5631400653,Asia,Cambodia,KH,,Cambodia - Phnom Penh,2014-01-31,14:31
Kaloula pulchra,Animalia,Microhylidae,Banded Bullfrog,,1,103.865654524,13.3537285136,Asia,Cambodia,KH,,Cambodia - Siemréab,2015-02-26,07:00
Orcaella brevirostris,Animalia,DOLPHINS_DELPHINIDAE,Irrawaddy Dolphin,,1,106.003764868,12.6269326561,Asia,Cambodia,KH,,Cambodia - Krâchéh,2007-12-25,13:05
Trithemis pallidinervis,Animalia,SKIMMERS_LIBELLULIDAE,,,1,103.859063499,13.447017192,Asia,Cambodia,KH,,Cambodia - Siemréab,2015-02-25,16:00
Cyornis hainanus,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Hainan Blue Flycatcher,,1,103.878536671,13.4465993141,Asia,Cambodia,KH,,Cambodia - Siemréab,2015-02-25,10:00
Brachythemis contaminata,Animalia,SKIMMERS_LIBELLULIDAE,Asian Amberwing,,1,103.864266984,13.4131124259,Asia,Cambodia,KH,,Cambodia - Siemréab,2015-02-25,09:00
Crocothemis servilia,Animalia,SKIMMERS_LIBELLULIDAE,Oriental Scarlet,,1,103.864266984,13.4131124259,Asia,Cambodia,KH,,Cambodia - Siemréab,2015-02-25,09:00
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,1,103.865640275,13.3538276003,Asia,Cambodia,KH,,Cambodia - Siemréab,2015-02-24,09:00
Brachythemis contaminata,Animalia,SKIMMERS_LIBELLULIDAE,Asian Amberwing,,1,103.861008938,13.3633267603,Asia,Cambodia,KH,,Cambodia - Siemréab,2015-02-22,10:00
Crocothemis servilia,Animalia,SKIMMERS_LIBELLULIDAE,Oriental Scarlet,,1,103.861008938,13.3633267603,Asia,Cambodia,KH,,Cambodia - Siemréab,2015-02-22,10:00
Hylarana erythraea,Animalia,Ranidae,Common Green Frog,,1,103.972778432,13.3360288701,Asia,Cambodia,KH,,Cambodia - Siemréab,2015-02-22,11:00
Macaca fascicularis,Animalia,OLD_WORLD_MONKEYS_CERCOPITHECIDAE,Long-tailed Macaque,,1,103.859367594,13.4262928011,Asia,Cambodia,KH,,Cambodia - Siemréab,2015-02-23,15:00
Crocothemis servilia,Animalia,SKIMMERS_LIBELLULIDAE,Oriental Scarlet,,1,103.872392401,13.4622303516,Asia,Cambodia,KH,,Cambodia - Siemréab,2015-02-23,15:00
Pycnonotus flaviventris,Animalia,BULBULS_PYCNONOTIDAE,Black-crested Bulbul,,1,103.872392401,13.4622303516,Asia,Cambodia,KH,,Cambodia - Siemréab,2015-02-23,15:00
Gracula religiosa,Animalia,STARLINGS_STURNIDAE,Common Hill Myna,,1,103.856338374,13.4452537197,Asia,Cambodia,KH,,Cambodia - Siemréab,2015-02-23,11:00
Pycnonotus flaviventris,Animalia,BULBULS_PYCNONOTIDAE,Black-crested Bulbul,,1,103.862185478,13.4486187298,Asia,Cambodia,KH,,Cambodia - Siemréab,2014-02-08,17:30
Coracina macei,Animalia,CUCKOOSHRIKES_CAMPEPHAGIDAE,Large Cuckooshrike,,1,106.953452937,13.7518386938,Asia,Cambodia,KH,,Cambodia - Rôtânôkiri,2015-02-19,10:00
Coracias affinis,Animalia,ROLLERS_CORACIIDAE,Indochinese Roller,,1,106.165480614,13.4376885436,Asia,Cambodia,KH,,Cambodia - Stng Trêng,2015-02-21,10:00
Gekko gecko,Animalia,Gekkonidae,Tokay Gecko,,1,107.027192563,13.7501395292,Asia,Cambodia,KH,,Cambodia - Rôtânôkiri,2015-02-20,18:00
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,1,103.840485513,13.3003428085,Asia,Cambodia,KH,,Cambodia - Siemréab,2014-12-14,
Dicrurus macrocercus,Animalia,DRONGOS_DICRURIDAE,Black Drongo,,1,103.840485513,13.3003428085,Asia,Cambodia,KH,,Cambodia - Siemréab,2014-12-14,
Coracias affinis,Animalia,ROLLERS_CORACIIDAE,Indochinese Roller,,1,103.840485513,13.3003428085,Asia,Cambodia,KH,,Cambodia - Siemréab,2014-12-14,
Psittacula alexandri,Animalia,PSITTACULIDAE,Red-breasted Parakeet,,10,103.889279589,13.434578533,Asia,Cambodia,KH,,Cambodia - Siemréab,2014-12-13,
Copsychus saularis,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Oriental Magpie-Robin,,1,104.928749911,11.5655760103,Asia,Cambodia,KH,,Cambodia - Phnom Penh,2014-12-26,
Libellago lineata,Animalia,JEWELS_CHLOROCYPHIDAE,,,1,106.9768418,13.6674319221,Asia,Cambodia,KH,,Cambodia - Rôtânôkiri,2015-02-19,11:00
Coracias affinis,Animalia,ROLLERS_CORACIIDAE,Indochinese Roller,,2,106.955216154,13.7377589476,Asia,Cambodia,KH,,Cambodia - Rôtânôkiri,2015-02-19,09:00
Phaenicophaeus tristis,Animalia,CUCKOOS_AND_COUCALS_CUCULIDAE,Green-billed Malkoha,,1,107.026548833,13.7501812146,Asia,Cambodia,KH,,Cambodia - Rôtânôkiri,2015-02-18,15:00
Larvivora cyane,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Siberian Blue Robin,,1,107.027636468,13.7495552807,Asia,Cambodia,KH,,Cambodia - Rôtânôkiri,2015-02-18,17:00
Cyornis unicolor,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Pale Blue Flycatcher,,1,107.026977986,13.7504730126,Asia,Cambodia,KH,,Cambodia - Rôtânôkiri,2015-02-18,09:00
Coracias affinis,Animalia,ROLLERS_CORACIIDAE,Indochinese Roller,,1,107.019568384,13.7465539013,Asia,Cambodia,KH,,Cambodia - Rôtânôkiri,2015-02-15,16:00
Libellago lineata,Animalia,JEWELS_CHLOROCYPHIDAE,,,1,107.012515515,13.7272530968,Asia,Cambodia,KH,,Cambodia - Rôtânôkiri,2015-02-15,15:00
Coracias affinis,Animalia,ROLLERS_CORACIIDAE,Indochinese Roller,,1,105.111125708,11.6697154646,Asia,Cambodia,KH,,Cambodia - Kândal,2015-02-13,12:00
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,7,104.869995117,11.5284699008,Asia,Cambodia,KH,,Cambodia - Phnom Penh,2015-02-12,
