scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Platysteira concreta,Animalia,WATTLEEYES_BATISES_PLATYSTEIRIDAE,Yellow-bellied Wattle-eye,,1,9.68882195354657,4.83009124522547,Africa,Cameroon,CM,,Cameroon - Koupé-Manengouba,2014-12-02,07:43
Platysteira castanea,Animalia,WATTLEEYES_BATISES_PLATYSTEIRIDAE,Chestnut Wattle-eye,,1,9.69414086531816,4.82882801142638,Africa,Cameroon,CM,,Cameroon - Koupé-Manengouba,2014-12-02,08:10
Platysteira concreta,Animalia,WATTLEEYES_BATISES_PLATYSTEIRIDAE,Yellow-bellied Wattle-eye,,3,9.70305775873726,4.82355264234228,Africa,Cameroon,CM,,Cameroon - Koupé-Manengouba,2014-12-02,09:26
Platysteira concreta,Animalia,WATTLEEYES_BATISES_PLATYSTEIRIDAE,Yellow-bellied Wattle-eye,,1,9.69915877813753,4.82455749052746,Africa,Cameroon,CM,,Cameroon - Koupé-Manengouba,2014-12-03,15:18
Cossypha isabellae,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Mountain Robin-Chat,,1,9.21808872113206,4.17040953529536,Africa,Cameroon,CM,,Cameroon,2014-11-22,11:04
Zosterops melanocephalus,Animalia,WHITEEYES_ZOSTEROPIDAE,Mount Cameroon Speirops,,4,9.20455798655616,4.18228373953114,Africa,Cameroon,CM,,Cameroon,2014-11-22,14:39
Perodicticus edwardsi,Animalia,LORIS_LORISIDAE,Milne-Edwards's Potto,,1,9.19843243924863,4.15609497992874,Africa,Cameroon,CM,,Cameroon,2014-11-23,20:02
Cossypha isabellae,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Mountain Robin-Chat,,1,9.20641025732278,4.15385407952505,Africa,Cameroon,CM,,Cameroon,2014-11-24,13:22
Colius striatus,Animalia,MOUSEBIRDS_COLIIDAE,Speckled Mousebird,,1,11.514308501,3.85831378164,Africa,Cameroon,CM,,Cameroon - Mfoundi,2012-05-06,
Dendrohyrax dorsalis,Animalia,HYRAXES_PROCAVIIDAE,Western Tree Hyrax,,1,12.247948395333704,2.919335500000045,Africa,Cameroon,CM,,Cameroon - Dja-et-Lobo,2002-08-05,
Eidolon helvum,Animalia,OLD_WORLD_FRUITEATING_BATS_PTEROPODIDAE,African Straw-coloured Fruit Bat,,500,11.4977884293,3.84303732298,Africa,Cameroon,CM,,Cameroon - Mfoundi,2002-08-04,
Podica senegalensis,Animalia,FINFOOTS_HELIORNITHIDAE,African Finfoot,,1,9.90099430086,2.86882772819,Africa,Cameroon,CM,,Cameroon,2011-07-16,
Anhinga rufa,Animalia,ANHINGAS_ANHINGIDAE,African Darter,,1,9.90099430086,2.86882772819,Africa,Cameroon,CM,,Cameroon,2011-07-16,
Elminia longicauda,Animalia,Stenostiridae,African Blue Flycatcher,,1,9.93155002596,4.95672826037,Africa,Cameroon,CM,,Cameroon - Moungo,2011-07-10,
Halcyon senegalensis,Animalia,KINGFISHERS_ALCEDINIDAE,Woodland Kingfisher,,2,9.93155002596,4.95672826037,Africa,Cameroon,CM,,Cameroon - Moungo,2011-07-10,
Glareola nuchalis,Animalia,COURSERS_AND_PRATINCOLES_GLAREOLIDAE,Rock Pratincole,,1,8.91033649447,4.99760063009,Africa,Cameroon,CM,,Cameroon,2011-07-10,
Saxicola torquatus,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,African Stonechat,,1,9.22911167147,4.17456016292,Africa,Cameroon,CM,,Cameroon,2011-07-01,10:00
Colius striatus,Animalia,MOUSEBIRDS_COLIIDAE,Speckled Mousebird,,1,9.22911167147,4.17456016292,Africa,Cameroon,CM,,Cameroon,2011-07-01,10:00
Columba sjostedti,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Cameroon Olive Pigeon,,2,9.13023471834,4.14305763914,Africa,Cameroon,CM,,Cameroon,2011-07-03,07:52
Eidolon helvum,Animalia,OLD_WORLD_FRUITEATING_BATS_PTEROPODIDAE,African Straw-coloured Fruit Bat,,100,9.69268798828,4.03413829155,Africa,Cameroon,CM,,Cameroon,2009-03-08,
Melierax metabates,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Dark Chanting Goshawk,,1,13.0078125,9.2430926451,Africa,Cameroon,CM,,Cameroon,2008-12-29,
Sporopipes frontalis,Animalia,WEAVERS_PLOCEIDAE,Speckle-fronted Weaver,,1,14.3481445312,12.4902136625,Africa,Cameroon,CM,,Cameroon,2008-12-26,
Euodice cantans,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,African Silverbill,,1,14.4360351562,12.511665401,Africa,Cameroon,CM,,Cameroon,2008-12-26,
Hirundo nigrita,Animalia,SWALLOWS_HIRUNDINIDAE,White-bibbed Swallow,,1,9.9755859375,3.03081212266,Africa,Cameroon,CM,,Cameroon,2009-01-06,
Grafisia torquata,Animalia,STARLINGS_STURNIDAE,White-collared Starling,,1,13.6834716797,7.23714814257,Africa,Cameroon,CM,,Cameroon,2009-01-02,
Crinifer piscator,Animalia,TURACOS_MUSOPHAGIDAE,Western Plantain-eater,,1,13.7823486328,8.98274904162,Africa,Cameroon,CM,,Cameroon,2008-12-31,
Vanellus senegallus,Animalia,PLOVERS_CHARADRIIDAE,African Wattled Lapwing,,1,13.6779785156,7.24259751095,Africa,Cameroon,CM,,Cameroon,2009-01-03,
Ploceus cucullatus,Animalia,WEAVERS_PLOCEIDAE,Village Weaver,,1,9.99755859375,2.8991526985,Africa,Cameroon,CM,,Cameroon,2009-01-06,
Dicrurus sharpei,Animalia,DRONGOS_DICRURIDAE,Sharpe's Drongo,,1,12.7432535037,5.68580436033,Africa,Cameroon,CM,,Cameroon,2009-01-01,
Vanellus spinosus,Animalia,PLOVERS_CHARADRIIDAE,Spur-winged Lapwing,,1,13.7768554688,9.01530233342,Africa,Cameroon,CM,,Cameroon,2008-12-31,
Merops bulocki,Animalia,BEEEATERS_MEROPIDAE,Red-throated Bee-eater,,1,13.88671875,8.21149032342,Africa,Cameroon,CM,,Cameroon,2008-12-23,
