scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Haliaeetus leucocephalus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Bald Eagle,,1,-125.297791957,50.0381751309,North America,Canada,CA,,Canada - Elk Falls Provincial Park,2010-09-18,
Haliaeetus leucocephalus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Bald Eagle,,1,-125.217010975,50.0421680033,North America,Canada,CA,,Canada - Vancouver Island,2010-09-18,
Larus californicus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,California Gull,,1,-125.197248459,49.9993738855,North America,Canada,CA,,Canada - Vancouver Island,2010-09-17,
Larus glaucescens,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Glaucous-winged Gull,,1,-125.197248459,49.9993738855,North America,Canada,CA,,Canada - Vancouver Island,2010-09-17,
Haliaeetus leucocephalus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Bald Eagle,,1,-125.197248459,49.9993738855,North America,Canada,CA,,Canada - Vancouver Island,2010-09-17,
Colaptes auratus,Animalia,WOODPECKERS_PICIDAE,Northern Flicker,,3,-125.202627182,50.0949362198,North America,Canada,CA,,Canada - Vancouver Island,2010-09-17,
Larus californicus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,California Gull,,1,-125.207347873,50.1081905335,North America,Canada,CA,,Canada - British Columbia (BC),2010-09-17,
Larus glaucescens,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Glaucous-winged Gull,,1,-125.207347873,50.1081905335,North America,Canada,CA,,Canada - British Columbia (BC),2010-09-17,
Troglodytes pacificus,Animalia,WRENS_TROGLODYTIDAE,Pacific Wren,,1,-124.662866593,49.2908664147,North America,Canada,CA,,Canada - Vancouver Island,2010-09-16,15:30
Haliaeetus leucocephalus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Bald Eagle,,1,-125.646886826,49.1104689392,North America,Canada,CA,,Canada - Vancouver Island,2010-09-15,
Larus californicus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,California Gull,,1,-125.933761604,49.1155609103,North America,Canada,CA,,Canada - Vancouver Island,2010-09-14,
Enhydra lutris,Animalia,WEASELS_AND_RELATIVES_MUSTELIDAE,Sea Otter,,1,-125.933761604,49.1155609103,North America,Canada,CA,,Canada - Vancouver Island,2010-09-14,
Eumetopias jubatus,Animalia,FUR_SEALS_OTARIIDAE,Steller Sea Lion,,30,-125.933761604,49.1155609103,North America,Canada,CA,,Canada - Vancouver Island,2010-09-14,
Phoca vitulina,Animalia,SEALS_PHOCIDAE,Harbour Seal,,50,-125.933761604,49.1155609103,North America,Canada,CA,,Canada - Vancouver Island,2010-09-14,
Orcinus orca,Animalia,DOLPHINS_DELPHINIDAE,Killer Whale,,4,-125.907669074,49.2558102126,North America,Canada,CA,,Canada - Vancouver Island,2010-09-14,
Haliaeetus leucocephalus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Bald Eagle,,3,-125.899086006,49.1645250136,North America,Canada,CA,,Canada - Vancouver Island,2010-09-14,
Ursus americanus,Animalia,BEARS_URSIDAE,American Black Bear,,1,-125.813698767,49.0873246871,North America,Canada,CA,,Canada - Pacific Rim National Park Reserve of Canada,2010-09-12,
Enhydra lutris,Animalia,WEASELS_AND_RELATIVES_MUSTELIDAE,Sea Otter,,1,-125.933074958,49.1112911048,North America,Canada,CA,,Canada - Vancouver Island,2010-09-13,
Phoca vitulina,Animalia,SEALS_PHOCIDAE,Harbour Seal,,20,-125.933074958,49.1112911048,North America,Canada,CA,,Canada - Vancouver Island,2010-09-13,
Eumetopias jubatus,Animalia,FUR_SEALS_OTARIIDAE,Steller Sea Lion,,30,-125.933074958,49.1112911048,North America,Canada,CA,,Canada - Vancouver Island,2010-09-13,
Troglodytes pacificus,Animalia,WRENS_TROGLODYTIDAE,Pacific Wren,,1,-125.705816746,49.0437681461,North America,Canada,CA,,Canada - Pacific Rim National Park Reserve of Canada,2010-09-13,
Haliaeetus leucocephalus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Bald Eagle,,1,-125.896253588,49.1530519906,North America,Canada,CA,,Canada - Vancouver Island,2010-09-13,
Larus californicus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,California Gull,,1,-125.925951006,49.1194895567,North America,Canada,CA,,Canada - Vancouver Island,2010-09-13,
Calidris alba,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Sanderling,,1,-125.925951006,49.1194895567,North America,Canada,CA,,Canada - Vancouver Island,2010-09-13,
Cepphus columba,Animalia,AUKS_ALCIDAE,Pigeon Guillemot,,1,-125.925951006,49.1194895567,North America,Canada,CA,,Canada - Vancouver Island,2010-09-13,
Haematopus bachmani,Animalia,OYSTERCATCHERS_HAEMATOPODIDAE,Black Oystercatcher,,5,-125.925951006,49.1194895567,North America,Canada,CA,,Canada - Vancouver Island,2010-09-13,
Procyon lotor,Animalia,COATIS_RACCOONS_AND_RINGTAILS_PROCYONIDAE,Northern Raccoon,,5,-123.141803741,49.313540735,North America,Canada,CA,,Canada - Vancouver,2003-07-23,
Turdus migratorius,Animalia,THRUSHES_TURDIDAE,American Robin,,8,-123.13794136,49.29871051,North America,Canada,CA,,Canada - Vancouver,2003-07-23,
Haliaeetus leucocephalus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Bald Eagle,,1,-123.11950922,49.2986195605,North America,Canada,CA,,Canada - Vancouver,2003-07-23,
Branta canadensis,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Canada Goose,,101,-123.139572144,49.2958278967,North America,Canada,CA,,Canada - Vancouver,2003-07-23,
Ardea herodias,Animalia,HERONS_ARDEIDAE,Great Blue Heron,,10,-123.13798428,49.29697537,North America,Canada,CA,,Canada - Vancouver,2003-07-23,
Larus glaucescens,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Glaucous-winged Gull,,2,-123.122706413,49.2789486073,North America,Canada,CA,,Canada - Vancouver,2003-07-23,
Larus glaucescens,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Glaucous-winged Gull,,1,-123.363320231,48.4138547084,North America,Canada,CA,,Canada - Vancouver Island,2010-09-09,
Larus glaucescens,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Glaucous-winged Gull,,1,-123.365347982,48.4083254732,North America,Canada,CA,,Canada - Vancouver Island,2010-09-08,
Orcinus orca,Animalia,DOLPHINS_DELPHINIDAE,Killer Whale,,3,-125.630464554,50.7885473735,North America,Canada,CA,,Canada - British Columbia (BC),2013-07-15,
Pandion haliaetus,Animalia,OSPREY_PANDIONIDAE,Western Osprey,,3,-115.926818401,51.2667748882,North America,Canada,CA,,Canada - Banff National Park of Canada,2013-04-30,
Ovis canadensis,Animalia,BOVIDS_BOVIDAE,Bighorn Sheep,,6,-115.699753314,51.1706327389,North America,Canada,CA,,Canada - Banff National Park of Canada,2013-04-30,
Ondatra zibethicus,Animalia,HAMSTERS_NEW_WORLD_RATS_AND_MICE_CRICETIDAE,Common Muskrat,,1,-115.587315112,51.1725086968,North America,Canada,CA,,Canada - Banff National Park of Canada,2013-03-30,
Castor canadensis,Animalia,BEAVERS_CASTORIDAE,American Beaver,,2,-115.65,51.15,North America,Canada,CA,,Canada - Banff National Park of Canada,2013-07-15,
Alces americanus,Animalia,DEER_CERVIDAE,Moose,,1,-115.626153499,51.1743408564,North America,Canada,CA,,Canada - Banff National Park of Canada,2013-07-15,
Ochotona princeps,Animalia,PIKAS_OCHOTONIDAE,American Pika,,1,-116.180391088,51.3279432973,North America,Canada,CA,,Canada - Banff National Park of Canada,2013-07-15,
Alces americanus,Animalia,DEER_CERVIDAE,Moose,,1,-112.877418995,53.5916833518,North America,Canada,CA,,Canada - Elk Island National Park of Canada,2013-03-30,
Canis lupus,Animalia,DOGS_CANIDAE,Wolf,,1,-115.8,51.2,North America,Canada,CA,,Canada - Banff National Park of Canada,2013-04-14,
Turdus migratorius,Animalia,THRUSHES_TURDIDAE,American Robin,,10,-115.437008142,51.1461832334,North America,Canada,CA,,Canada - Banff National Park of Canada,2013-04-01,
Branta hutchinsii,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Cackling Goose,,4,-123.145494461,49.288578628,North America,Canada,CA,,Canada - Vancouver,2013-06-08,
Haliaeetus leucocephalus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Bald Eagle,,1,-75.9592,44.428,North America,Canada,CA,,Canada - Ontario,2014-10-06,14:11
Troglodytes hiemalis,Animalia,WRENS_TROGLODYTIDAE,Winter Wren,,1,-69.703,47.8802,North America,Canada,CA,,Canada - Saguenay-St. Lawrence Marine Park,2014-09-27,09:35
Sitta canadensis,Animalia,NUTHATCHES_SITTIDAE,Red-breasted Nuthatch,,10,-69.7034,47.8783,North America,Canada,CA,,Canada - Saguenay-St. Lawrence Marine Park,2014-09-27,08:57
Antigone canadensis,Animalia,CRANES_GRUIDAE,Sandhill Crane,,2,-79.2948,45.8904,North America,Canada,CA,,Canada - Ontario,2014-09-19,10:53
Papilio eurymedon,Animalia,SWALLOWTAILS_PAPILIONIDAE,Pale Swallowtail,,1,-124.92667,49.29022,North America,Canada,CA,,Canada - Vancouver Island,2011-06-22,14:03
Passerculus sandwichensis,Animalia,PASSERELLIDAE,Savannah Sparrow,,1,-123.213815689,49.2179895487,North America,Canada,CA,,Canada - Vancouver,2013-06-07,
Troglodytes pacificus,Animalia,WRENS_TROGLODYTIDAE,Pacific Wren,,1,-115.93755490091061,51.48809397469856,North America,Canada,CA,,Canada - Banff National Park of Canada,2011-05-24,
Callospermophilus lateralis,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Golden-mantled Ground Squirrel,,1,-115.93755490091061,51.48809397469856,North America,Canada,CA,,Canada - Banff National Park of Canada,2011-05-25,
Ursus americanus,Animalia,BEARS_URSIDAE,American Black Bear,,1,-117.80375020951168,52.80430011546916,North America,Canada,CA,,Canada - Jasper National Park of Canada,2011-05-26,
Odocoileus hemionus,Animalia,DEER_CERVIDAE,Mule Deer,,1,-117.80375020951168,52.80430011546916,North America,Canada,CA,,Canada - Jasper National Park of Canada,2011-05-25,
Ursus arctos horribilis,Animalia,BEARS_URSIDAE,Grizzly Bear,,1,-116.984224319,52.1182858462,North America,Canada,CA,,Canada - Banff National Park of Canada,2011-05-25,
Ovis canadensis,Animalia,BOVIDS_BOVIDAE,Bighorn Sheep,,1,-116.984224319,52.1182858462,North America,Canada,CA,,Canada - Banff National Park of Canada,2011-05-25,
Oreamnos americanus,Animalia,BOVIDS_BOVIDAE,Mountain Goat,,1,-116.984224319,52.1182858462,North America,Canada,CA,,Canada - Banff National Park of Canada,2011-05-25,
Troglodytes pacificus,Animalia,WRENS_TROGLODYTIDAE,Pacific Wren,,1,-123.910589218,49.1311556876,North America,Canada,CA,,Canada - Vancouver Island,2014-08-06,
Melanitta americana,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Black Scoter,,1,-124.35,49.3,North America,Canada,CA,,Canada - Vancouver Island,2014-08-04,
Mergus merganser,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Common Merganser,,1,-124.309558421,49.3304077437,North America,Canada,CA,,Canada - Vancouver Island,2014-08-04,
Megaceryle alcyon,Animalia,KINGFISHERS_ALCEDINIDAE,Belted Kingfisher,,1,-126.819705069,50.5422348601,North America,Canada,CA,,Canada - Vancouver Island,2014-07-02,
Uria aalge,Animalia,AUKS_ALCIDAE,Common Murre,,1,-126.663651466,50.5265101504,North America,Canada,CA,,Canada - Vancouver Island,2014-08-01,
Histrionicus histrionicus,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Harlequin Duck,,1,-126.827142835,50.5744052847,North America,Canada,CA,,Canada - Vancouver Island,2014-08-01,
Larus californicus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,California Gull,,1,-126.833245531,50.5464080988,North America,Canada,CA,,Canada - Vancouver Island,2014-07-31,
Corvus corax,Animalia,CROWS_AND_JAYS_CORVIDAE,Northern Raven,,1,-126.825513393,50.5396442708,North America,Canada,CA,,Canada - Vancouver Island,2014-07-31,
Troglodytes pacificus,Animalia,WRENS_TROGLODYTIDAE,Pacific Wren,,1,-126.823453456,50.5413898127,North America,Canada,CA,,Canada - Vancouver Island,2014-07-31,
Dendragapus fuliginosus,Animalia,FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE,Sooty Grouse,,1,-126.858672202,50.2777112845,North America,Canada,CA,,Canada - Vancouver Island,2014-07-30,
Eumetopias jubatus,Animalia,FUR_SEALS_OTARIIDAE,Steller Sea Lion,,1,-126.072463095,49.2117652726,North America,Canada,CA,,Canada - Vancouver Island,2014-07-27,
Actitis macularius,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Spotted Sandpiper,,1,-125.675854236,49.0058693312,North America,Canada,CA,,Canada - Pacific Rim National Park Reserve of Canada,2014-07-28,
Haematopus bachmani,Animalia,OYSTERCATCHERS_HAEMATOPODIDAE,Black Oystercatcher,,1,-125.905973688,49.1293021018,North America,Canada,CA,,Canada - Vancouver Island,2014-07-26,
Melanitta perspicillata,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Surf Scoter,,1,-126.024051905,49.2281324317,North America,Canada,CA,,Canada - Vancouver Island,2014-07-27,
Haliaeetus leucocephalus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Bald Eagle,,1,-123.917955905,49.1442110943,North America,Canada,CA,,Canada - Vancouver Island,2014-07-22,
Passer domesticus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,,1,-123.348566182,48.4037006753,North America,Canada,CA,,Canada - Vancouver Island,2014-07-19,
Megaceryle alcyon,Animalia,KINGFISHERS_ALCEDINIDAE,Belted Kingfisher,,1,-123.394245878,48.4267228378,North America,Canada,CA,,Canada - Vancouver Island,2014-07-20,
Uria aalge,Animalia,AUKS_ALCIDAE,Common Murre,,1,-123.534822464,48.2575699568,North America,Canada,CA,,Canada - British Columbia (BC),2014-07-20,
Larus smithsonianus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,American Herring Gull,,1,-123.35,48.4,North America,Canada,CA,,Canada - Vancouver Island,2014-07-18,
Larus heermanni,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Heermann's Gull,,1,-123.348984271,48.4036504829,North America,Canada,CA,,Canada - Vancouver Island,2014-07-18,
