scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Merops variegatus,Animalia,BEEEATERS_MEROPIDAE,Blue-breasted Bee-eater,,1,16.2608529255,2.90161700238,Africa,Central African Republic,CF,,Central African Republic - Sangha-Mbaéré,2010-07-12,
Psittacus erithacus,Animalia,PARROTS_PSITTACIDAE,Grey Parrot,,1,16.3632703945,2.95537327729,Africa,Central African Republic,CF,,Central African Republic - Dzanga,2010-07-10,
Psittacus erithacus,Animalia,PARROTS_PSITTACIDAE,Grey Parrot,,2,16.431176886,2.92086095614,Africa,Central African Republic,CF,,Central African Republic - Dzanga,2010-07-10,
Colobus guereza occidentalis,Animalia,OLD_WORLD_MONKEYS_CERCOPITHECIDAE,Western Guereza,,1,16.4330866188,2.91681071743,Africa,Central African Republic,CF,,Central African Republic - Dzanga,2010-07-09,
Lonchura cucullata,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Bronze Mannikin,,1,16.4309837669,2.91423912972,Africa,Central African Republic,CF,,Central African Republic - Dzanga,2010-07-09,
Gypohierax angolensis,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Palm-nut Vulture,,1,16.4309837669,2.91423912972,Africa,Central African Republic,CF,,Central African Republic - Dzanga,2010-07-09,
Scopus umbretta,Animalia,HAMERKOP_SCOPIDAE,Hamerkop,,1,16.4311302826,2.91627513789,Africa,Central African Republic,CF,,Central African Republic - Dzanga,2010-07-09,
Fraseria cinerascens,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,White-browed Forest Flycatcher,,1,16.4674477279,2.85941972765,Africa,Central African Republic,CF,,Central African Republic - Dzanga,2010-07-02,
Lophoceros fasciatus,Animalia,HORNBILLS_BUCEROTIDAE,African Pied Hornbill,,1,16.4693360031,2.85916255614,Africa,Central African Republic,CF,,Central African Republic - Dzanga,2010-06-24,
Halcyon senegalensis,Animalia,KINGFISHERS_ALCEDINIDAE,Woodland Kingfisher,,1,16.4701943099,2.85847676519,Africa,Central African Republic,CF,,Central African Republic - Dzanga,2010-06-24,
Prinia bairdii,Animalia,CISTICOLAS_AND_ALLIES_CISTICOLIDAE,Banded Prinia,,1,16.469078511,2.85933400382,Africa,Central African Republic,CF,,Central African Republic - Dzanga,2010-06-24,
Junonia sophia,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Little Comodore,,1,16.469078511,2.85933400382,Africa,Central African Republic,CF,,Central African Republic - Dzanga,2010-06-24,
Aves indet.,Animalia,unknown,Unidentified bird,,1,16.4712242782,2.85611935567,Africa,Central African Republic,CF,,Central African Republic - Dzanga,2010-06-23,
