scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Sus domesticus,Animalia,PIGS_SUIDAE,Domesticated Pig,,3,16.3763,13.8263,Africa,Chad,TD,,Chad - Barh el Gazel,2020-01-23,18:00
Phacochoerus africanus africanus,Animalia,PIGS_SUIDAE,Northern Warthog,,1,16.2463,16.3764,Africa,Chad,TD,,Chad - Kanem,2020-01-18,15:45
Rhinopomastus aterrimus,Animalia,WOOD_HOOPOES_PHOENICULIDAE,Black Scimitarbill,,1,21.398,12.194,Africa,Chad,TD,,Chad - Goz-Beida NP,2017-12-16,16:00
Vidua orientalis,Animalia,INDIGOBIRDS_AND_WHYDAHS_VIDUIDAE,Sahel Paradise Whydah,,1,21.398,12.194,Africa,Chad,TD,,Chad - Goz-Beida NP,2017-12-16,11:30
Cercotrichas galactotes,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Rufous-tailed Scrub Robin,,1,21.398,12.194,Africa,Chad,TD,,Chad - Goz-Beida NP,2017-12-16,11:30
Lamprotornis caudatus,Animalia,STARLINGS_STURNIDAE,Long-tailed Glossy Starling,,1,21.395,12.193,Africa,Chad,TD,,Chad - Goz-Beida NP,2017-12-16,09:30
Alcelaphus buselaphus lelwel,Animalia,BOVIDS_BOVIDAE,Lelwel Hartebeest,,1,19.799,10.851,Africa,Chad,TD,,Chad - Zakouma NP,2017-12-13,07:30
Merops orientalis,Animalia,BEEEATERS_MEROPIDAE,Green Bee-eater,,1,19.799,10.851,Africa,Chad,TD,,Chad - Zakouma NP,2017-12-13,07:08
Canis adustus,Animalia,DOGS_CANIDAE,Side-striped Jackal,,1,19.799,10.851,Africa,Chad,TD,,Chad - Zakouma NP,2017-12-13,06:20
Oena capensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Namaqua Dove,,1,19.78,10.837,Africa,Chad,TD,,Chad - Zakouma NP,2017-12-11,09:00
Estrilda astrild,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Common Waxbill,,1,19.78,10.837,Africa,Chad,TD,,Chad - Zakouma NP,2017-12-11,09:00
Streptopelia roseogrisea,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,African Collared Dove,,1,20.101,14.89,Africa,Chad,TD,,Chad - Wadi Fira,2017-12-22,07:15
Alaemon alaudipes,Animalia,LARKS_ALAUDIDAE,Greater Hoopoe-Lark,,3,20.101,14.89,Africa,Chad,TD,,Chad - Wadi Fira,2017-12-22,07:15
Lanius excubitor leucopygos,Animalia,SHRIKES_LANIIDAE,Great Grey Shrike ssp leucopygos,,1,20.101,14.89,Africa,Chad,TD,,Chad - Wadi Fira,2017-12-22,07:15
Neotis nuba,Animalia,BUSTARDS_OTIDIDAE,Nubian Bustard,,3,20.101,14.89,Africa,Chad,TD,,Chad - Wadi Fira,2017-12-22,07:15
Torgos tracheliotos,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Lappet-faced Vulture,,1,20.101,14.89,Africa,Chad,TD,,Chad - Wadi Fira,2017-12-22,07:15
Eremomela icteropygialis,Animalia,CISTICOLAS_AND_ALLIES_CISTICOLIDAE,Yellow-bellied Eremomela,,1,21.015,13.828,Africa,Chad,TD,,Chad - Ouaddaï,2017-12-18,10:00
Merops orientalis,Animalia,BEEEATERS_MEROPIDAE,Green Bee-eater,,1,21.015,13.828,Africa,Chad,TD,,Chad - Ouaddaï,2017-12-18,09:50
Emberiza goslingi,Animalia,BUNTINGS_EMBERIZIDAE,Gosling's Bunting,,1,21.015,13.828,Africa,Chad,TD,,Chad - Ouaddaï,2017-12-18,08:30
Sporopipes frontalis,Animalia,WEAVERS_PLOCEIDAE,Speckle-fronted Weaver,,1,21.015,13.828,Africa,Chad,TD,,Chad - Ouaddaï,2017-12-19,08:47
Cercotrichas podobe,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Black Scrub Robin,,1,21.808,16.76,Africa,Chad,TD,,Chad - Borkou,2017-12-24,08:20
Pternistis clappertoni,Animalia,FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE,Clapperton's Spurfowl,,1,15.77636719,17.73560691,Africa,Chad,TD,,Chad - Borkou,2017-12-27,09:00
Merops albicollis,Animalia,BEEEATERS_MEROPIDAE,White-throated Bee-eater,,1,21.808,16.76,Africa,Chad,TD,,Chad - Borkou,2017-12-24,09:22
Upupa epops,Animalia,HOOPOES_UPUPIDAE,Eurasian Hoopoe,,1,19.866,10.663,Africa,Chad,TD,,Chad - Salamat,2017-12-14,07:00
Xerus erythropus,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Striped Ground Squirrel,,1,19.866,10.663,Africa,Chad,TD,,Chad - Salamat,2017-12-14,06:00
Quelea quelea,Animalia,WEAVERS_PLOCEIDAE,Red-billed Quelea,,1,19.542,9.891,Africa,Chad,TD,,Chad - Moyen-Chari,2017-12-10,12:00
Scopus umbretta,Animalia,HAMERKOP_SCOPIDAE,Hamerkop,,1,19.78,10.837,Africa,Chad,TD,,Chad - Zakouma NP,2017-12-11,09:58
Lagonosticta senegala,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Red-billed Firefinch,,1,19.78363037,10.82140247,Africa,Chad,TD,,Chad - Zakouma NP,2017-12-11,
Kobus ellipsiprymnus defassa,Animalia,BOVIDS_BOVIDAE,Defassa Waterbuck,,1,19.75891113,10.8645632,Africa,Chad,TD,,Chad - Zakouma NP,2017-12-13,
Anastomus lamelligerus,Animalia,STORKS_CICONIIDAE,African Openbill,,1,19.75891113,10.8645632,Africa,Chad,TD,,Chad - Zakouma NP,2017-12-13,
Tragelaphus scriptus,Animalia,BOVIDS_BOVIDAE,Bushbuck,,1,19.76165771,10.85916845,Africa,Chad,TD,,Chad - Zakouma NP,2017-12-13,
Coracias abyssinicus,Animalia,ROLLERS_CORACIIDAE,Abyssinian Roller,,1,19.72869873,10.91311156,Africa,Chad,TD,,Chad - Zakouma NP,2017-12-13,
Erythrocebus patas,Animalia,OLD_WORLD_MONKEYS_CERCOPITHECIDAE,Patas Monkey,,1,19.906,10.901,Africa,Chad,TD,,Chad - Zakouma NP,2017-12-13,13:00
Chlorocebus tantalus,Animalia,OLD_WORLD_MONKEYS_CERCOPITHECIDAE,Tantalus Monkey,,2,19.75204468,10.83923229,Africa,Chad,TD,,Chad - Zakouma NP,2017-12-11,
Merops bulocki,Animalia,BEEEATERS_MEROPIDAE,Red-throated Bee-eater,,1,19.76406097,10.83667379,Africa,Chad,TD,,Chad - Zakouma NP,2017-12-11,
Balearica pavonina,Animalia,CRANES_GRUIDAE,Black Crowned Crane,,1,19.716,10.025,Africa,Chad,TD,,Chad - Salamat,2017-12-10,
Bucorvus abyssinicus,Animalia,GROUND_HORNBILLS_BUCORVIDAE,Abyssinian Ground Hornbill,,1,19.716,10.025,Africa,Chad,TD,,Chad - Salamat,2017-12-10,
Motacilla flava,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Western Yellow Wagtail,,1,19.716,10.025,Africa,Chad,TD,,Chad - Salamat,2017-12-10,
Leptotes spec.,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,,,1,16.875,8.333,Africa,Chad,TD,,Chad - Logone Oriental,2017-12-09,
Papilio demodocus,Animalia,SWALLOWTAILS_PAPILIONIDAE,Christmas Butterfly,,1,15.826,8.721,Africa,Chad,TD,,Chad - Logone Occidental,2017-12-06,10:00
Junonia chorimene,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Golden Pansy,,1,15.826,8.721,Africa,Chad,TD,,Chad - Logone Occidental,2017-12-06,10:00
Acraea serena,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Small Orange Acraea,,1,15.859,8.714,Africa,Chad,TD,,Chad - Logone Occidental,2017-12-06,12:00
