scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Saxicola sibilla,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Madagascan Stonechat,,1,43.3550333977,-11.7497414956,Africa,Comoros,KM,,Comoros - Grande Comore,2014-10-08,
Agapornis canus,Animalia,PSITTACULIDAE,Grey-headed Lovebird,,1,43.263258934,-11.7275666001,Africa,Comoros,KM,,Comoros - Grande Comore,2014-10-09,
Pteropus seychellensis,Animalia,OLD_WORLD_FRUITEATING_BATS_PTEROPODIDAE,Seychelles Flying Fox,,1,44.4874191284,-12.2865015404,Africa,Comoros,KM,,Comoros - Anjouan,2014-10-11,
Pteropus livingstonii,Animalia,OLD_WORLD_FRUITEATING_BATS_PTEROPODIDAE,Comoro Black Flying Fox,,1,44.4036,-12.1576,Africa,Comoros,KM,,Comoros - Anjouan,2014-10-12,23:48
Dicrurus fuscipennis,Animalia,DRONGOS_DICRURIDAE,Grand Comoro Drongo,,1,43.2406,-11.7188,Africa,Comoros,KM,,Comoros,2014-10-09,13:19
Leptosomus discolor gracilis,Animalia,CUCKOO_ROLLER_LEPTOSOMATIDAE,Cuckoo Roller ssp gracilis,,1,43.2406,-11.7183,Africa,Comoros,KM,,Comoros,2014-10-09,13:17
Pteropus livingstonii,Animalia,OLD_WORLD_FRUITEATING_BATS_PTEROPODIDAE,Comoro Black Flying Fox,,1,44.437581,-12.22846202,Africa,Comoros,KM,,Comoros - Anjouan,2014-10-12,
Humblotia flavirostris,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Humblot's Flycatcher,,3,43.30112502,-11.74355521,Africa,Comoros,KM,,Comoros - Grande Comore,2014-10-09,
Leptosomus discolor gracilis,Animalia,CUCKOO_ROLLER_LEPTOSOMATIDAE,Cuckoo Roller ssp gracilis,,1,43.29202831,-11.74502777,Africa,Comoros,KM,,Comoros - Grande Comore,2014-10-08,
Dicrurus fuscipennis,Animalia,DRONGOS_DICRURIDAE,Grand Comoro Drongo,,7,43.30118202,-11.80993382,Africa,Comoros,KM,,Comoros - Grande Comore,2014-10-07,
