scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Chaetodon ephippium,Animalia,Butterflyfishes,Saddle Butterflyfish,,1,-159.758119583,-21.2007370695,Australia,Cook Islands,CK,,Cook Islands - Rarotonga,1998-12-14,
Gygis alba,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,White Tern,,1,-159.749879837,-18.9258545767,Australia,Cook Islands,CK,,Cook Islands - Aitutaki,1998-12-09,
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,1,-159.757690429,-18.8500307492,Australia,Cook Islands,CK,,Cook Islands - Aitutaki,1998-12-09,
Ostracion meleagris,Animalia,Boxfishes,Spotted boxfish,,1,-157.358486652,-20.1454809008,Australia,Cook Islands,CK,,Cook Islands,2008-11-23,
Tholymis tillarga,Animalia,SKIMMERS_LIBELLULIDAE,Twister,,1,-159.767389297,-21.2667241224,Australia,Cook Islands,CK,,Cook Islands - Rarotonga,2008-11-20,
Tringa incana,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Wandering Tattler,,1,-157.357617617,-20.1743244136,Australia,Cook Islands,CK,,Cook Islands,2008-11-22,
Fregata minor,Animalia,FRIGATEBIRDS_FREGATTIDAE,Great Frigatebird,,5,-159.761810303,-21.2593012537,Australia,Cook Islands,CK,,Cook Islands - Rarotonga,2008-11-18,
Egretta sacra,Animalia,HERONS_ARDEIDAE,Pacific Reef Heron,,2,-157.358629703,-20.1450649077,Australia,Cook Islands,CK,,Cook Islands,2008-11-23,
Tringa incana,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Wandering Tattler,,1,-157.358636856,-20.1453398863,Australia,Cook Islands,CK,,Cook Islands,2008-11-22,
Egretta sacra,Animalia,HERONS_ARDEIDAE,Pacific Reef Heron,,2,-157.358751295,-20.1451344076,Australia,Cook Islands,CK,,Cook Islands,2008-11-22,
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,1,-157.356197834,-20.1464015207,Australia,Cook Islands,CK,,Cook Islands,2008-11-21,
Egretta sacra,Animalia,HERONS_ARDEIDAE,Pacific Reef Heron,,1,-157.35856533,-20.1451464947,Australia,Cook Islands,CK,,Cook Islands,2008-11-21,
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,25,-159.756402969,-21.2726589487,Australia,Cook Islands,CK,,Cook Islands - Rarotonga,2008-11-18,
Gygis alba,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,White Tern,,3,-159.829788208,-21.2267027938,Australia,Cook Islands,CK,,Cook Islands - Rarotonga,2008-11-18,
Tringa incana,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Wandering Tattler,,2,-159.829514623,-21.2290879987,Australia,Cook Islands,CK,,Cook Islands - Rarotonga,2008-11-17,
Gygis alba,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,White Tern,,5,-159.829664826,-21.2271828381,Australia,Cook Islands,CK,,Cook Islands - Rarotonga,2008-11-17,
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,2,-159.829503894,-21.2275828739,Australia,Cook Islands,CK,,Cook Islands - Rarotonga,2008-11-17,
Pomarea dimidiata,Animalia,MONARCHS_MONARCHIDAE,Rarotonga Monarch,,1,-159.781036377,-21.2503421207,Australia,Cook Islands,CK,,Cook Islands - Rarotonga,1998-12-13,
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,1,-159.757663607,-18.8500256725,Australia,Cook Islands,CK,,Cook Islands,1998-12-09,
Tringa incana,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Wandering Tattler,,1,-159.736694098,-18.9371396896,Australia,Cook Islands,CK,,Cook Islands - Aitutaki,1998-12-09,
Pluvialis fulva,Animalia,PLOVERS_CHARADRIIDAE,Pacific Golden Plover,,1,-159.73671019,-18.9371143191,Australia,Cook Islands,CK,,Cook Islands - Aitutaki,1998-12-09,
Gygis alba,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,White Tern,,1,-159.750094414,-18.9256008559,Australia,Cook Islands,CK,,Cook Islands,1998-12-09,
