scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Lantana camara,Plantae,VERBENACEAE,Largeleaf lantana,,1,-61.316946745,15.576864171,North America,Dominica,DM,,Dominica - Saint Andrew,2006-05-20,
Orthorhyncus cristatus,Animalia,HUMMINGBIRDS_TROCHILIDAE,Antillean Crested Hummingbird,,1,-61.316946745,15.576864171,North America,Dominica,DM,,Dominica - Saint Andrew,2006-05-20,
Loxigilla noctis dominicana,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Lesser Antillean Bullfinch ssp dominicana,,1,-61.310876012,15.3948877461,North America,Dominica,DM,,Dominica - Saint David,2006-06-03,
Mimosa pudica,Plantae,Fabaceae,Common sensitive-plant,,1,-61.3251301647,15.4445015684,North America,Dominica,DM,,Dominica - Saint Joseph,2006-05-25,
Psychotria urbaniana,Plantae,RUBIACEAE,,,1,-61.3135474921,15.3986528828,North America,Dominica,DM,,Dominica - Saint David,2006-06-03,
Cocos nucifera,Plantae,Arecaceae,Coconut palm,,1,-61.3684630395,15.5971103802,North America,Dominica,DM,,Dominica,2006-05-24,
Fregata magnificens,Animalia,FRIGATEBIRDS_FREGATTIDAE,Magnificent Frigatebird,,20,-61.4287804998,15.4178922877,North America,Dominica,DM,,Dominica,2010-03-12,14:03
Physeter macrocephalus,Animalia,SPERM_WHALES_PHYSETERIDAE,Sperm Whale,,3,-61.42821908,15.1997173614,North America,Dominica,DM,,Commonwealth of Dominica,2010-03-13,13:35
Pelecanus occidentalis,Animalia,PELICANS_PELECANIDAE,Brown Pelican,,5,-61.4325568825,15.4229032806,North America,Dominica,DM,,Dominica,2010-03-12,14:30
Amazona imperialis,Animalia,PARROTS_PSITTACIDAE,Imperial Amazon,,2,-61.4167499542,15.4991312829,North America,Dominica,DM,,Dominica - Morne Diablotin NP,2010-03-14,10:01
Calidris pusilla,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Semipalmated Sandpiper,,2,-61.435670256615,15.428622594258,North America,Dominica,DM,,Dominica - Saint Joseph,2013-04-01,
Margarops fuscatus,Animalia,THRASHERS_MIMIDAE,Pearly-eyed Thrasher,,5,-61.4217710495,15.515054988611,North America,Dominica,DM,,Dominica - Saint Peter,2013-04-01,
Myadestes genibarbis,Animalia,THRUSHES_TURDIDAE,Rufous-throated Solitaire,,2,-61.421728134155,15.514476066551,North America,Dominica,DM,,Dominica - Saint Peter,2013-04-01,
Buteo platypterus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Broad-winged Hawk,,5,-61.422865390778,15.51200529165,North America,Dominica,DM,,Dominica - Saint Peter,2013-04-03,
Allenia fusca,Animalia,THRASHERS_MIMIDAE,Scaly-breasted Thrasher,,5,-61.422865390778,15.51200529165,North America,Dominica,DM,,Dominica - Saint Peter,2013-04-03,
Patagioenas squamosa,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Scaly-naped Pigeon,,10,-61.461253166199,15.554087127015,North America,Dominica,DM,,Dominica - Saint John,2013-04-03,
Mniotilta varia,Animalia,NEW_WORLD_WARBLERS_PARULIDAE,Black-and-white Warbler,,1,-61.421899795532,15.512408474511,North America,Dominica,DM,,Dominica - Saint Peter,2013-04-01,
Troglodytes aedon,Animalia,WRENS_TROGLODYTIDAE,House Wren,,2,-61.421899795532,15.512408474511,North America,Dominica,DM,,Dominica - Saint Peter,2013-04-01,
Dendroica petechia,Animalia,NEW_WORLD_WARBLERS_PARULIDAE,Yellow Warbler,,2,-61.421899795532,15.512408474511,North America,Dominica,DM,,Dominica - Saint Peter,2013-04-01,
Amazona arausiaca,Animalia,PARROTS_PSITTACIDAE,Red-necked Amazon,,4,-61.421899795532,15.512408474511,North America,Dominica,DM,,Dominica - Saint Peter,2013-04-01,
Saltator albicollis,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Lesser Antillean Saltator,,4,-61.471166610718,15.585836628895,North America,Dominica,DM,,Dominica - Saint John,2013-04-01,
Dendroica plumbea,Animalia,NEW_WORLD_WARBLERS_PARULIDAE,,,1,-61.471166610718,15.585836628895,North America,Dominica,DM,,Dominica - Saint John,2013-04-01,
Eulampis holosericeus,Animalia,HUMMINGBIRDS_TROCHILIDAE,Green-throated Carib,,5,-61.471166610718,15.585836628895,North America,Dominica,DM,,Dominica - Saint John,2013-04-01,
Chaetura martinica,Animalia,SWIFTS_APODIDAE,Lesser Antillean Swift,,20,-61.456661224365,15.566655224322,North America,Dominica,DM,,Dominica - Saint John,2013-04-01,
Erythemis vesiculosa,Animalia,SKIMMERS_LIBELLULIDAE,Great Pondhawk,,1,-61.32565677166,15.58645668753,North America,Dominica,DM,,Dominica - Saint Andrew,2006-06-04,
Turdus nudigenis,Animalia,THRUSHES_TURDIDAE,Spectacled Thrush,,3,-61.469707489014,15.587572788355,North America,Dominica,DM,,Dominica - Saint John,2012-06-03,07:00
Myadestes genibarbis,Animalia,THRUSHES_TURDIDAE,Rufous-throated Solitaire,,3,-61.411484243581,15.52045542515,North America,Dominica,DM,,Dominica - Morne Diablotin NP,2012-12-12,
Troglodytes aedon,Animalia,WRENS_TROGLODYTIDAE,House Wren,,8,-61.411484243581,15.52045542515,North America,Dominica,DM,,Dominica - Morne Diablotin NP,2012-12-12,
Allenia fusca,Animalia,THRASHERS_MIMIDAE,Scaly-breasted Thrasher,,3,-61.47246104505,15.583566164918,North America,Dominica,DM,,Dominica - Saint John,2012-12-12,
Patagioenas squamosa,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Scaly-naped Pigeon,,1,-61.462833524274,15.605931775882,North America,Dominica,DM,,Dominica - Saint John,2012-12-12,
Buteo platypterus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Broad-winged Hawk,,1,-61.364105703542,15.574534697936,North America,Dominica,DM,,Dominica - Saint Andrew,2012-12-12,
Coereba flaveola,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Bananaquit,,1,-61.446372927578,15.45113958131,North America,Dominica,DM,,Dominica - Saint Joseph,2006-05-29,
Eulampis holosericeus,Animalia,HUMMINGBIRDS_TROCHILIDAE,Green-throated Carib,,4,-61.422715187073,15.519438202939,North America,Dominica,DM,,Dominica - Saint Peter,2012-06-02,09:00
Allenia fusca,Animalia,THRASHERS_MIMIDAE,Scaly-breasted Thrasher,,4,-61.422715187073,15.519438202939,North America,Dominica,DM,,Dominica - Saint Peter,2012-06-02,09:00
Buteo platypterus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Broad-winged Hawk,,6,-61.422715187073,15.519438202939,North America,Dominica,DM,,Dominica - Saint Peter,2012-06-02,09:00
Troglodytes aedon,Animalia,WRENS_TROGLODYTIDAE,House Wren,,4,-61.422715187073,15.519438202939,North America,Dominica,DM,,Dominica - Saint Peter,2012-06-02,09:00
Myadestes genibarbis,Animalia,THRUSHES_TURDIDAE,Rufous-throated Solitaire,,1,-61.422715187073,15.519438202939,North America,Dominica,DM,,Dominica - Saint Peter,2012-06-02,09:00
Buteo platypterus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Broad-winged Hawk,,4,-61.453142166138,15.594682621581,North America,Dominica,DM,,Dominica - Saint John,2012-06-01,14:00
Patagioenas squamosa,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Scaly-naped Pigeon,,15,-61.448335647583,15.607165570177,North America,Dominica,DM,,Dominica - Saint John,2012-06-01,14:00
Eulampis holosericeus,Animalia,HUMMINGBIRDS_TROCHILIDAE,Green-throated Carib,,3,-61.482780616764,15.599439688603,North America,Dominica,DM,,Dominica - Cabrits NP,2012-06-01,14:00
Momordica charantia,Plantae,CUCURBITACEAE,Carilla gourd,,2,-61.318186,15.575989,North America,Dominica,DM,,Dominica - Saint Andrew,2006-05-21,
Momordica charantia,Plantae,CUCURBITACEAE,Carilla gourd,,3,-61.318186,15.575989,North America,Dominica,DM,,Dominica - Saint Andrew,2006-05-21,
Tyrannus dominicensis,Animalia,TYRANT_FLYCATCHERS_TYRANNIDAE,Grey Kingbird,,1,-61.31884932518,15.577220203762,North America,Dominica,DM,,Dominica - Saint Andrew,2006-05-28,
Pseudosphinx tetrio,Animalia,Sphingidae,,,1,-61.44688214269,15.450650368265,North America,Dominica,DM,,Dominica - Saint Joseph,2006-05-29,14:35
Iguana delicatissima,Animalia,Iguanidae,West Indian Iguana,,1,-61.44688214269,15.450650368265,North America,Dominica,DM,,Dominica - Saint Joseph,2006-05-29,14:31
Amazona imperialis,Animalia,PARROTS_PSITTACIDAE,Imperial Amazon,,1,-61.42201379,15.5193135,North America,Dominica,DM,,Dominica - Morne Diablotin NP,2012-06-02,
Sula leucogaster,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Brown Booby,,20,-61.37060051,15.21370657,North America,Dominica,DM,,Dominica,2018-11-30,
Sula leucogaster,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Brown Booby,,1,-61.39662781,15.29272937,North America,Dominica,DM,,Dominica - Caribbean Sea,2017-07-16,
Pachystachys lutea,Plantae,ACANTHACEAE,Yellow-candles,,1,-61.3505686283,15.3164929602,North America,Dominica,DM,,Dominica - Saint George,2006-05-26,
