scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Coccyzus longirostris,Animalia,CUCKOOS_AND_COUCALS_CUCULIDAE,Hispaniolan Lizard Cuckoo,,1,-70.4153341055,19.7537497602,North America,Dominican Republic,DO,,Dominican Republic,2014-10-08,17:00
Coccyzus longirostris,Animalia,CUCKOOS_AND_COUCALS_CUCULIDAE,Hispaniolan Lizard Cuckoo,,1,-68.3555884659,18.5377216997,North America,Dominican Republic,DO,,"Dominican Republic - Bayahibe,,2006-02-05
Fregata magnificens,Animalia,FRIGATEBIRDS_FREGATTIDAE,Magnificent Frigatebird,,30,-68.6750757694,18.1174607753,North America,Dominican Republic,DO,,Dominican Republic - Del Este NP,2006-02-05,
Thalasseus acuflavidus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Cabot's Tern,,1,-68.3551163971,18.5371927463,North America,Dominican Republic,DO,,"Dominican Republic - Bayahibe,,2006-02-04
Melanerpes striatus,Animalia,WOODPECKERS_PICIDAE,Hispaniolan Woodpecker,,1,-68.3551163971,18.5371927463,North America,Dominican Republic,DO,,"Dominican Republic - Bayahibe,,2006-02-04
Pelecanus occidentalis,Animalia,PELICANS_PELECANIDAE,Brown Pelican,,1,-68.3551163971,18.5371927463,North America,Dominican Republic,DO,,"Dominican Republic - Bayahibe,,2006-02-01
Heliconius charithonia,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Zebra Heliconian,,1,-68.845937848091,18.378800141369,North America,Dominican Republic,DO,,Dominican Republic,2007-03-19,
Phaenicophilus palmarum,Animalia,PHAENICOPHILIDAE,Black-crowned Tanager,,1,-68.824995160103,18.343120170424,North America,Dominican Republic,DO,,Dominican Republic,2007-03-07,
Tiaris olivaceus,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Yellow-faced Grassquit,,1,-68.824995160103,18.343120170424,North America,Dominican Republic,DO,,Dominican Republic,2007-03-07,
Coereba flaveola,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Bananaquit,,1,-68.824995160103,18.343120170424,North America,Dominican Republic,DO,,Dominican Republic,2007-03-07,
Mimus polyglottos,Animalia,THRASHERS_MIMIDAE,Northern Mockingbird,,1,-68.824995160103,18.343120170424,North America,Dominican Republic,DO,,Dominican Republic,2007-03-07,
Tyrannus dominicensis,Animalia,TYRANT_FLYCATCHERS_TYRANNIDAE,Grey Kingbird,,1,-68.824995160103,18.343120170424,North America,Dominican Republic,DO,,Dominican Republic,2007-03-19,
Amazona ventralis,Animalia,PARROTS_PSITTACIDAE,Hispaniolan Amazon,,1,-68.824995160103,18.343120170424,North America,Dominican Republic,DO,,Dominican Republic,2007-03-03,
Falco sparverius,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,American Kestrel,,1,-68.824995160103,18.343120170424,North America,Dominican Republic,DO,,Dominican Republic,2007-03-14,
Anthracothorax dominicus,Animalia,HUMMINGBIRDS_TROCHILIDAE,Antillean Mango,,1,-68.824995160103,18.343120170424,North America,Dominican Republic,DO,,Dominican Republic,2007-03-03,
Crotophaga ani,Animalia,CUCKOOS_AND_COUCALS_CUCULIDAE,Smooth-billed Ani,,3,-68.824995160103,18.343120170424,North America,Dominican Republic,DO,,Dominican Republic,2007-03-19,
Tringa semipalmata,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Willet,,1,-68.82499516,18.34312017,North America,Dominican Republic,DO,,Dominican Republic,2007-03-01,
Arenaria interpres,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Ruddy Turnstone,,1,-68.824995160103,18.343120170424,North America,Dominican Republic,DO,,Dominican Republic,2007-03-01,
Charadrius vociferus,Animalia,PLOVERS_CHARADRIIDAE,Killdeer,,1,-68.85,18.3,North America,Dominican Republic,DO,,Dominican Republic,2007-04-01,
Nyctanassa violacea,Animalia,HERONS_ARDEIDAE,Yellow-crowned Night Heron,,1,-68.824995160103,18.343120170424,North America,Dominican Republic,DO,,Dominican Republic,2007-03-01,
Butorides virescens,Animalia,HERONS_ARDEIDAE,Green Heron,,1,-68.824995160103,18.343120170424,North America,Dominican Republic,DO,,Dominican Republic,2007-03-30,
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,1,-68.824995160103,18.343120170424,North America,Dominican Republic,DO,,Dominican Republic,2007-03-21,
Egretta caerulea,Animalia,HERONS_ARDEIDAE,Little Blue Heron,,1,-68.824995160103,18.343120170424,North America,Dominican Republic,DO,,Dominican Republic,2007-03-01,
Egretta thula,Animalia,HERONS_ARDEIDAE,Snowy Egret,,1,-68.824995160103,18.343120170424,North America,Dominican Republic,DO,,Dominican Republic,2007-03-01,
Fregata magnificens,Animalia,FRIGATEBIRDS_FREGATTIDAE,Magnificent Frigatebird,,1,-68.824995160103,18.343120170424,North America,Dominican Republic,DO,,Dominican Republic,2007-03-01,
Rallus crepitans caribaeus,Animalia,RAILS_RALLIDAE,Clapper Rail ssp caribaeus,,1,-71.371147155762,18.01009730875,North America,Dominican Republic,DO,,Dominican Republic,2001-02-01,
Antrostomus ekmani,Animalia,NIGHTJARS_CAPRIMULGIDAE,Hispaniolan Nightjar,,5,-71.153650376688,18.08045744083,North America,Dominican Republic,DO,,Dominican Republic,2001-01-28,
Pelecanus occidentalis,Animalia,PELICANS_PELECANIDAE,Brown Pelican,,5,-68.766700744629,18.193331782235,North America,Dominican Republic,DO,,Dominican Republic - Del Este NP,2012-07-23,
Melanerpes striatus,Animalia,WOODPECKERS_PICIDAE,Hispaniolan Woodpecker,,1,-68.4577263594,18.7247030537,North America,Dominican Republic,DO,,"Dominican Republic - Bayahibe,,2012-07-24
Dulus dominicus,Animalia,PALMCHAT_DULIDAE,Palmchat,,5,-70.4090709686,19.7455971119,North America,Dominican Republic,DO,,Dominican Republic,1990-11-11,
Tyrannus dominicensis,Animalia,TYRANT_FLYCATCHERS_TYRANNIDAE,Grey Kingbird,,1,-70.4015354588,19.7492424321,North America,Dominican Republic,DO,,Dominican Republic,1990-11-10,
Charadrius vociferus,Animalia,PLOVERS_CHARADRIIDAE,Killdeer,,1,-70.4,19.75,North America,Dominican Republic,DO,,Dominican Republic,1990-11-19,
Melanerpes striatus,Animalia,WOODPECKERS_PICIDAE,Hispaniolan Woodpecker,,2,-70.4014749527,19.7491414711,North America,Dominican Republic,DO,,Dominican Republic,1990-11-11,
Anthracothorax dominicus,Animalia,HUMMINGBIRDS_TROCHILIDAE,Antillean Mango,,1,-70.4014749527,19.7491414711,North America,Dominican Republic,DO,,Dominican Republic,1990-11-09,
Sula leucogaster,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Brown Booby,,2,-69.278755188,19.1664512289,North America,Dominican Republic,DO,,Dominican Republic,1990-11-17,
Antrostomus ekmani,Animalia,NIGHTJARS_CAPRIMULGIDAE,Hispaniolan Nightjar,,1,-71.181116197,18.0830683817,North America,Dominican Republic,DO,,Dominican Republic,2012-04-16,
Calyptophilus frugivorus,Animalia,CALYPTOPHILIDAE,Eastern Chat-Tanager,,1,-71.1921025251,18.0700132888,North America,Dominican Republic,DO,,Dominican Republic,2012-04-16,
Psittacara chloropterus,Animalia,PARROTS_PSITTACIDAE,Hispaniolan Parakeet,,250,-69.9848678635,18.4769313464,North America,Dominican Republic,DO,,Dominican Republic,2012-04-14,
Melanerpes striatus,Animalia,WOODPECKERS_PICIDAE,Hispaniolan Woodpecker,,2,-69.9848678635,18.4769313464,North America,Dominican Republic,DO,,Dominican Republic,2012-04-14,
Dulus dominicus,Animalia,PALMCHAT_DULIDAE,Palmchat,,5,-69.9848678635,18.4769313464,North America,Dominican Republic,DO,,Dominican Republic,2012-04-14,
Tyrannus dominicensis,Animalia,TYRANT_FLYCATCHERS_TYRANNIDAE,Grey Kingbird,,2,-68.4119928858,18.6678862129,North America,Dominican Republic,DO,,"Dominican Republic - Bayahibe,,2012-01-18
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,1,-68.7114132426,18.1339124209,North America,Dominican Republic,DO,,Dominican Republic - Del Este NP,2012-01-18,
Thalasseus maximus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Royal Tern,,1,-68.8492573283,18.3756740686,North America,Dominican Republic,DO,,Dominican Republic,2012-01-18,
Columbina passerina,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Common Ground Dove,,2,-68.4067035697,18.6690347851,North America,Dominican Republic,DO,,"Dominican Republic - Bayahibe,,2012-01-16
Zenaida macroura,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Mourning Dove,,1,-68.4118802331,18.6680031034,North America,Dominican Republic,DO,,"Dominican Republic - Bayahibe,,2012-01-16
Melanerpes striatus,Animalia,WOODPECKERS_PICIDAE,Hispaniolan Woodpecker,,1,-68.4120787165,18.6683537742,North America,Dominican Republic,DO,,"Dominican Republic - Bayahibe,,2012-01-16
Passer domesticus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,,1,-68.4070844433,18.669324468,North America,Dominican Republic,DO,,"Dominican Republic - Bayahibe,,2012-01-16
Anas bahamensis,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,White-cheeked Pintail,,2,-68.4056199572,18.670325649,North America,Dominican Republic,DO,,"Dominican Republic - Bayahibe,,2012-01-16
Gallinula galeata,Animalia,RAILS_RALLIDAE,Common Gallinule,,1,-68.4055824063,18.6703459775,North America,Dominican Republic,DO,,"Dominican Republic - Bayahibe,,2012-01-14
Fulica caribaea,Animalia,RAILS_RALLIDAE,Caribbean coot,,1,-68.4055824063,18.6703459775,North America,Dominican Republic,DO,,"Dominican Republic - Bayahibe,,2012-01-14
Coereba flaveola,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Bananaquit,,1,-68.4049869559,18.6703764702,North America,Dominican Republic,DO,,"Dominican Republic - Bayahibe,,2012-01-14
Podilymbus podiceps,Animalia,GREBES_PODICIPEDIDAE,Pied-billed Grebe,,1,-68.4053356431,18.6703104027,North America,Dominican Republic,DO,,"Dominican Republic - Bayahibe,,2012-01-14
Ardea alba,Animalia,HERONS_ARDEIDAE,Great Egret,,1,-68.4053892872,18.6704984411,North America,Dominican Republic,DO,,"Dominican Republic - Bayahibe,,2012-01-14
Egretta thula,Animalia,HERONS_ARDEIDAE,Snowy Egret,,1,-68.4051103375,18.6707677931,North America,Dominican Republic,DO,,"Dominican Republic - Bayahibe,,2012-01-13
Butorides virescens,Animalia,HERONS_ARDEIDAE,Green Heron,,2,-68.4051157019,18.6705441801,North America,Dominican Republic,DO,,"Dominican Republic - Bayahibe,,2012-01-13
Egretta tricolor,Animalia,HERONS_ARDEIDAE,Tricolored Heron,,3,-68.4051157019,18.6705441801,North America,Dominican Republic,DO,,"Dominican Republic - Bayahibe,,2012-01-13
Crotophaga ani,Animalia,CUCKOOS_AND_COUCALS_CUCULIDAE,Smooth-billed Ani,,2,-68.4065640948,18.6692431536,North America,Dominican Republic,DO,,"Dominican Republic - Bayahibe,,2012-01-13
