scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Campylorhynchus capistratus,Animalia,WRENS_TROGLODYTIDAE,Rufous-backed Wren,,1,-89.0221739263,13.939240266,North America,El Salvador,SV,,El Salvador - Cuscatlán,2014-10-29,08:38
Melanerpes santacruzi,Animalia,WOODPECKERS_PICIDAE,Velasquez's Woodpecker,,1,-89.02222130056,13.9392960265718,North America,El Salvador,SV,,El Salvador - Cuscatlán,2014-10-28,15:49
Melanerpes santacruzi,Animalia,WOODPECKERS_PICIDAE,Velasquez's Woodpecker,,1,-88.8931274414,13.3361751865,North America,El Salvador,SV,,El Salvador - La Paz,2013-11-11,
Ardea herodias,Animalia,HERONS_ARDEIDAE,Great Blue Heron,,1,-89.0268906382,13.9437236744,North America,El Salvador,SV,,El Salvador - Cuscatlán,2011-11-15,
Basiliscus vittatus,Animalia,Corytophanidae,Striped Basilisk,,1,-89.0268906382,13.9437236744,North America,El Salvador,SV,,El Salvador - Cuscatlán,2011-11-15,
Sciurus variegatoides bangsi,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Variegated Squirrel ssp bangsi,,1,-89.02689064,13.94372367,North America,El Salvador,SV,,El Salvador - Cuscatlán,2011-11-14,
Anartia fatima,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Banded Peacock,,1,-89.0263519287,13.9456914197,North America,El Salvador,SV,,El Salvador - Cuscatlán,2011-11-12,
Brachymesia herbida,Animalia,SKIMMERS_LIBELLULIDAE,Tawny Pennant,,1,-89.0263519287,13.9456914197,North America,El Salvador,SV,,El Salvador - Cuscatlán,2011-11-12,
Periplaneta australasiae,Animalia,BLATTIDAE,Australian cockroach,,1,-89.0263519287,13.9456914197,North America,El Salvador,SV,,El Salvador - Cuscatlán,2011-11-12,
Polistinae indet.,Animalia,Vespidae,Polistinae unknown,,100,-89.0263519287,13.9456914197,North America,El Salvador,SV,,El Salvador - Cuscatlán,2011-11-12,
Mutillidae indet.,Animalia,Mutillidae,Velvet Ant unknown,,1,-89.0263519287,13.9456914197,North America,El Salvador,SV,,El Salvador - Cuscatlán,2011-11-12,
Pelecanus occidentalis,Animalia,PELICANS_PELECANIDAE,Brown Pelican,,50,-87.7206954956,13.1663727758,North America,El Salvador,SV,,El Salvador - La Unión,2011-11-11,
Fregata magnificens,Animalia,FRIGATEBIRDS_FREGATTIDAE,Magnificent Frigatebird,,100,-87.7206954956,13.1663727758,North America,El Salvador,SV,,El Salvador - La Unión,2011-11-11,
Melanerpes santacruzi,Animalia,WOODPECKERS_PICIDAE,Velasquez's Woodpecker,,4,-89.2467391,13.6694024,North America,El Salvador,SV,,El Salvador - La Libertad,2017-12-30,10:00
Melanerpes santacruzi,Animalia,WOODPECKERS_PICIDAE,Velasquez's Woodpecker,,3,-89.2467391,13.6694024,North America,El Salvador,SV,,El Salvador - La Libertad,2017-12-27,10:00
Melanerpes santacruzi,Animalia,WOODPECKERS_PICIDAE,Velasquez's Woodpecker,,2,-89.948051,13.8719703,North America,El Salvador,SV,,El Salvador - Ahuachapán,2018-01-04,09:00
Campylorhynchus capistratus capistratus,Animalia,WRENS_TROGLODYTIDAE,Rufous-backed Wren ssp capistratus,,9,-89.6743155,13.9789947,North America,El Salvador,SV,,El Salvador - Santa Ana,2017-12-20,10:00
Campylorhynchus capistratus capistratus,Animalia,WRENS_TROGLODYTIDAE,Rufous-backed Wren ssp capistratus,,1,-89.2467391,13.6694024,North America,El Salvador,SV,,El Salvador - La Libertad,2017-12-30,10:00
Campylorhynchus capistratus capistratus,Animalia,WRENS_TROGLODYTIDAE,Rufous-backed Wren ssp capistratus,,9,-89.2467391,13.6694024,North America,El Salvador,SV,,El Salvador - La Libertad,2017-12-27,10:00
Campylorhynchus capistratus capistratus,Animalia,WRENS_TROGLODYTIDAE,Rufous-backed Wren ssp capistratus,,3,-89.948051,13.8719703,North America,El Salvador,SV,,El Salvador - Ahuachapán,2018-01-04,09:00
Campylorhynchus capistratus castaneus,Animalia,WRENS_TROGLODYTIDAE,Rufous-backed Wren ssp castaneus,,1,-89.40010071,14.38545039,North America,El Salvador,SV,,El Salvador - Parque Nacional Montecristo NP,2009-07-02,14:00
Campylorhynchus capistratus capistratus,Animalia,WRENS_TROGLODYTIDAE,Rufous-backed Wren ssp capistratus,,1,-89.94712738,13.8277572,North America,El Salvador,SV,,El Salvador - Ahuachapán,2005-10-09,08:00
Melanerpes santacruzi,Animalia,WOODPECKERS_PICIDAE,Velasquez's Woodpecker,,1,-89.6465250104624,13.712098503714074,North America,El Salvador,SV,,El Salvador - Sonsonate,2005-10-08,09:00
Momotus lessonii,Animalia,MOTMOTS_MOMOTIDAE,Lesson's Motmot,,1,-89.6465250104624,13.712098503714074,North America,El Salvador,SV,,El Salvador - Sonsonate,2005-10-08,09:00
