scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Fratercula arctica,Animalia,AUKS_ALCIDAE,Atlantic Puffin,,1,-6.79858982563,61.7730404062,Europe,Faroe Islands,FO,,Faroe Islands,2014-08-25,
Troglodytes troglodytes borealis,Animalia,WRENS_TROGLODYTIDAE,Faroe Wren,,1,-6.54406316,62.36031835,Europe,Faroe Islands,FO,,Faroe Islands,2014-07-13,14:51
Stercorarius skua,Animalia,SKUAS_STERCORARIIDAE,Great Skua,,1,-7.21435569227,62.0651352066,Europe,Faroe Islands,FO,,Faroe Islands,2011-06-14,
Tadorna cana,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,South African Shelduck,,1,-6.83974587918,62.0478881839,Europe,Faroe Islands,FO,,Faroe Islands,2011-07-14,10:00
Globicephala melas,Animalia,DOLPHINS_DELPHINIDAE,Long-Finned Pilot Whale,,1,-6.7504119873,62.0630549537,Europe,Faroe Islands,FO,,Faroe Islands,1976-06-24,
Delichon urbicum,Animalia,SWALLOWS_HIRUNDINIDAE,Common House Martin,,3,-7.64785767,62.10484315,Europe,Faroe Islands,FO,,Faroe Islands,1976-06-13,
Globicephala melas,Animalia,DOLPHINS_DELPHINIDAE,Long-Finned Pilot Whale,,6,-7.22076416016,62.1462593122,Europe,Faroe Islands,FO,,Faroe Islands,1976-06-10,
Haematopus ostralegus,Animalia,OYSTERCATCHERS_HAEMATOPODIDAE,Eurasian Oystercatcher,,8,-6.7886066,62.362034,Europe,Faroe Islands,FO,,Faroe Islands,2018-07-24,18:11
Larus fuscus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Lesser Black-backed Gull,,1,-6.6741085,62.009849,Europe,Faroe Islands,FO,,Faroe Islands,2018-07-23,15:35
Arenaria interpres,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Ruddy Turnstone,,1,-7.15295121073723,62.0536675412453,Europe,Faroe Islands,FO,,Faroe Islands,2019-12-22,11:08
Arenaria interpres,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Ruddy Turnstone,,1,-7.15355705469847,62.053709807909,Europe,Faroe Islands,FO,,Faroe Islands,2019-12-22,11:08
Arenaria interpres,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Ruddy Turnstone,,1,-7.15339578688145,62.0539016569708,Europe,Faroe Islands,FO,,Faroe Islands,2019-12-22,11:08
Sturnus vulgaris,Animalia,STARLINGS_STURNIDAE,Common Starling,,1,-7.15170700103045,62.0544039783851,Europe,Faroe Islands,FO,,Faroe Islands,2019-12-22,11:10
Corvus cornix,Animalia,CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,1,-7.15511474758387,62.0540119578488,Europe,Faroe Islands,FO,,Faroe Islands,2019-12-22,11:15
Arenaria interpres,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Ruddy Turnstone,,1,-7.15536687523127,62.0538897155412,Europe,Faroe Islands,FO,,Faroe Islands,2019-12-22,11:16
Arenaria interpres,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Ruddy Turnstone,,1,-7.15536687523127,62.0538897155412,Europe,Faroe Islands,FO,,Faroe Islands,2019-12-22,11:16
Arenaria interpres,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Ruddy Turnstone,,1,-7.15536687523127,62.0538897155412,Europe,Faroe Islands,FO,,Faroe Islands,2019-12-22,11:16
Arenaria interpres,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Ruddy Turnstone,,1,-7.15536687523127,62.0538897155412,Europe,Faroe Islands,FO,,Faroe Islands,2019-12-22,11:16
Arenaria interpres,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Ruddy Turnstone,,1,-7.15536687523127,62.0538897155412,Europe,Faroe Islands,FO,,Faroe Islands,2019-12-22,11:16
Arenaria interpres,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Ruddy Turnstone,,1,-7.15536687523127,62.0538897155412,Europe,Faroe Islands,FO,,Faroe Islands,2019-12-22,11:16
Arenaria interpres,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Ruddy Turnstone,,1,-7.15536687523127,62.0538897155412,Europe,Faroe Islands,FO,,Faroe Islands,2019-12-22,11:16
Arenaria interpres,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Ruddy Turnstone,,1,-7.15536687523127,62.0538897155412,Europe,Faroe Islands,FO,,Faroe Islands,2019-12-22,11:16
Arenaria interpres,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Ruddy Turnstone,,1,-7.15536687523127,62.0538897155412,Europe,Faroe Islands,FO,,Faroe Islands,2019-12-22,11:16
Arenaria interpres,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Ruddy Turnstone,,1,-7.15536687523127,62.0538897155412,Europe,Faroe Islands,FO,,Faroe Islands,2019-12-22,11:16
Caltha palustris,Plantae,RANUNCULACEAE,Marsh-marigold,,1,-6.8140984,62.243469,Europe,Faroe Islands,FO,,Faroe Islands,2018-07-25,16:17
Fratercula arctica,Animalia,AUKS_ALCIDAE,Atlantic Puffin,,2000,-7.67302752,62.09841558,Europe,Faroe Islands,FO,,Faroe Islands,2018-07-22,
Mimulus guttatus,Plantae,PHRYMACEAE,Monkeyflower,,10000,-6.9444859,62.32586,Europe,Faroe Islands,FO,,Faroe Islands,2018-07-21,15:37
Eriophorum angustifolium,Plantae,CYPERACEAE,Common Cottongrass,,1,-6.7597246,62.029621,Europe,Faroe Islands,FO,,Faroe Islands,2018-07-20,12:37
Anthus pratensis,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Meadow Pipit,,1,-5.575328,62.406055,Europe,Faroe Islands,FO,,Faroe Islands - Atlantic Ocean,2019-05-19,09:52
Cepphus grylle,Animalia,AUKS_ALCIDAE,Black Guillemot,,2,-7.168532371521,62.1533432006836,Europe,Faroe Islands,FO,,Faroe Islands,2019-10-15,09:33
Corvus cornix,Animalia,CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,2,-6.6725902557373,62.0067443847656,Europe,Faroe Islands,FO,,Faroe Islands,2019-10-14,08:13
Sturnus vulgaris,Animalia,STARLINGS_STURNIDAE,Common Starling,,1,-6.67255401611328,62.0067443847656,Europe,Faroe Islands,FO,,Faroe Islands,2019-10-14,08:13
Passer domesticus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,,1,-6.6717700958252,62.0063171386719,Europe,Faroe Islands,FO,,Faroe Islands,2019-10-14,08:16
Columba livia,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Rock Dove,,10,-6.6716513633728,62.0054092407227,Europe,Faroe Islands,FO,,Faroe Islands,2019-10-14,08:23
Troglodytes troglodytes borealis,Animalia,WRENS_TROGLODYTIDAE,Faroe Wren,,1,-6.67100381851196,62.0060043334961,Europe,Faroe Islands,FO,,Faroe Islands,2019-10-14,08:59
Turdus merula,Animalia,THRUSHES_TURDIDAE,Common Blackbird,,2,-6.67367124557495,62.0093765258789,Europe,Faroe Islands,FO,,Faroe Islands,2019-10-14,09:21
