scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Chaetodon lunulatus,Animalia,Butterflyfishes,Redfin Butterflyfish,,1,177.184460387,-17.1768752954,Australia,Fiji,FJ,,Fiji - Yasawa Islands,2010-12-01,
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,179.50587651,-18.56154044,Australia,Fiji,FJ,,Fiji - Suva,2014-04-17,18:21
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,179.19892203,-18.21107756,Australia,Fiji,FJ,,Fiji - Suva,2014-04-16,18:21
Arundina graminifolia,Plantae,ORCHIDACEAE,Bamboo orchid,,1,178.46,-18.07,Australia,Fiji,FJ,,Fiji - Viti Levu,2014-04-15,10:22
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,-179.70820538,-17.0735972,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,18:12
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,-179.71714434,-17.07891528,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,18:16
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,-179.73602809,-17.09012913,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,18:24
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,-179.75902829,-17.10345574,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,18:33
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,-179.81110172,-17.1355074,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,18:55
Pterodroma brevipes,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Collared Petrel,,2,-178.41273697,-16.47519525,Australia,Fiji,FJ,,Fiji - Suva,2014-04-13,10:00
Puffinus bailloni,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tropical Shearwater,,1,-177.95664847,-16.33808666,Australia,Fiji,FJ,,Fiji - Suva,2014-04-13,07:20
Pterodroma brevipes,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Collared Petrel,,1,-178.00736916,-16.35420312,Australia,Fiji,FJ,,Fiji - Suva,2014-04-13,07:38
Puffinus bailloni,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tropical Shearwater,,2,-178.02642376,-16.35989756,Australia,Fiji,FJ,,Fiji - Suva,2014-04-13,07:44
Pterodroma brevipes,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Collared Petrel,,1,-178.11661865,-16.38601126,Australia,Fiji,FJ,,Fiji - Suva,2014-04-13,08:16
Pterodroma brevipes,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Collared Petrel,,1,-178.49324948,-16.5014323,Australia,Fiji,FJ,,Fiji - Suva,2014-04-13,10:29
Pterodroma brevipes,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Collared Petrel,,1,-178.50903143,-16.50673512,Australia,Fiji,FJ,,Fiji - Suva,2014-04-13,10:34
Pterodroma brevipes,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Collared Petrel,,3,-178.53405702,-16.51549343,Australia,Fiji,FJ,,Fiji - Suva,2014-04-13,10:43
Pterodroma brevipes,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Collared Petrel,,1,-178.58434095,-16.53300703,Australia,Fiji,FJ,,Fiji - Suva,2014-04-13,11:01
Sula sula,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Red-footed Booby,,25,-179.47337182,-16.92183799,Australia,Fiji,FJ,,Fiji - Suva,2014-04-13,15:36
Puffinus bailloni,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tropical Shearwater,,1,-177.94651147,-16.33506535,Australia,Fiji,FJ,,Fiji - Suva,2014-04-13,07:17
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,-178.60407143,-16.53929992,Australia,Fiji,FJ,,Fiji - Suva,2014-04-13,11:08
Fregata ariel,Animalia,FRIGATEBIRDS_FREGATTIDAE,Lesser Frigatebird,,4,-178.6394565,-16.55032015,Australia,Fiji,FJ,,Fiji - Suva,2014-04-13,11:21
Sula sula,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Red-footed Booby,,3,-179.42051719,-16.88846604,Australia,Fiji,FJ,,Fiji - Suva,2014-04-13,15:14
Puffinus bailloni,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tropical Shearwater,,1,-178.04100159,-16.36417206,Australia,Fiji,FJ,,Fiji - Suva,2014-04-13,07:49
Arenaria interpres,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Ruddy Turnstone,,7,-178.41028705,-19.16105117,Australia,Fiji,FJ,,Fiji - Suva,2014-04-18,14:10
Tringa brevipes,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Grey-tailed Tattler,,3,-178.41029511,-19.16102646,Australia,Fiji,FJ,,Fiji - Suva,2014-04-18,14:10
Sula sula,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Red-footed Booby,,6,-178.61929098,-19.19844997,Australia,Fiji,FJ,,Fiji - Suva,2014-04-18,17:10
Pteropus tonganus,Animalia,OLD_WORLD_FRUITEATING_BATS_PTEROPODIDAE,Pacific Flying Fox,,4,-178.414535522,-19.1737071016,Australia,Fiji,FJ,,Fiji - Lau,2014-04-18,14:12
Foulehaio carunculatus,Animalia,HONEYEATERS_MELIPHAGIDAE,Polynesian Wattled Honeyeater,,6,-178.4080362,-19.15365526,Australia,Fiji,FJ,,Fiji - Suva,2014-04-18,11:48
Foulehaio carunculatus,Animalia,HONEYEATERS_MELIPHAGIDAE,Polynesian Wattled Honeyeater,,2,-178.41033924,-19.16099477,Australia,Fiji,FJ,,Fiji - Suva,2014-04-18,09:25
Todiramphus sacer marinus,Animalia,KINGFISHERS_ALCEDINIDAE,Pacific Kingfisher ssp marinus,,1,-178.40828341,-19.15611836,Australia,Fiji,FJ,,Fiji - Suva,2014-04-18,10:07
Pachycephala vitiensis,Animalia,WHISTLERS_PACHYCEPHALIDAE,Fiji Whistler,,3,-178.40865645,-19.15525177,Australia,Fiji,FJ,,Fiji - Suva,2014-04-18,11:01
Myzomela jugularis,Animalia,HONEYEATERS_MELIPHAGIDAE,Sulphur-breasted Myzomela,,1,178.455047607,-18.017915788,Australia,Fiji,FJ,,Fiji - Viti Levu,2014-04-18,09:25
Sula sula,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Red-footed Booby,,1,178.92286017,-18.20412829,Australia,Fiji,FJ,,Fiji - Suva,2014-04-16,13:36
Sula sula,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Red-footed Booby,,1,178.99650395,-18.20016304,Australia,Fiji,FJ,,Fiji - Suva,2014-04-16,14:01
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,179.14150266,-18.19636558,Australia,Fiji,FJ,,Fiji - Suva,2014-04-16,14:50
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,3,179.19891522,-18.21107606,Australia,Fiji,FJ,,Fiji - Suva,2014-04-16,17:26
Stenella longirostris longirostris,Animalia,DOLPHINS_DELPHINIDAE,Gray's Spinner Dolphin,,4,179.25308027,-18.42486059,Australia,Fiji,FJ,,Fiji - Suva,2014-04-17,16:22
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,179.45422084,-18.53447612,Australia,Fiji,FJ,,Fiji - Suva,2014-04-17,17:43
Artamus mentalis,Animalia,WOODSWALLOWS_ARTAMIDAE,Fiji Woodswallow,,1,178.78951456,-17.68921466,Australia,Fiji,FJ,,Fiji - Suva,2014-04-14,09:47
Ptilinopus luteovirens,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Golden Fruit Dove,,2,178.78905288,-17.68775451,Australia,Fiji,FJ,,Fiji - Suva,2014-04-14,09:59
Artamus mentalis,Animalia,WOODSWALLOWS_ARTAMIDAE,Fiji Woodswallow,,7,178.76433681,-17.70918021,Australia,Fiji,FJ,,Fiji - Suva,2014-04-14,11:31
Myiagra castaneigularis whitneyi,Animalia,MONARCHS_MONARCHIDAE,Chestnut-throated Flycatcher ssp whitneyi,,4,178.46761619,-18.06511619,Australia,Fiji,FJ,,Fiji - Viti Levu,2014-04-15,10:22
Petroica pusilla kleinschmidti,Animalia,AUSTRALASIAN_ROBINS_PETROICIDAE,Pacific Robin ssp kleinschmidti,,2,178.46972702,-18.06573763,Australia,Fiji,FJ,,Fiji - Viti Levu,2014-04-15,10:49
Myzomela jugularis,Animalia,HONEYEATERS_MELIPHAGIDAE,Sulphur-breasted Myzomela,,1,178.4699104,-18.0659417,Australia,Fiji,FJ,,Fiji - Viti Levu,2014-04-15,10:56
Lamprolia victoriae,Animalia,FANTAILS_RHIPIDURIDAE,Taveuni Silktail,,1,-179.888448713,-16.8410080622,Australia,Fiji,FJ,,Fiji - Taveuni northeast,2008-08-25,
Aerodramus spodiopygius assimilis,Animalia,SWIFTS_APODIDAE,White-rumped Swiftlet ssp assimilis,,100,-179.889907835,-16.8417474073,Australia,Fiji,FJ,,Fiji - Taveuni northeast,2008-08-24,
Aerodramus spodiopygius assimilis,Animalia,SWIFTS_APODIDAE,White-rumped Swiftlet ssp assimilis,,6,178.426269293,-18.1481035496,Australia,Fiji,FJ,,Fiji - Viti Levu,2008-08-19,
Lamprolia victoriae,Animalia,FANTAILS_RHIPIDURIDAE,Taveuni Silktail,,3,-179.98626709,-16.8208912912,Australia,Fiji,FJ,,Fiji - Taveuni northeast,2007-07-11,
Limosa lapponica,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Bar-tailed Godwit,,2,177.42467,-17.710646,Australia,Fiji,FJ,,Fiji - Viti Levu,2016-10-02,17:07
Pteropus tonganus,Animalia,OLD_WORLD_FRUITEATING_BATS_PTEROPODIDAE,Pacific Flying Fox,,1,-179.98270726,-16.78229143,Australia,Fiji,FJ,,Fiji - Taveuni northeast,2019-08-01,08:00
Herpestes auropunctatus,Animalia,MONGOOSES_HERPESTIDAE,Small Indian Mongoose,,1,178.325,-17.99,Australia,Fiji,FJ,,Fiji - Viti Levu,2019-08-04,07:00
Foulehaio carunculatus,Animalia,HONEYEATERS_MELIPHAGIDAE,Polynesian Wattled Honeyeater,,2,-178.41033924,-19.16099477,Australia,Fiji,FJ,,Fiji - Lau,2014-04-18,09:25
Pachycephala vitiensis,Animalia,WHISTLERS_PACHYCEPHALIDAE,Fiji Whistler,,3,-178.40865645,-19.15525177,Australia,Fiji,FJ,,Fiji - Lau,2014-04-18,11:01
Foulehaio carunculatus,Animalia,HONEYEATERS_MELIPHAGIDAE,Polynesian Wattled Honeyeater,,6,-178.4080362,-19.15365526,Australia,Fiji,FJ,,Fiji - Lau,2014-04-18,11:48
Arenaria interpres,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Ruddy Turnstone,,7,-178.41028705,-19.16105117,Australia,Fiji,FJ,,Fiji - Lau,2014-04-18,14:10
Tringa brevipes,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Grey-tailed Tattler,,3,-178.41029511,-19.16102646,Australia,Fiji,FJ,,Fiji - Lau,2014-04-18,14:10
Pteropus tonganus,Animalia,OLD_WORLD_FRUITEATING_BATS_PTEROPODIDAE,Pacific Flying Fox,,4,-178.41032326,-19.16106324,Australia,Fiji,FJ,,Fiji - Lau,2014-04-18,14:12
Sula sula,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Red-footed Booby,,6,-178.61929098,-19.19844997,Australia,Fiji,FJ,,Fiji - Lau,2014-04-18,17:10
Puffinus bailloni,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tropical Shearwater,,1,-177.94651147,-16.33506535,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,07:17
Puffinus bailloni,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tropical Shearwater,,1,-177.95664847,-16.33808666,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,07:20
Pterodroma brevipes,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Collared Petrel,,1,-178.00736916,-16.35420312,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,07:38
Puffinus bailloni,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tropical Shearwater,,2,-178.02642376,-16.35989756,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,07:44
Puffinus bailloni,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tropical Shearwater,,1,-178.04100159,-16.36417206,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,07:49
Pterodroma brevipes,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Collared Petrel,,1,-178.11661865,-16.38601126,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,08:16
Pterodroma brevipes,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Collared Petrel,,2,-178.41273697,-16.47519525,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,10:00
Pterodroma brevipes,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Collared Petrel,,1,-178.49324948,-16.5014323,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,10:29
Pterodroma brevipes,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Collared Petrel,,1,-178.50903143,-16.50673512,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,10:34
Pterodroma brevipes,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Collared Petrel,,3,-178.53405702,-16.51549343,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,10:43
Pterodroma brevipes,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Collared Petrel,,1,-178.58434095,-16.53300703,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,11:01
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,-178.60407143,-16.53929992,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,11:08
Fregata ariel,Animalia,FRIGATEBIRDS_FREGATTIDAE,Lesser Frigatebird,,4,-178.6394565,-16.55032015,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,11:21
Sula sula,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Red-footed Booby,,3,-179.42051719,-16.88846604,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,15:14
Sula sula,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Red-footed Booby,,25,-179.47337182,-16.92183799,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,15:36
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,-179.70820538,-17.0735972,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,18:12
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,-179.71714434,-17.07891528,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,18:16
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,-179.73602809,-17.09012913,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,18:24
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,-179.75902829,-17.10345574,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,18:33
Pseudobulweria rostrata,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tahiti Petrel,,1,-179.81110172,-17.1355074,Australia,Fiji,FJ,,Fiji - Lau,2014-04-13,18:55
