scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Perisoreus infaustus,Animalia,CROWS_AND_JAYS_CORVIDAE,Siberian Jay,,3,28.4627117,69.44349355,Europe,Finland,FI,,Finland - Inari,2015-03-12,15:11
Poecile cinctus,Animalia,TITS_PARIDAE,Grey-headed Chickadee,,5,29.33347596339462,65.98632450000002,Europe,Finland,FI,,Finland - Kuusamo,2011-05-29,
Strix uralensis,Animalia,OWLS_STRIGIDAE,Ural Owl,,1,25.710383869969647,64.995991,Europe,Finland,FI,,Finland - Oulu,2011-05-26,
Glaucidium passerinum,Animalia,OWLS_STRIGIDAE,Eurasian Pygmy Owl,,2,25.7,64.95,Europe,Finland,FI,,Finland - Oulu,2011-05-26,
Lagopus lagopus,Animalia,FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE,Willow Ptarmigan,,15,29.33347596339462,65.98632450000002,Europe,Finland,FI,,Finland - Kuusamo,2011-05-29,
Tetrastes bonasia,Animalia,FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE,Hazel Grouse,,1,24.45,60.3,Europe,Finland,FI,,Finland - Nuuksion kansallispuisto NP,2015-02-27,
Tetrastes bonasia,Animalia,FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE,Hazel Grouse,,1,24.4,60.3,Europe,Finland,FI,,Finland - Vihti,2015-02-26,
Corvus cornix,Animalia,CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,4,27.54338401,68.64450271,Europe,Finland,FI,,Finland - Inari,2015-03-08,10:33
Pinicola enucleator,Animalia,FINCHES_FRINGILLIDAE,Pine Grosbeak,,4,27.21391001,69.1823866,Europe,Finland,FI,,Finland - Inari,2015-03-09,08:40
Acanthis hornemanni,Animalia,FINCHES_FRINGILLIDAE,Arctic Redpoll,,24,27.21381496,69.18236984,Europe,Finland,FI,,Finland - Inari,2015-03-09,08:41
Perisoreus infaustus,Animalia,CROWS_AND_JAYS_CORVIDAE,Siberian Jay,,4,29.21853048,66.20855483,Europe,Finland,FI,,Finland - Kuusamo,2015-03-06,08:25
Pyrrhula pyrrhula,Animalia,FINCHES_FRINGILLIDAE,Eurasian Bullfinch,,2,29.21857308,66.20858691,Europe,Finland,FI,,Finland - Kuusamo,2015-03-06,08:26
Perisoreus infaustus,Animalia,CROWS_AND_JAYS_CORVIDAE,Siberian Jay,,2,27.00254545,67.10543337,Europe,Finland,FI,,Finland - Pelkosenniemi,2015-03-07,09:09
Perisoreus infaustus,Animalia,CROWS_AND_JAYS_CORVIDAE,Siberian Jay,,2,27.09821076,68.17996334,Europe,Finland,FI,,Finland - Sodankylä,2015-03-07,18:55
Cinclus cinclus,Animalia,DIPPERS_CINCLIDAE,White-throated Dipper,,2,29.01496511,66.28514542,Europe,Finland,FI,,Finland - Kuusamo,2015-03-04,17:20
Poecile montanus,Animalia,TITS_PARIDAE,Willow Tit,,3,29.21823212,66.20859353,Europe,Finland,FI,,Finland - Kuusamo,2015-03-05,08:58
Tetrao urogallus,Animalia,FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE,Western Capercaillie,,1,29.21819176,66.20861242,Europe,Finland,FI,,Finland - Kuusamo,2015-03-05,08:59
Perisoreus infaustus,Animalia,CROWS_AND_JAYS_CORVIDAE,Siberian Jay,,1,29.21817409,66.20857633,Europe,Finland,FI,,Finland - Kuusamo,2015-03-05,09:00
Pyrrhula pyrrhula,Animalia,FINCHES_FRINGILLIDAE,Eurasian Bullfinch,,1,29.21849987,66.20863675,Europe,Finland,FI,,Finland - Kuusamo,2015-03-05,09:04
Perisoreus infaustus,Animalia,CROWS_AND_JAYS_CORVIDAE,Siberian Jay,,1,29.2011329,66.21018079,Europe,Finland,FI,,Finland - Kuusamo,2015-03-05,09:39
Perisoreus infaustus,Animalia,CROWS_AND_JAYS_CORVIDAE,Siberian Jay,,5,29.21819938,66.2086392,Europe,Finland,FI,,Finland - Kuusamo,2015-03-05,10:19
Cinclus cinclus,Animalia,DIPPERS_CINCLIDAE,White-throated Dipper,,1,29.56759838,66.17181081,Europe,Finland,FI,,Finland - Kuusamo,2015-03-05,12:13
Perisoreus infaustus,Animalia,CROWS_AND_JAYS_CORVIDAE,Siberian Jay,,2,29.47339752,66.16697755,Europe,Finland,FI,,Finland - Kuusamo,2015-03-05,14:42
