scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Morpho helenor,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Helenor Morpho,,1,-53.0841065571,4.26315075875,South America,French Guiana,GF,,French Guiana,2014-07-09,
Eudocimus ruber,Animalia,IBISSES_AND_SPOONBILLS_THRESKIORNITHIDAE,Scarlet Ibis,,20,-52.3324584996,4.9442003585,South America,French Guiana,GF,,French Guiana,2014-07-22,
Actitis macularius,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Spotted Sandpiper,,1,-52.3324584996,4.9442003585,South America,French Guiana,GF,,French Guiana,2014-07-22,
Haematopus palliatus,Animalia,OYSTERCATCHERS_HAEMATOPODIDAE,American Oystercatcher,,40,-52.3324584996,4.9442003585,South America,French Guiana,GF,,French Guiana,2014-07-22,
Saimiri sciureus,Animalia,NEW_WORLD_MONKEYS_CEBIDAE,Common Squirrel Monkey,,10,-53.0425643991,5.42040147588,South America,French Guiana,GF,,French Guiana,2014-07-21,
Sapajus apella,Animalia,NEW_WORLD_MONKEYS_CEBIDAE,Black-capped Capuchin,,10,-53.0603029579,3.85110092622,South America,French Guiana,GF,,French Guiana,2014-07-08,
Alouatta macconnelli,Animalia,SPIDER_MONKEYS_ATELIDAE,Guianan Red Howler Monkey,,6,-52.1374512278,4.29839153094,South America,French Guiana,GF,,French Guiana,2014-07-11,
Egretta thula,Animalia,HERONS_ARDEIDAE,Snowy Egret,,1,-52.6311492955,5.15975591559,South America,French Guiana,GF,,French Guiana - Matoury,2014-07-11,
Ramphocelus carbo,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Silver-beaked Tanager,,3,-52.1511841379,4.30113034077,South America,French Guiana,GF,,French Guiana,2014-07-16,
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,1,-52.1511841379,4.30113034077,South America,French Guiana,GF,,French Guiana,2014-07-16,
