scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Megaptera novaeangliae,Animalia,RORQUAL_WHALES_BALAENOPTERIDAE,Humpback Whale,,1,-146.409301758,-16.2041249897,Australia,French Polynesia,PF,,French Polynesia,2013-10-05,11:00
Phaethon lepturus dorotheae,Animalia,TROPICBIRDS_PHAETHONTIDAE,White-tailed Tropicbird ssp dorotheae,,4,-149.565124512,-17.7434548705,Australia,French Polynesia,PF,,French Polynesia,2013-09-01,09:50
Pluvialis fulva,Animalia,PLOVERS_CHARADRIIDAE,Pacific Golden Plover,,1,-151.46713421,-16.7250432935,Australia,French Polynesia,PF,,French Polynesia,2013-10-10,13:44
Numenius tahitiensis,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Bristle-thighed Curlew,,25,-147.936761983,-15.0975426403,Australia,French Polynesia,PF,,French Polynesia,2013-10-04,07:19
Gygis alba candida,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,White Tern ssp candida,,50,-147.927689157,-15.0997056121,Australia,French Polynesia,PF,,French Polynesia,2013-10-04,06:47
Tringa incana,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Wandering Tattler,,1,-147.92720949570952,-15.099788336381822,Australia,French Polynesia,PF,,French Polynesia,2013-10-03,17:22
Vini peruviana,Animalia,PSITTACULIDAE,Blue Lorikeet,,5,-147.92754323712046,-15.099773707193458,Australia,French Polynesia,PF,,French Polynesia,2013-10-03,17:18
Vini ultramarina,Animalia,PSITTACULIDAE,Ultramarine Lorikeet,,15,-139.52457898865512,-8.914718171268056,Australia,French Polynesia,PF,,French Polynesia,2013-09-26,08:59
Prosobonia parvirostris,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Tuamotu Sandpiper,,40,-136.75290966638272,-21.29557283828594,Australia,French Polynesia,PF,,French Polynesia,2013-09-12,08:30
Istiophorus platypterus,Animalia,ISTIOPHORIDAE,Indo-Pacific Sailfish,,1,-145.71784973145,-16.077815763546,Australia,French Polynesia,PF,,French Polynesia,2012-08-11,
