scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Zosterops maderaspatanus voeltzkowi,Animalia,WHITEEYES_ZOSTEROPIDAE,Malagasy White-eye ssp voeltzkowi,,6,40.36468551,-22.34642415,Antarctica,French Southern & Antarctic Lands,TF,,TAAF - Europe Island,2014-04-14,
Calidris ferruginea,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Curlew Sandpiper,,2,70.514945983,-49.1608712235,Antarctica,French Southern & Antarctic Lands,TF,,French Southern and Antarctic Lands,2013-10-16,
Leucocarbo verrucosus,Animalia,CORMORANTS_PHALACROCORACIDAE,Kerguelen Shag,,10,70.4237937892,-49.383736153,Antarctica,French Southern & Antarctic Lands,TF,,TAAF - Kerguelen Islands,2013-07-29,
Sterna virgata,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Kerguelen Tern,,30,70.2235078803,-49.3595195967,Antarctica,French Southern & Antarctic Lands,TF,,TAAF - Kerguelen Islands,2013-11-27,
Diomedea epomophora,Animalia,ALBATROSSES_DIOMEDEIDAE,Southern Royal Albatross,,1,75.882,-48.682,Antarctica,French Southern & Antarctic Lands,TF,,French Southern and Antarctic Lands,2013-11-24,
Diomedea epomophora,Animalia,ALBATROSSES_DIOMEDEIDAE,Southern Royal Albatross,,2,75.781,-48.903,Antarctica,French Southern & Antarctic Lands,TF,,TAAF - Antarctique francaise NP,2013-11-24,
Phoebetria palpebrata,Animalia,ALBATROSSES_DIOMEDEIDAE,Light-mantled Albatross,,1,70.2450084651,-49.6853788052,Antarctica,French Southern & Antarctic Lands,TF,,French Southern and Antarctic Lands,2013-10-30,
Thalassarche melanophris,Animalia,ALBATROSSES_DIOMEDEIDAE,Black-browed Albatross,,1,70.2450084651,-49.6853788052,Antarctica,French Southern & Antarctic Lands,TF,,French Southern and Antarctic Lands,2013-10-30,
Thalassarche chrysostoma,Animalia,ALBATROSSES_DIOMEDEIDAE,Grey-headed Albatross,,4,70.2450084651,-49.6853788052,Antarctica,French Southern & Antarctic Lands,TF,,French Southern and Antarctic Lands,2013-10-30,
Thalassarche carteri,Animalia,ALBATROSSES_DIOMEDEIDAE,Indian Yellow-nosed Albatross,,1,71.9247436523,-37.4410644246,Antarctica,French Southern & Antarctic Lands,TF,,TAAF - Antarctique francaise NP,2015-12-23,
Arctocephalus tropicalis,Animalia,FUR_SEALS_OTARIIDAE,Subantarctic Fur Seal,,1,71.9247436523,-37.4410644246,Antarctica,French Southern & Antarctic Lands,TF,,TAAF - Antarctique francaise NP,2015-12-23,
