scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Ceratopteris thalictroides,Plantae,PTERIDACEAE,Watersprite,,1,9.329166667,0.615833333,Africa,Gabon,GA,,Gabon - Estuaire,2012-12-22,
Voyria primuloides,Plantae,GENTIANACEAE,,,1,9.461138889,0.562888889,Africa,Gabon,GA,,Gabon - Estuaire,2012-12-12,
Costus ligularis,Plantae,COSTACEAE,,,1,9.590555556,0.635277778,Africa,Gabon,GA,,Gabon - Akanda NP,2012-12-11,
Duparquetia orchidacea,Plantae,Fabaceae,,,1,9.728666667,0.538083333,Africa,Gabon,GA,,Gabon - Estuaire,2012-12-11,
Costus lucanusianus,Plantae,COSTACEAE,,,1,9.597472222,0.839,Africa,Gabon,GA,,Gabon - Estuaire,2012-12-10,
Costus ligularis,Plantae,COSTACEAE,,,1,9.597472222,0.839,Africa,Gabon,GA,,Gabon - Estuaire,2012-12-10,
Eidolon helvum,Animalia,OLD_WORLD_FRUITEATING_BATS_PTEROPODIDAE,African Straw-coloured Fruit Bat,,1001,9.4567823410034,0.37477702867564,Africa,Gabon,GA,,Gabon - Estuaire,2012-12-21,
Campethera caroli,Animalia,WOODPECKERS_PICIDAE,Brown-eared Woodpecker,,1,9.3441295623779,0.61539420388507,Africa,Gabon,GA,,Gabon - Estuaire,2012-12-22,
Lonchura spec.,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,,,1,9.4695281982422,0.39687792971574,Africa,Gabon,GA,,Gabon - Estuaire,2012-12-15,
Merops variegatus,Animalia,BEEEATERS_MEROPIDAE,Blue-breasted Bee-eater,,1,9.3441295623779,0.61539420388507,Africa,Gabon,GA,,Gabon - Estuaire,2012-12-22,
Gypohierax angolensis,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Palm-nut Vulture,,1,9.33837890625,0.33353617161476,Africa,Gabon,GA,,Gabon - Pongara NP,2012-12-18,
Lophoceros fasciatus fasciatus,Animalia,HORNBILLS_BUCEROTIDAE,African Pied Hornbill ssp fasciatus,,1,9.33837890625,0.33353617161476,Africa,Gabon,GA,,Gabon - Pongara NP,2012-12-18,
Burhinus vermiculatus buettikoferi,Animalia,THICKKNEES_BURHINIDAE,Water Thick-knee ssp buettikoferi,,1,9.33837890625,0.33353617161476,Africa,Gabon,GA,,Gabon - Pongara NP,2012-12-18,
Pteronetta hartlaubii,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Hartlaub's Duck,,2,9.33837890625,0.33353617161476,Africa,Gabon,GA,,Gabon - Pongara NP,2012-12-18,
Dermochelys coriacea,Animalia,Dermochelydae,Leatherback Turtle,,1,9.34,0.34,Africa,Gabon,GA,,Gabon - Pongara NP,2012-12-16,20:30
Estrilda atricapilla,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Black-headed Waxbill,,2,9.587459564209,1.008844695013,Africa,Gabon,GA,,Gabon - Estuaire,2012-12-10,
Lanius humeralis,Animalia,SHRIKES_LANIIDAE,Northern Fiscal,,1,13.7215888831,-0.674526798949,Africa,Gabon,GA,,Gabon - Haut-Ogooué,2008-01-31,
Platysteira castanea,Animalia,WATTLEEYES_BATISES_PLATYSTEIRIDAE,Chestnut Wattle-eye,,2,12.8983009192,-0.77476901244,Africa,Gabon,GA,,Gabon - Ogooué-Lolo,2008-01-28,
Accipiter toussenelii toussenelii,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Red-chested Goshawk ssp toussenelii,,1,12.8983009192,-0.77476901244,Africa,Gabon,GA,,Gabon - Ogooué-Lolo,2008-01-25,
Anax imperator,Animalia,DARNERS_AESHNIDAE,Blue Emperor,,1,13.1667709351,-1.64111581057,Africa,Gabon,GA,,Gabon - Haut-Ogooué,2008-09-17,
Turdus pelios,Animalia,THRUSHES_TURDIDAE,African Thrush,,1,9.43150252104684,0.4077640408653838,Africa,Gabon,GA,,Gabon - Estuaire,2020-01-14,09:27
Turdus pelios,Animalia,THRUSHES_TURDIDAE,African Thrush,,2,9.41216621,0.44889393,Africa,Gabon,GA,,Gabon - Estuaire,2019-03-06,
Turdus pelios,Animalia,THRUSHES_TURDIDAE,African Thrush,,1,9.448634999999967,0.4048666666666667,Africa,Gabon,GA,,Gabon - Estuaire,2017-07-09,12:45
