scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Haliaeetus albicilla groenlandicus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,White-tailed Eagle ssp groenlandicus,,1,-50.6109237671,67.015473109,North America,Greenland,GL,,Greenland,2013-07-07,
Gavia stellata,Animalia,DIVERS_GAVIIDAE,Red-throated Diver,,1,-25.4401184899095,70.7860881615326,North America,Greenland,GL,,Greenland,2014-09-01,20:31
Rissa tridactyla,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Black-legged Kittiwake,,1,-21.9928550755,70.3031402779,North America,Greenland,GL,,Greenland,2013-09-04,
Anthus pratensis,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Meadow Pipit,,1,-21.9626426732,70.4846981157,North America,Greenland,GL,,Greenland,2013-09-04,
Anthus pratensis,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Meadow Pipit,,1,-21.9729423558,70.4903744731,North America,Greenland,GL,,Greenland,2013-09-04,
Larus hyperboreus hyperboreus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Glaucous Gull ssp hyperboreus,,1,-21.9746589696,70.490890427,North America,Greenland,GL,,Greenland,2013-09-04,
Larus hyperboreus hyperboreus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Glaucous Gull ssp hyperboreus,,1,-27.656250447,70.7456516576,North America,Greenland,GL,,Greenland,2013-09-02,
Haliaeetus albicilla groenlandicus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,White-tailed Eagle ssp groenlandicus,,1,-51.8823623666,63.9643196371,North America,Greenland,GL,,Greenland,2008-02-10,
Haliaeetus albicilla groenlandicus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,White-tailed Eagle ssp groenlandicus,,1,-51.7372083668,64.1751071435,North America,Greenland,GL,,Greenland - Nuuk,2008-02-08,
Stercorarius skua,Animalia,SKUAS_STERCORARIIDAE,Great Skua,,1,-21.181640625,68.9741635834,North America,Greenland,GL,,Greenland,2013-09-05,
Rissa tridactyla,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Black-legged Kittiwake,,1,-21.181640625,68.9741635834,North America,Greenland,GL,,Greenland,2013-09-05,
Fulmarus glacialis auduboni,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Northern Fulmar ssp auduboni,,1,-21.181640625,68.9741635834,North America,Greenland,GL,,Greenland,2013-09-05,
Uria aalge aalge,Animalia,AUKS_ALCIDAE,Atlantic Murre,,1,-21.181640625,68.9741635834,North America,Greenland,GL,,Greenland,2013-09-05,
Taraxacum officinale s.l. (incl. all sec.),Plantae,Asteraceae,Common Dandelion,,1,-21.9705963135,70.4850249792,North America,Greenland,GL,,Greenland,2013-09-04,
Oxyria digyna,Plantae,POLYGONACEAE,Mountain Sorrel,,1,-21.9705963135,70.4850249792,North America,Greenland,GL,,Greenland,2013-09-04,
Epilobium latifolium,Plantae,ONAGRACEAE,,,1,-21.9705963135,70.4850249792,North America,Greenland,GL,,Greenland,2013-09-04,
Eriophorum scheuchzeri,Plantae,CYPERACEAE,White cottongrass,,1,-21.9705963135,70.4850249792,North America,Greenland,GL,,Greenland,2013-09-04,
Saxifraga cernua,Plantae,SAXIFRAGACEAE,Drooping Saxifrage,,1,-21.9705963135,70.4850249792,North America,Greenland,GL,,Greenland,2013-09-04,
Polygonum viviparum,Plantae,POLYGONACEAE,,,1,-21.9705963135,70.4850249792,North America,Greenland,GL,,Greenland,2013-09-04,
Oxyria digyna,Plantae,POLYGONACEAE,Mountain Sorrel,,1,-21.9705963135,70.4850249792,North America,Greenland,GL,,Greenland,2013-09-04,
Cerastium alpinum,Plantae,CARYOPHYLLACEAE,Alpine Mouse-ear,,1,-21.9705963135,70.4850249792,North America,Greenland,GL,,Greenland,2013-09-04,
Rissa tridactyla,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Black-legged Kittiwake,,1,-21.5310573578,69.1986162975,North America,Greenland,GL,,Greenland,2013-09-04,
Fulmarus glacialis glacialis,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Northern Fulmar ssp glacialis,,1,-21.5310573578,69.1986162975,North America,Greenland,GL,,Greenland,2013-09-04,
Calidris canutus,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Red Knot,,1,-21.9705104828,70.4854263835,North America,Greenland,GL,,Greenland,2013-09-04,
Calidris maritima,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Purple Sandpiper,,1,-21.9705104828,70.4854263835,North America,Greenland,GL,,Greenland,2013-09-04,
Oenanthe oenanthe leucorhoa,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Greenland Northern Wheatear,,1,-21.9705104828,70.4854263835,North America,Greenland,GL,,Greenland,2013-09-04,
Anthus pratensis,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Meadow Pipit,,1,-21.9705104828,70.4854263835,North America,Greenland,GL,,Greenland,2013-09-04,
Arenaria interpres interpres,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Ruddy Turnstone ssp interpres,,1,-21.9705104828,70.4854263835,North America,Greenland,GL,,Greenland,2013-09-04,
Potentilla crantzii,Plantae,ROSACEAE,Alpine Cinquefoil,,1,-25.0646209717,71.293967423,North America,Greenland,GL,,Greenland,2013-09-03,
Rhodiola rosea,Plantae,CRASSULACEAE,Rosewort,,1,-25.0646209717,71.293967423,North America,Greenland,GL,,Greenland,2013-09-03,
Dryas octopetala,Plantae,ROSACEAE,Mountain Avens,,1,-25.0646209717,71.293967423,North America,Greenland,GL,,Greenland,2013-09-03,
Arctostaphylos alpinus,Plantae,ERICACEAE,,,1,-25.0646209717,71.293967423,North America,Greenland,GL,,Greenland,2013-09-03,
Pyrola grandiflora,Plantae,ERICACEAE,Large-flowered wintergreen,,1,-25.0646209717,71.293967423,North America,Greenland,GL,,Greenland,2013-09-03,
