scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Orthorhyncus cristatus,Animalia,HUMMINGBIRDS_TROCHILIDAE,Antillean Crested Hummingbird,,1,-61.5715768654,15.8736305762,North America,Guadeloupe,GP,,Guadeloupe,2005-03-25,
Actitis macularius,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Spotted Sandpiper,,1,-61.5715741832,15.8723096482,North America,Guadeloupe,GP,,Guadeloupe,2005-03-25,
Zenaida aurita,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Zenaida Dove,,1,-61.572046252,15.872552163,North America,Guadeloupe,GP,,Guadeloupe,2005-03-25,
Zenaida aurita,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Zenaida Dove,,1,-61.582658831,15.8678617318,North America,Guadeloupe,GP,,Guadeloupe,2005-03-24,
Anartia jatrophae,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,White Peacock,,1,-61.6584454849,16.2069786333,North America,Guadeloupe,GP,,Guadeloupe,2005-03-24,
Eulampis jugularis,Animalia,HUMMINGBIRDS_TROCHILIDAE,Purple-throated Carib,,8,-61.6903,16.178,North America,Guadeloupe,GP,,Guadeloupe,2014-10-20,11:23
Eulampis jugularis,Animalia,HUMMINGBIRDS_TROCHILIDAE,Purple-throated Carib,,1,-61.7515,16.1806,North America,Guadeloupe,GP,,Guadeloupe,2014-10-20,11:03
Euphonia musica,Animalia,FINCHES_FRINGILLIDAE,Antillean Euphonia,,1,-61.7771,16.2901,North America,Guadeloupe,GP,,Guadeloupe,2014-10-20,10:15
Coereba flaveola,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Bananaquit,,2,-61.5053,16.2069,North America,Guadeloupe,GP,,Guadeloupe,2014-10-16,13:48
Zenaida aurita,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Zenaida Dove,,3,-61.5045,16.2081,North America,Guadeloupe,GP,,Guadeloupe,2014-10-16,07:01
Loxigilla noctis,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Lesser Antillean Bullfinch,,3,-61.503,16.2093,North America,Guadeloupe,GP,,Guadeloupe,2014-10-14,06:36
Zenaida aurita,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Zenaida Dove,,1,-61.5048,16.2058,North America,Guadeloupe,GP,,Guadeloupe,2014-10-13,14:23
Loxigilla noctis,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Lesser Antillean Bullfinch,,1,-61.5053,16.2062,North America,Guadeloupe,GP,,Guadeloupe,2014-10-13,14:12
Coereba flaveola,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Bananaquit,,1,-61.5059,16.2072,North America,Guadeloupe,GP,,Guadeloupe,2014-10-13,09:31
Haematopus palliatus palliatus,Animalia,OYSTERCATCHERS_HAEMATOPODIDAE,American Oystercatcher ssp palliatus,,2,-61.1082744598,16.1718339426,North America,Guadeloupe,GP,,Guadeloupe,2014-03-01,
Circus hudsonius,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Northern Harrier,,1,-61.5256476402,16.4057260871,North America,Guadeloupe,GP,,Guadeloupe,2014-01-12,
Pseudosphinx tetrio,Animalia,Sphingidae,,,1,-61.6243046522,16.2179186822,North America,Guadeloupe,GP,,Guadeloupe,2010-05-03,
Gallinula galeata cerceris,Animalia,RAILS_RALLIDAE,Common Gallinule ssp cerceris,,4,-61.6291594505,16.0274386698,North America,Guadeloupe,GP,,Guadeloupe,2014-01-01,
Iguana iguana,Animalia,Iguanidae,Common Green Iguana,,3,-61.6354465485,15.8499599254,North America,Guadeloupe,GP,,Guadeloupe,2010-03-21,09:20
Pelecanus occidentalis,Animalia,PELICANS_PELECANIDAE,Brown Pelican,,1,-61.5851926804,15.8644995247,North America,Guadeloupe,GP,,Guadeloupe,2010-03-21,06:34
Coereba flaveola,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Bananaquit,,9,-61.7909570038,16.3065887446,North America,Guadeloupe,GP,,Guadeloupe,2010-03-08,13:02
Coereba flaveola,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Bananaquit,,3,-61.7940542847,16.3079479765,North America,Guadeloupe,GP,,Guadeloupe,2010-03-06,11:48
Thalasseus acuflavidus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Cabot's Tern,,3,-61.584227085114,16.169814288746,North America,Guadeloupe,GP,,Guadeloupe,2013-08-19,
Herpestes auropunctatus,Animalia,MONGOOSES_HERPESTIDAE,Small Indian Mongoose,,2,-61.629366651177,16.027686152897,North America,Guadeloupe,GP,,Guadeloupe,2013-04-15,
Coereba flaveola,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Bananaquit,,5,-61.464841961861,16.23939799589,North America,Guadeloupe,GP,,Guadeloupe,2013-04-02,
Eulampis jugularis,Animalia,HUMMINGBIRDS_TROCHILIDAE,Purple-throated Carib,,5,-61.688460409641,16.170824118253,North America,Guadeloupe,GP,,Guadeloupe,2013-04-02,
Eulampis jugularis,Animalia,HUMMINGBIRDS_TROCHILIDAE,Purple-throated Carib,,4,-61.693438589573,16.174616085017,North America,Guadeloupe,GP,,Guadeloupe,2013-04-02,
Eulampis jugularis,Animalia,HUMMINGBIRDS_TROCHILIDAE,Purple-throated Carib,,2,-61.768167614937,16.146092115962,North America,Guadeloupe,GP,,Guadeloupe,2013-04-02,
Euphonia musica,Animalia,FINCHES_FRINGILLIDAE,Antillean Euphonia,,1,-61.784133464098,16.226830651673,North America,Guadeloupe,GP,,Guadeloupe,2013-04-01,
Eulampis jugularis,Animalia,HUMMINGBIRDS_TROCHILIDAE,Purple-throated Carib,,2,-61.768626272678,16.145844780322,North America,Guadeloupe,GP,,Guadeloupe,2013-04-01,
Eulampis jugularis,Animalia,HUMMINGBIRDS_TROCHILIDAE,Purple-throated Carib,,3,-61.768282949924,16.145597444373,North America,Guadeloupe,GP,,Guadeloupe,2013-03-31,
Herpestes auropunctatus,Animalia,MONGOOSES_HERPESTIDAE,Small Indian Mongoose,,1,-61.688375249505,16.170865335674,North America,Guadeloupe,GP,,Guadeloupe,2013-03-31,
Eulampis jugularis,Animalia,HUMMINGBIRDS_TROCHILIDAE,Purple-throated Carib,,5,-61.688375249505,16.170865335674,North America,Guadeloupe,GP,,Guadeloupe,2013-03-31,
Herpestes auropunctatus,Animalia,MONGOOSES_HERPESTIDAE,Small Indian Mongoose,,2,-61.62657648325,16.028490470813,North America,Guadeloupe,GP,,Guadeloupe,2013-03-30,
Eulampis jugularis,Animalia,HUMMINGBIRDS_TROCHILIDAE,Purple-throated Carib,,2,-61.773833781481,16.147534901033,North America,Guadeloupe,GP,,Guadeloupe,2013-03-30,
Eulampis jugularis,Animalia,HUMMINGBIRDS_TROCHILIDAE,Purple-throated Carib,,1,-61.768226623535,16.133560054708,North America,Guadeloupe,GP,,Guadeloupe,2013-03-24,
Actitis macularius,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Spotted Sandpiper,,1,-61.585181951523,16.169597896037,North America,Guadeloupe,GP,,Guadeloupe,2013-03-10,
Numenius hudsonicus hudsonicus,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Hudsonian Whimbrel ssp hudsonicus,,1,-61.525626182556,16.407105212878,North America,Guadeloupe,GP,,Guadeloupe,2013-03-03,
Rallus crepitans caribaeus,Animalia,RAILS_RALLIDAE,Clapper Rail ssp caribaeus,,1,-61.527460813522,16.405458494448,North America,Guadeloupe,GP,,Guadeloupe,2013-02-25,
Dendroica tigrina,Animalia,NEW_WORLD_WARBLERS_PARULIDAE,,,2,-61.527460813522,16.405458494448,North America,Guadeloupe,GP,,Guadeloupe,2013-02-25,
