scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Aeria eurimedia,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,,,1,-88.9892718941,15.6778531587,North America,Guatemala,GT,,Guatemala - Río Dulce NP,2015-02-09,
Pareuptychia ocirrhoe,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,,,1,-88.9893292263,15.6777706826,North America,Guatemala,GT,,Guatemala,2015-02-09,
Eumaeus toxea,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Mexican Cycadian,,1,-88.9891468361,15.6781632103,North America,Guatemala,GT,,Guatemala - Río Dulce NP,2015-02-08,
Nasua narica,Animalia,COATIS_RACCOONS_AND_RINGTAILS_PROCYONIDAE,White-nosed Coati,,25,-89.6266076714,17.2206382839,North America,Guatemala,GT,,Guatamala - Tikal NP,2003-12-06,
Cathartes aura,Animalia,NEW_WORLD_VULTURES_CATHARTIDAE,Turkey Vulture,,1,-89.0403556826,15.2707387953,North America,Guatemala,GT,,Guatemala,2014-10-31,12:24
Mniotilta varia,Animalia,NEW_WORLD_WARBLERS_PARULIDAE,Black-and-white Warbler,,1,-89.6127033238,17.2252459943,North America,Guatemala,GT,,Guatamala - Tikal NP,2014-11-05,16:56
Ardea herodias,Animalia,HERONS_ARDEIDAE,Great Blue Heron,,1,-88.7511777882,15.82113358,North America,Guatemala,GT,,Guatemala,2014-11-01,11:52
Nasua narica,Animalia,COATIS_RACCOONS_AND_RINGTAILS_PROCYONIDAE,White-nosed Coati,,1,-89.6234503930398,17.2230019669714,North America,Guatemala,GT,,Guatamala - Tikal NP,2014-11-05,17:25
Meleagris ocellata,Animalia,FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE,Ocellated Turkey,,5,-89.6233454953134,17.2230968383214,North America,Guatemala,GT,,Guatamala - Tikal NP,2014-11-05,17:26
Psarocolius montezuma,Animalia,ICTERIDS_ICTERIDAE,Montezuma Oropendola,,1,-89.6233454953134,17.2230968383214,North America,Guatemala,GT,,Guatamala - Tikal NP,2014-11-05,17:26
Trogon massena,Animalia,TROGONS_TROGONIDAE,Slaty-tailed Trogon,,1,-89.6300150736267,17.2229304323121,North America,Guatemala,GT,,Guatamala - Tikal NP,2014-11-06,08:01
Pteroglossus torquatus,Animalia,TOUCANS_BARBETS_RAMPHASTIDAE,Collared Aracari,,3,-89.6253352968739,17.2206812156004,North America,Guatemala,GT,,Guatamala - Tikal NP,2014-11-06,08:57
Myiozetetes similis,Animalia,TYRANT_FLYCATCHERS_TYRANNIDAE,Social Flycatcher,,2,-89.6116861125,17.2263847549,North America,Guatemala,GT,,Guatamala - Tikal NP,2014-11-06,11:01
Phalacrocorax brasilianus,Animalia,CORMORANTS_PHALACROCORACIDAE,Neotropic Cormorant,,100,-88.8287035535,15.7707494578,North America,Guatemala,GT,,Guatemala - Río Dulce NP,2014-11-01,11:51
Pelecanus occidentalis,Animalia,PELICANS_PELECANIDAE,Brown Pelican,,40,-88.7497393201293,15.8255882722546,North America,Guatemala,GT,,Guatemala,2014-11-01,11:52
Jacana spinosa,Animalia,JACANAS_JACANIDAE,Northern Jacana,,3,-88.8225671508,15.775454518,North America,Guatemala,GT,,Guatemala - Río Dulce NP,2014-11-01,11:52
Thalasseus maximus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Royal Tern,,30,-88.7538596846,15.819350513,North America,Guatemala,GT,,Guatemala,2014-11-01,11:53
Leucophaeus atricilla,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Laughing Gull,,20,-88.7510490435,15.8213895758,North America,Guatemala,GT,,Guatemala,2014-11-01,11:53
Thalasseus acuflavidus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Cabot's Tern,,2,-88.7548008646,15.8159134369,North America,Guatemala,GT,,Guatemala,2014-11-01,14:54
Melanerpes santacruzi,Animalia,WOODPECKERS_PICIDAE,Velasquez's Woodpecker,,1,-89.041786522936,15.2737515184329,North America,Guatemala,GT,,Guatemala,2014-10-31,13:15
Fulica americana,Animalia,RAILS_RALLIDAE,American Coot,,2,-91.16292354,14.73997746,North America,Guatemala,GT,,Guatemala - Sololá,2014-07-16,07:34
Sporophila morelleti,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Morelet's Seedeater,,1,-88.99111545,15.65611948,North America,Guatemala,GT,,Guatemala - Río Dulce NP,2014-07-19,07:22
Jacana spinosa,Animalia,JACANAS_JACANIDAE,Northern Jacana,,1,-88.82657976,15.76969508,North America,Guatemala,GT,,Guatemala,2014-07-19,10:17
Sporophila morelleti,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Morelet's Seedeater,,1,-89.61258638,17.22463434,North America,Guatemala,GT,,Guatamala - Tikal NP,2014-07-20,15:44
Psarocolius montezuma,Animalia,ICTERIDS_ICTERIDAE,Montezuma Oropendola,,5,-89.61264047,17.22454458,North America,Guatemala,GT,,Guatamala - Tikal NP,2014-07-20,15:48
Melanerpes santacruzi,Animalia,WOODPECKERS_PICIDAE,Velasquez's Woodpecker,,1,-90.5155903101,14.6134693734,North America,Guatemala,GT,,Guatemala - Guatemala,2014-02-26,
Sporophila morelleti,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Morelet's Seedeater,,1,-89.6201133728,17.2225447003,North America,Guatemala,GT,,Guatamala - Tikal NP,2002-10-30,
Momotus lessonii,Animalia,MOTMOTS_MOMOTIDAE,Lesson's Motmot,,1,-89.6201133728,17.2225447003,North America,Guatemala,GT,,Guatamala - Tikal NP,2002-10-30,
Urocyon cinereoargenteus,Animalia,DOGS_CANIDAE,Grey Fox,,1,-89.635219574,17.2345956917,North America,Guatemala,GT,,Guatamala - Tikal NP,2002-10-30,
Nasua narica,Animalia,COATIS_RACCOONS_AND_RINGTAILS_PROCYONIDAE,White-nosed Coati,,1,-89.6252632141,17.221970824,North America,Guatemala,GT,,Guatamala - Tikal NP,2002-10-30,
Coragyps atratus,Animalia,NEW_WORLD_VULTURES_CATHARTIDAE,Black Vulture,,1,-89.6214866638,17.2226266825,North America,Guatemala,GT,,Guatamala - Tikal NP,2002-10-29,
Aramides albiventris albiventris,Animalia,RAILS_RALLIDAE,Rufous-naped Wood Rail ssp albiventris,,1,-89.6214866638,17.2226266825,North America,Guatemala,GT,,Guatamala - Tikal NP,2002-10-29,
Nasua narica,Animalia,COATIS_RACCOONS_AND_RINGTAILS_PROCYONIDAE,White-nosed Coati,,1,-89.6214866638,17.2226266825,North America,Guatemala,GT,,Guatamala - Tikal NP,2002-10-29,
Urocyon cinereoargenteus,Animalia,DOGS_CANIDAE,Grey Fox,,2,-89.6124529839,17.2252091028,North America,Guatemala,GT,,Guatamala - Tikal NP,2002-10-29,
Melanerpes santacruzi,Animalia,WOODPECKERS_PICIDAE,Velasquez's Woodpecker,,1,-89.60325578302886,17.21496257825,North America,Guatemala,GT,,Guatamala - Tikal NP,2005-08-10,
Campylopterus pampa,Animalia,HUMMINGBIRDS_TROCHILIDAE,Wedge-tailed Sabrewing,,1,-89.60325578302886,17.21496257825,North America,Guatemala,GT,,Guatamala - Tikal NP,2005-08-10,
Momotus lessonii,Animalia,MOTMOTS_MOMOTIDAE,Lesson's Motmot,,1,-89.604862740752,17.21822567947,North America,Guatemala,GT,,Guatamala - Tikal NP,2005-07-15,
Meleagris ocellata,Animalia,FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE,Ocellated Turkey,,18,-89.604862740752,17.21822567947,North America,Guatemala,GT,,Guatamala - Tikal NP,2005-07-15,
Momotus lessonii,Animalia,MOTMOTS_MOMOTIDAE,Lesson's Motmot,,1,-89.6048627408,17.2182256795,North America,Guatemala,GT,,Guatamala - Tikal NP,2008-02-18,
Nasua narica,Animalia,COATIS_RACCOONS_AND_RINGTAILS_PROCYONIDAE,White-nosed Coati,,15,-89.6048627408,17.2182256795,North America,Guatemala,GT,,Guatamala - Tikal NP,2005-08-22,
Urocyon cinereoargenteus,Animalia,DOGS_CANIDAE,Grey Fox,,3,-89.6048627408,17.2182256795,North America,Guatemala,GT,,Guatamala - Tikal NP,2005-08-22,
Coragyps atratus,Animalia,NEW_WORLD_VULTURES_CATHARTIDAE,Black Vulture,,1,-91.1310188419,14.7296875529,North America,Guatemala,GT,,Guatemala - Sololá,2011-12-28,
Pteroglossus torquatus,Animalia,TOUCANS_BARBETS_RAMPHASTIDAE,Collared Aracari,,1,-89.6480941773,17.2246161055,North America,Guatemala,GT,,Guatamala - Tikal NP,2012-01-05,
Psarocolius montezuma,Animalia,ICTERIDS_ICTERIDAE,Montezuma Oropendola,,2,-89.6480941773,17.2246161055,North America,Guatemala,GT,,Guatamala - Tikal NP,2012-01-05,
Sporophila morelleti,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Morelet's Seedeater,,1,-89.6480941773,17.2246161055,North America,Guatemala,GT,,Guatamala - Tikal NP,2012-01-05,
Meleagris ocellata,Animalia,FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE,Ocellated Turkey,,2,-89.6357345581,17.2016599199,North America,Guatemala,GT,,Guatamala - Tikal NP,2012-01-05,
Pharomachrus mocinno,Animalia,TROGONS_TROGONIDAE,Resplendent Quetzal,,2,-90.2196192741,15.2169449107,North America,Guatemala,GT,,Guatemala - Baja Verapaz,2011-12-29,
Falco rufigularis,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Bat Falcon,,1,-89.8935699463,16.9285483147,North America,Guatemala,GT,,Guatamala - Flores,2011-12-29,
Butorides virescens,Animalia,HERONS_ARDEIDAE,Green Heron,,1,-89.8891925812,16.9300263164,North America,Guatemala,GT,,Guatamala - Flores,2011-12-29,
Setophaga ruticilla,Animalia,NEW_WORLD_WARBLERS_PARULIDAE,American Redstart,,1,-89.9095584621,15.5823143542,North America,Guatemala,GT,,Guatemala - Grutas de Lanquín NP,2011-12-29,
