scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Hirundo lucida,Animalia,SWALLOWS_HIRUNDINIDAE,Red-chested Swallow,,3,-16.196396591,12.3998694128,Africa,Guinea-Bissau,GW,,Guinea-Bissau - Cacheu,2011-01-27,
Merops persicus,Animalia,BEEEATERS_MEROPIDAE,Blue-cheeked Bee-eater,,1,-15.8788534839,11.6031487643,Africa,Guinea-Bissau,GW,,Guinea-Bissau - Biombo,2011-01-27,
Eurystomus glaucurus,Animalia,ROLLERS_CORACIIDAE,Broad-billed Roller,,1,-15.8760049779,11.8722734457,Africa,Guinea-Bissau,GW,,Guinea-Bissau - Biombo,2011-01-27,
Dicrurus divaricatus divaricatus,Animalia,DRONGOS_DICRURIDAE,Glossy-backed Drongo ssp divaricatus,,1,-16.4657252779,12.3106414064,Africa,Guinea-Bissau,GW,,Guinea-Bissau - Cacheu,2010-11-15,17:00
Eurystomus glaucurus,Animalia,ROLLERS_CORACIIDAE,Broad-billed Roller,,1,-15.8760049779,11.8722734457,Africa,Guinea-Bissau,GW,,Guinea-Bissau - Biombo,2011-01-27,
Merops persicus,Animalia,BEEEATERS_MEROPIDAE,Blue-cheeked Bee-eater,,1,-15.8788534839,11.6031487643,Africa,Guinea-Bissau,GW,,Guinea-Bissau - Biombo,2011-01-27,
Hirundo lucida,Animalia,SWALLOWS_HIRUNDINIDAE,Red-chested Swallow,,3,-16.196396591,12.3998694128,Africa,Guinea-Bissau,GW,,Guinea-Bissau - Cacheu,2011-01-27,
Phalacrocorax lucidus,Animalia,CORMORANTS_PHALACROCORACIDAE,White-breasted Cormorant,,1,-15.97278881073,11.4053764343262,Africa,Guinea-Bissau,GW,,Guinea-Bissau - Bolama,2019-01-24,16:47
Phalacrocorax lucidus,Animalia,CORMORANTS_PHALACROCORACIDAE,White-breasted Cormorant,,1,-15.9798984527588,11.4180746078491,Africa,Guinea-Bissau,GW,,Guinea-Bissau - Bolama,2019-01-24,17:31
Phalacrocorax lucidus,Animalia,CORMORANTS_PHALACROCORACIDAE,White-breasted Cormorant,,25,-15.89976978302,11.4555778503418,Africa,Guinea-Bissau,GW,,Guinea-Bissau - Bolama,2019-01-25,08:51
Phalacrocorax lucidus,Animalia,CORMORANTS_PHALACROCORACIDAE,White-breasted Cormorant,,1,-15.8885459899902,11.3174152374268,Africa,Guinea-Bissau,GW,,Guinea-Bissau - Bolama,2019-01-12,09:50
Falco tinnunculus rufescens,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Common Kestrel ssp rufescens,,2,-15.55986,11.901105,Africa,Guinea-Bissau,GW,,Guinea-Bissau - Oio,2018-03-07,19:21
Phalacrocorax lucidus,Animalia,CORMORANTS_PHALACROCORACIDAE,White-breasted Cormorant,,4,-15.560305,11.9027733333333,Africa,Guinea-Bissau,GW,,Guinea-Bissau - Oio,2018-03-07,19:35
Gomphrena celosioides,Plantae,AMARANTHACEAE,Soft khakiweed,,1,-15.57928562,11.86433193,Africa,Guinea-Bissau,GW,,Guinea-Bissau,2017-12-17,
Sarcocephalus latifolius,Plantae,RUBIACEAE,Sierra Leone-peach,,1,-15.15975144,12.02514974,Africa,Guinea-Bissau,GW,,Guinea-Bissau - Oio,2017-12-15,16:52
Hypoestes verticillaris,Plantae,ACANTHACEAE,,,1,-13.93932005,11.85317039,Africa,Guinea-Bissau,GW,,Guinea-Bissau - Dulombi-Boe NP 2,2017-12-04,16:30
Hypoestes verticillaris,Plantae,ACANTHACEAE,,,1,-13.93932005,11.85317039,Africa,Guinea-Bissau,GW,,Guinea-Bissau - Dulombi-Boe NP 2,2017-12-04,16:30
