scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Paroaria gularis,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Red-capped Cardinal,,1,-57.961535454,4.37483741459,South America,Guyana,GY,,Guyana,2013-03-06,
Hoploxypterus cayanus,Animalia,PLOVERS_CHARADRIIDAE,Pied Plover,,1,-57.961535454,4.37483741459,South America,Guyana,GY,,Guyana,2013-03-06,
Trogon viridis,Animalia,TROGONS_TROGONIDAE,Green-backed Trogon,,1,-57.961535454,4.37483741459,South America,Guyana,GY,,Guyana,2013-03-06,
Hoploxypterus cayanus,Animalia,PLOVERS_CHARADRIIDAE,Pied Plover,,4,-57.9609775545,4.37513694404,South America,Guyana,GY,,Guyana,2013-03-05,
Morpho helenor,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Helenor Morpho,,1,-57.96136379,4.36762008,South America,Guyana,GY,,Guyana,2013-03-05,
Agraulis vanillae,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Gulf Fritillary,,2,-57.9613637933,4.36762007843,South America,Guyana,GY,,Guyana,2013-03-04,
Coragyps atratus,Animalia,NEW_WORLD_VULTURES_CATHARTIDAE,Black Vulture,,26,-57.9615354521,4.3744109322,South America,Guyana,GY,,Guyana,2013-03-04,
Ameerega trivittata,Animalia,Dendrobatidae,Three-striped Poison Frog,,1,-57.1727371286,5.19056319534,South America,Guyana,GY,,Guyana,2013-03-01,
Ameiva ameiva,Animalia,Teiidae,Giant Ameiva,,1,-58.36990357,6.93317498,South America,Guyana,GY,,Guyana,2008-02-11,
Theristicus caudatus,Animalia,IBISSES_AND_SPOONBILLS_THRESKIORNITHIDAE,Buff-necked Ibis,,4,-58.86154178,4.32833575,South America,Guyana,GY,,Guyana,2008-02-03,
Vanellus chilensis,Animalia,PLOVERS_CHARADRIIDAE,Southern Lapwing,,1,-58.86154178,4.32833575,South America,Guyana,GY,,Guyana,2008-02-03,
Iguana iguana,Animalia,Iguanidae,Common Green Iguana,,1,-59.33740139,3.68138047,South America,Guyana,GY,,Guyana,2016-01-01,
Chelonoidis carbonaria,Animalia,Testudinidae,Red-footed Tortoise,,1,-58.68809938,4.67238066,South America,Guyana,GY,,Guyana,2016-01-08,
Rhynchonycteris naso,Animalia,SACWINGED_BATS_EMBALLONURIDAE,Proboscis Bat,,5,-58.71070862,4.6934231,South America,Guyana,GY,,Guyana,2016-01-09,
Pithecia pithecia,Animalia,TITIS_AND_SAKIS_PITHECIIDAE,White-faced Saki,,1,-58.70109558,4.60525137,South America,Guyana,GY,,Guyana,2016-01-10,
Saguinus midas,Animalia,CALLITRICHIDAE,Golden-handed Tamarin,,1,-58.63071442,4.7384172,South America,Guyana,GY,,Guyana,2016-01-11,
Campylorhynchus griseus,Animalia,WRENS_TROGLODYTIDAE,Bicolored Wren,,1,-59.5781,3.8352,South America,Guyana,GY,,Guyana,2017-07-30,08:20
Caracara cheriway,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Northern Crested Caracara,,1,-59.0645,4.118,South America,Guyana,GY,,Guyana,2017-07-27,11:44
Spinus cucullatus,Animalia,FINCHES_FRINGILLIDAE,Red Siskin,,6,-59.53,2.82,South America,Guyana,GY,,Guyana,2015-12-29,
Aratinga solstitialis,Animalia,PARROTS_PSITTACIDAE,Sun Parakeet,,1,-59.53,4.04,South America,Guyana,GY,,Guyana,2015-12-31,
Elanoides forficatus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Swallow-tailed Kite,,3,-57.2340699,5.15442451,South America,Guyana,GY,,Guyana,2016-12-10,11:00
Oxybelis aeneus,Animalia,Colubridae,Brown Vinesnake,,1,-58.6747598648,4.67358970498,South America,Guyana,GY,,Guyana,2015-11-25,
Oxybelis aeneus,Animalia,Colubridae,Brown Vinesnake,,1,-58.73,4.612,South America,Guyana,GY,,Guyana,2016-01-10,
Erythemis vesiculosa,Animalia,SKIMMERS_LIBELLULIDAE,Great Pondhawk,,10,-57.7302289013,6.52982487475,South America,Guyana,GY,,Guyana,2015-12-27,
Homeoura chelifera,Animalia,POND_DAMSELS_COENAGRIONIDAE,Common Marshdamsel,,2,-59.332318604,3.78357622659,South America,Guyana,GY,,Guyana,2016-01-02,08:22
