scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Falco sparverius,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,American Kestrel,,1,-72.2555673122,19.7190401715,North America,Haiti,HT,,Haiti,2014-10-26,08:00
Psittacara chloropterus,Animalia,PARROTS_PSITTACIDAE,Hispaniolan Parakeet,,8,-72.2555673122,19.7190401715,North America,Haiti,HT,,Haiti,2014-10-26,08:00
Setophaga tigrina,Animalia,NEW_WORLD_WARBLERS_PARULIDAE,Cape May Warbler,,8,-72.255256176,19.7188886763,North America,Haiti,HT,,Haiti,2014-10-25,08:00
Patagioenas inornata,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Plain Pigeon,,1,-72.255256176,19.7188886763,North America,Haiti,HT,,Haiti,2014-10-25,08:00
Psittacara chloropterus,Animalia,PARROTS_PSITTACIDAE,Hispaniolan Parakeet,,16,-72.255256176,19.7188886763,North America,Haiti,HT,,Haiti,2014-10-24,08:00
Corvus leucognaphalus,Animalia,CROWS_AND_JAYS_CORVIDAE,White-necked Crow,,12,-72.255256176,19.7188886763,North America,Haiti,HT,,Haiti,2014-10-25,08:00
Calidris himantopus,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Stilt Sandpiper,,1,-71.8,19.65,North America,Haiti,HT,,Haiti,2014-10-17,11:00
Antrostomus ekmani,Animalia,NIGHTJARS_CAPRIMULGIDAE,Hispaniolan Nightjar,,30,-72.7082938,18.94960063,North America,Haiti,HT,,Haiti - L'Artibonite,2008-03-11,20:00
Melanerpes striatus,Animalia,WOODPECKERS_PICIDAE,Hispaniolan Woodpecker,,3,-72.23926306,19.78257068,North America,Haiti,HT,,Haiti - Nord,2019-03-09,08:00
Dulus dominicus,Animalia,PALMCHAT_DULIDAE,Palmchat,,2,-71.92136761,19.12774675,North America,Haiti,HT,,Haiti,2018-05-16,12:00
Phaenicophilus palmarum,Animalia,PHAENICOPHILIDAE,Black-crowned Tanager,,1,-71.84697375,19.35710082,North America,Haiti,HT,,Haiti - Nord-Est,2018-05-12,11:00
Coereba flaveola,Animalia,TANAGERS_AND_ALLIES_THRAUPIDAE,Bananaquit,,2,-71.84697375,19.35710082,North America,Haiti,HT,,Haiti - Nord-Est,2018-05-12,11:00
Charadrius wilsonia,Animalia,PLOVERS_CHARADRIIDAE,Wilson's Plover,,6,-71.78575459,19.70566359,North America,Haiti,HT,,Haiti - Nord-Est,2018-05-06,10:00
Himantopus mexicanus,Animalia,STILTS_AND_AVOCETS_RECURVIROSTRIDAE,Black-necked Stilt,,8,-71.78669872,19.7057444,North America,Haiti,HT,,Haiti - Nord-Est,2018-05-06,10:00
Todus subulatus,Animalia,TODIES_TODIDAE,Broad-billed Tody,,2,-71.7939085,19.68643104,North America,Haiti,HT,,Haiti - Nord-Est,2018-05-06,09:30
Phaenicophilus palmarum,Animalia,PHAENICOPHILIDAE,Black-crowned Tanager,,1,-71.7939085,19.68643104,North America,Haiti,HT,,Haiti - Nord-Est,2018-05-06,09:30
Crotophaga ani,Animalia,CUCKOOS_AND_COUCALS_CUCULIDAE,Smooth-billed Ani,,3,-71.7939085,19.68643104,North America,Haiti,HT,,Haiti - Nord-Est,2018-05-06,09:30
Nyctanassa violacea,Animalia,HERONS_ARDEIDAE,Yellow-crowned Night Heron,,8,-72.19748496,19.76335199,North America,Haiti,HT,,Haiti - Nord,2018-01-20,14:00
Melanerpes striatus,Animalia,WOODPECKERS_PICIDAE,Hispaniolan Woodpecker,,16,-72.19748496,19.76335199,North America,Haiti,HT,,Haiti - Nord,2018-01-20,14:00
Corvus leucognaphalus,Animalia,CROWS_AND_JAYS_CORVIDAE,White-necked Crow,,12,-72.19748496,19.76335199,North America,Haiti,HT,,Haiti - Nord,2018-01-20,14:00
Butorides virescens,Animalia,HERONS_ARDEIDAE,Green Heron,,1,-71.79751339,19.66840852,North America,Haiti,HT,,Haiti - Nord-Est,2018-01-14,11:00
Charadrius wilsonia,Animalia,PLOVERS_CHARADRIIDAE,Wilson's Plover,,12,-71.79751339,19.66840852,North America,Haiti,HT,,Haiti - Nord-Est,2018-01-14,11:00
Anas bahamensis,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,White-cheeked Pintail,,2,-71.79122672,19.65282873,North America,Haiti,HT,,Haiti - Nord-Est,2018-01-14,10:00
Megaceryle alcyon,Animalia,KINGFISHERS_ALCEDINIDAE,Belted Kingfisher,,2,-71.78281531,19.65775266,North America,Haiti,HT,,Haiti - Nord-Est,2018-01-14,09:00
Gallinula galeata,Animalia,RAILS_RALLIDAE,Common Gallinule,,20,-71.78281531,19.65775266,North America,Haiti,HT,,Haiti - Nord-Est,2018-01-14,09:00
Fulica americana,Animalia,RAILS_RALLIDAE,American Coot,,2,-71.78281531,19.65775266,North America,Haiti,HT,,Haiti - Nord-Est,2018-01-14,09:00
Fulica americana,Animalia,RAILS_RALLIDAE,American Coot,,25,-71.78281531,19.65775266,North America,Haiti,HT,,Haiti - Nord-Est,2018-01-14,09:00
Calidris minutilla,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Least Sandpiper,,2,-71.78281531,19.65775266,North America,Haiti,HT,,Haiti - Nord-Est,2018-01-14,09:00
Actitis macularius,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Spotted Sandpiper,,2,-71.78281531,19.65775266,North America,Haiti,HT,,Haiti - Nord-Est,2018-01-14,09:00
Butorides virescens,Animalia,HERONS_ARDEIDAE,Green Heron,,1,-71.78281531,19.65775266,North America,Haiti,HT,,Haiti - Nord-Est,2018-01-14,09:00
Crotophaga ani,Animalia,CUCKOOS_AND_COUCALS_CUCULIDAE,Smooth-billed Ani,,2,-71.7805481,19.6558643,North America,Haiti,HT,,Haiti - Nord-Est,2018-01-14,08:30
