scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Ara macao,Animalia,PARROTS_PSITTACIDAE,Scarlet Macaw,,8,-89.1437405935052,14.8390698471623,North America,Honduras,HN,,Honduras - Copán Ruinas - sitio archeológico,2014-10-30,09:10
Icterus gularis,Animalia,ICTERIDS_ICTERIDAE,Altamira Oriole,,1,-89.1434582729665,14.8390180262812,North America,Honduras,HN,,Honduras - Copán Ruinas - sitio archeológico,2014-10-30,09:11
Parides photinus,Animalia,SWALLOWTAILS_PAPILIONIDAE,Pink-spotted Cattleheart,,1,-88.228454589844,14.985249651946,North America,Honduras,HN,,Honduras - Santa Bárbara,1993-07-16,
Dione juno,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Juno Silverspot,,1,-88.228454589844,14.985249651946,North America,Honduras,HN,,Honduras - Santa Bárbara,1993-07-16,
Biblis hyperia,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Red Rim,,1,-88.228454589844,14.985249651946,North America,Honduras,HN,,Honduras - Santa Bárbara,1993-07-16,
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,2,-87.705077827,14.445890908,North America,Honduras,HN,,Honduras - Estación Experimental La Soledad,1993-01-15,
Psittacara rubritorquis,Animalia,PARROTS_PSITTACIDAE,Red-throated Parakeet,,1,-89.0469360352,14.8704690411,North America,Honduras,HN,,Honduras - Copán,1997-10-12,
Cochlearius cochlearius ridgwayi,Animalia,HERONS_ARDEIDAE,Boat-billed Heron ssp ridgwayi,,1,-86.9991874695,15.7486408371,North America,Honduras,HN,,Honduras - Atlántida,1994-03-16,
Dendrocygna autumnalis fulgens,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Black-bellied Whistling Duck ssp fulgens,,1,-87.8462719917,14.5961882596,North America,Honduras,HN,,Honduras - Siguatepeque,1993-05-31,
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,12,-87.6720571518,14.4655576069,North America,Honduras,HN,,Honduras - Comayagua,1992-12-06,
Melozone biarcuata,Animalia,PASSERELLIDAE,Prevost's Ground Sparrow,,1,-87.8499627113,14.603518234,North America,Honduras,HN,,Honduras - Siguatepeque,1992-11-25,
Tursiops truncatus,Animalia,DOLPHINS_DELPHINIDAE,Common Bottlenose Dolphin,,1,-86.47796636,16.35124076,North America,Honduras,HN,,Honduras - Isla de Roatán,2003-08-23,
