scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Uvarovistia spec.,Animalia,KATYDIDS_TETTIGONIIDAE,,,1,44.0467643738,36.9094114133,Asia,Iraq,IQ,,Iraq - Arbil,2014-05-01,
Euchloe ausonia,Animalia,WHITES_PIERIDAE,Eastern Dappled White,,1,44.32801,36.69505,Asia,Iraq,IQ,,Iraq - Arbil,2014-05-01,
Lycaena tityrus,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Sooty Copper,,1,44.7,36.75,Asia,Iraq,IQ,,Iraq - Arbil,2014-04-30,
Vespa orientalis,Animalia,Vespidae,Oriental Hornet,,1,44.4132828712,36.6184899522,Asia,Iraq,IQ,,Iraq - Arbil,2014-04-26,
Hyles livornica,Animalia,Sphingidae,Striped Hawk-moth,,1,44.4135832787,36.6185760644,Asia,Iraq,IQ,,Iraq - Arbil,2014-04-26,
Platycnemis kervillei,Animalia,WHITELEGGED_DAMSELFLIES_PLATYCNEMIDIDAE,Powdered Featherleg,,1,44.2590665817,36.4041349997,Asia,Iraq,IQ,,Iraq - Arbil,2014-05-04,
Pontia edusa,Animalia,WHITES_PIERIDAE,Eastern Bath White,,1,44.9657535553,36.1776178791,Asia,Iraq,IQ,,Iraq - As-Sulaymaniyah,2014-05-02,
Zerynthia deyrollei,Animalia,SWALLOWTAILS_PAPILIONIDAE,Eastern Steppe Festoon,,3,44.2590773106,36.4041781752,Asia,Iraq,IQ,,Iraq - Arbil,2014-05-04,
Platycnemis dealbata,Animalia,WHITELEGGED_DAMSELFLIES_PLATYCNEMIDIDAE,Ivory Featherleg,,6,44.2590773106,36.4041781752,Asia,Iraq,IQ,,Iraq - Arbil,2014-05-04,
Passer domesticus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,,1,43.9900410175,36.1922349658,Asia,Iraq,IQ,,Iraq - Arbil,2014-05-03,
Passer domesticus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,,1,44.0090954303,36.1911612917,Asia,Iraq,IQ,,Iraq - Arbil,2014-05-03,
Crocothemis servilia,Animalia,SKIMMERS_LIBELLULIDAE,Oriental Scarlet,,15,44.96571064,36.1777044812,Asia,Iraq,IQ,,Iraq - As-Sulaymaniyah,2014-05-02,
Anax parthenope,Animalia,DARNERS_AESHNIDAE,Lesser Emperor,,15,44.96571064,36.1777044812,Asia,Iraq,IQ,,Iraq - As-Sulaymaniyah,2014-05-02,
Coracias garrulus,Animalia,ROLLERS_CORACIIDAE,European Roller,,1,44.0386,36.9011,Asia,Iraq,IQ,,Iraq - Arbil,2014-05-01,
