scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Fregata magnificens,Animalia,FRIGATEBIRDS_FREGATTIDAE,Magnificent Frigatebird,,1,-77.7655049879,17.8834517578,North America,Jamaica,JM,,Jamaica - Saint Elizabeth,2014-08-23,10:36
Cathartes aura,Animalia,NEW_WORLD_VULTURES_CATHARTIDAE,Turkey Vulture,,1,-77.923706118,18.4810895226,North America,Jamaica,JM,,Jamaica - Saint James,2014-08-22,08:29
Egretta caerulea,Animalia,HERONS_ARDEIDAE,Little Blue Heron,,1,-77.6438355446,18.4558371604,North America,Jamaica,JM,,Jamaica - Trelawny,2013-02-25,11:53
Egretta thula,Animalia,HERONS_ARDEIDAE,Snowy Egret,,1,-77.9233270884,18.4750426856,North America,Jamaica,JM,,Jamaica - Saint James,2014-02-25,17:31
Fregata magnificens,Animalia,FRIGATEBIRDS_FREGATTIDAE,Magnificent Frigatebird,,2,-77.8700315952,18.5207339749,North America,Jamaica,JM,,Jamaica,2014-02-25,15:22
Nyctanassa violacea,Animalia,HERONS_ARDEIDAE,Yellow-crowned Night Heron,,1,-77.1675261855,18.4340798365,North America,Jamaica,JM,,Jamaica - Saint Ann,2014-02-23,19:30
Trochilus polytmus,Animalia,HUMMINGBIRDS_TROCHILIDAE,Red-billed Streamertail,,2,-76.9534000754,18.3503275282,North America,Jamaica,JM,,Jamaica - Saint Mary,2014-02-23,09:45
Anthracothorax mango,Animalia,HUMMINGBIRDS_TROCHILIDAE,Jamaican Mango,,1,-76.9534000754,18.3503275282,North America,Jamaica,JM,,Jamaica - Saint Mary,2014-02-23,08:45
Columbina passerina jamaicensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Common Ground Dove ssp jamaicensis,,2,-76.9536548853,18.3502791577,North America,Jamaica,JM,,Jamaica - Saint Mary,2014-02-23,07:08
Setophaga ruticilla,Animalia,NEW_WORLD_WARBLERS_PARULIDAE,American Redstart,,1,-76.9536548853,18.3502791577,North America,Jamaica,JM,,Jamaica - Saint Mary,2014-02-23,06:56
Tyrannus caudifasciatus,Animalia,TYRANT_FLYCATCHERS_TYRANNIDAE,Loggerhead Kingbird,,1,-76.9538506866,18.3501849624,North America,Jamaica,JM,,Jamaica - Saint Mary,2014-02-22,17:30
Pardirallus maculatus,Animalia,RAILS_RALLIDAE,Spotted Rail,,1,-77.71881457,18.09755144,North America,Jamaica,JM,,Jamaica - Saint Elizabeth,2014-03-15,18:23
Tyto furcata,Animalia,BARN_OWLS_TYTONIDAE,American Barn Owl,,1,-77.71876109,18.09796559,North America,Jamaica,JM,,Jamaica - Saint Elizabeth,2014-03-15,18:26
Geotrygon versicolor,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Crested Quail-Dove,,1,-77.44799121,18.37643341,North America,Jamaica,JM,,Jamaica - Trelawny,2014-03-15,08:31
Geotrygon versicolor,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Crested Quail-Dove,,1,-77.4479174427688,18.3763941982761,North America,Jamaica,JM,,Jamaica - Trelawny,2014-03-15,08:31
Porphyrio martinica,Animalia,RAILS_RALLIDAE,Purple Gallinule,,1,-77.7200293075293,18.0894638411701,North America,Jamaica,JM,,Jamaica - Saint Elizabeth,2014-03-15,16:14
Pardirallus maculatus,Animalia,RAILS_RALLIDAE,Spotted Rail,,2,-77.7171954698861,18.0957926390693,North America,Jamaica,JM,,Jamaica - Saint Elizabeth,2014-03-15,17:52
Tyto furcata,Animalia,BARN_OWLS_TYTONIDAE,American Barn Owl,,2,-77.7188442740589,18.0974135315046,North America,Jamaica,JM,,Jamaica - Saint Elizabeth,2014-03-15,18:12
Patagioenas leucocephala,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,White-crowned Pigeon,,2,-76.9536924362,18.3501773249,North America,Jamaica,JM,,Jamaica - Saint Mary,2014-02-23,17:00
Quiscalus niger,Animalia,ICTERIDS_ICTERIDAE,Greater Antillean Grackle,,2,-76.9536924362,18.3501773249,North America,Jamaica,JM,,Jamaica - Saint Mary,2014-02-23,17:00
