scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Poecilimon gracilis,Animalia,PHANEROPTERIDAE,Slender Bright Bush-cricket,,1,21.0372161848,42.1817107782,Europe,Kosovo,KO,,Kosovo - Štimlje,1979-07-01,
Coenonympha pamphilus,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Small Heath,,1,20.059003833449,42.730462372335,Europe,Kosovo,KO,,Kosovo - Pec,2013-05-28,
Araschnia levana,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Map Butterfly,,1,20.059175494825,42.730474982558,Europe,Kosovo,KO,,Kosovo - Pec,2013-05-29,
Spilostethus saxatilis,Animalia,Lygaeidae,,,1,20.059089664137,42.730336277667,Europe,Kosovo,KO,,Kosovo - Pec,2013-05-28,
Coenonympha pamphilus,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Small Heath,,1,20.059089658898,42.730462371373,Europe,Kosovo,KO,,Kosovo - Pec,2013-05-28,
Pyrgus malvae,Animalia,SKIPPERS_HESPERIIDAE,Grizzled Skipper,,1,20.05,42.7,Europe,Kosovo,KO,,Kosovo - Pec,2013-05-28,
Satyrium ilicis,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Ilex Hairstreak,,1,20.430164344143,42.470509938155,Europe,Kosovo,KO,,Kosovo - Gjacova,2013-05-31,
Lacerta viridis,Animalia,Lacertidae,Eastern Green Lizard,,1,20.575733181322,42.523921491316,Europe,Kosovo,KO,,Kosovo - Klina,2013-05-31,
Glaucopsyche alexis,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Green-underside Blue,,1,20.05,42.7,Europe,Kosovo,KO,,Kosovo - Pec,2013-05-29,
Aricia anteros,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Blue Argus,,1,20.058467387717,42.730881634638,Europe,Kosovo,KO,,Kosovo - Pec,2013-05-29,
