scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Emberiza calandra,Animalia,BUNTINGS_EMBERIZIDAE,Corn Bunting,,1,47.7830386162,29.5853722133,Asia,Kuwait,KW,,Kuwait,2010-04-15,
Monticola saxatilis,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Common Rock Thrush,,3,47.7830386162,29.5853722133,Asia,Kuwait,KW,,Kuwait,2010-04-15,
Circus pygargus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Montagu's Harrier,,1,47.7830386162,29.5853722133,Asia,Kuwait,KW,,Kuwait,2010-04-15,
Ardeola ralloides,Animalia,HERONS_ARDEIDAE,Squacco Heron,,2,47.7830386162,29.5853722133,Asia,Kuwait,KW,,Kuwait,2010-04-15,
Anas platyrhynchos,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Mallard,,2,47.7830386162,29.5853722133,Asia,Kuwait,KW,,Kuwait,2010-04-15,
Phoenicurus phoenicurus,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Common Redstart,,14,47.6745271683,29.3518899752,Asia,Kuwait,KW,,Kuwait - Kuwait city,2010-04-14,
Halcyon smyrnensis,Animalia,KINGFISHERS_ALCEDINIDAE,White-throated Kingfisher,,2,47.6745271683,29.3518899752,Asia,Kuwait,KW,,Kuwait - Kuwait city,2010-04-14,
Motacilla cinerea,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Grey Wagtail,,1,47.6745271683,29.3518899752,Asia,Kuwait,KW,,Kuwait - Kuwait city,2010-04-14,
Ardeola ralloides,Animalia,HERONS_ARDEIDAE,Squacco Heron,,1,47.6745271683,29.3518899752,Asia,Kuwait,KW,,Kuwait - Kuwait city,2010-04-14,
Passer domesticus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,,501,46.958656311,29.3676647836,Asia,Kuwait,KW,,Kuwait,2010-04-14,
Riparia riparia,Animalia,SWALLOWS_HIRUNDINIDAE,Sand Martin,,1,46.958656311,29.368263187,Asia,Kuwait,KW,,Kuwait,2010-04-14,
Coracias garrulus,Animalia,ROLLERS_CORACIIDAE,European Roller,,1,46.958656311,29.368263187,Asia,Kuwait,KW,,Kuwait,2010-04-14,
