scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Argynnis pandora,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Cardinal,,1,74.7585296631,42.7306220914,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Bishkek,2007-06-01,
Emberiza cia,Animalia,BUNTINGS_EMBERIZIDAE,Rock Bunting,,1,76.9731974602,42.648598811,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2007-05-24,
Orthetrum brunneum,Animalia,SKIMMERS_LIBELLULIDAE,Southern Skimmer,,1,77.6770305634,42.718736573,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2007-05-26,
Orthetrum brunneum,Animalia,SKIMMERS_LIBELLULIDAE,Southern Skimmer,,1,77.6770305634,42.718736573,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2007-05-26,
Sympetrum sanguineum,Animalia,SKIMMERS_LIBELLULIDAE,Ruddy Darter,,10,76.4943695068,42.7631458669,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Bishkek,2013-06-30,
Saxicola maurus,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Siberian Stonechat,,1,76.044452930253,42.702503583493,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Bishkek,2009-07-11,
Ibidorhyncha struthersii,Animalia,IBISBILL_IBIDORHYNCHIDAE,Ibisbill,,2,76.2902941438,42.1544237127,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2012-06-30,
Falco peregrinus babylonicus,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Peregrine Falcon ssp babylonicus,,1,78.9164919354,42.190486797,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2009-07-13,
Saxicola maurus,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Siberian Stonechat,,1,76.040863464,42.7464081875,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Bishkek,2009-07-10,
Oenanthe pleschanka,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Pied Wheatear,,2,75.9997505643,42.7411448701,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Bishkek,2009-07-08,
Orthetrum albistylum,Animalia,SKIMMERS_LIBELLULIDAE,White-tailed Skimmer,,1,74.5806884766,43.006655666,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Bishkek,2007-05-20,
Sympetrum fonscolombii,Animalia,SKIMMERS_LIBELLULIDAE,Red-veined Darter,,4,74.5806884766,43.006655666,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Bishkek,2007-05-20,
Riparia riparia,Animalia,SWALLOWS_HIRUNDINIDAE,Sand Martin,,2,76.3285446167,42.1409371296,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2010-06-14,
Carpodacus erythrinus,Animalia,FINCHES_FRINGILLIDAE,Common Rosefinch,,2,78.2748842239,42.2991309201,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2010-06-10,
Motacilla alba personata,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,White Wagtail ssp personata,,1,76.1201477051,42.740936791,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Bishkek,2010-06-07,21:08
Eremophila alpestris,Animalia,LARKS_ALAUDIDAE,Horned Lark,,1,75.2628707886,41.7780967365,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Naryn,2010-06-16,
Alectoris chukar,Animalia,FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE,Chukar Partridge,,2,76.3605,42.1313,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2010-06-14,
Pastor roseus,Animalia,STARLINGS_STURNIDAE,Rosy Starling,,30,74.54087213,42.7363453,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Bishkek,2010-06-06,09:32
Cecropis daurica,Animalia,SWALLOWS_HIRUNDINIDAE,Red-rumped Swallow,,2,74.61667715,42.89480563,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Bishkek,2010-06-07,12:31
Emberiza bruniceps,Animalia,BUNTINGS_EMBERIZIDAE,Red-headed Bunting,,1,75.98567352,42.69665573,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Bishkek,2010-06-07,19:05
Saxicola maurus,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Siberian Stonechat,,1,76.11794012,42.73984337,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Bishkek,2010-06-07,21:14
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,2,76.12718477,42.7364859,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Bishkek,2010-06-08,08:05
Saxicola maurus,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Siberian Stonechat,,1,76.13729717,42.73607518,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Bishkek,2010-06-08,09:58
Saxicola maurus,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Siberian Stonechat,,1,76.15081892,42.73244785,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Bishkek,2010-06-08,10:55
Saxicola maurus,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Siberian Stonechat,,1,76.15039307,42.7328961,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Bishkek,2010-06-08,11:10
Oenanthe isabellina,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Isabelline Wheatear,,6,77.80404032,42.73695395,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2010-06-09,17:56
Hieraaetus pennatus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Booted Eagle,,3,78.22313947,42.37774513,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2010-06-10,11:28
Serinus pusillus,Animalia,FINCHES_FRINGILLIDAE,Red-fronted Serin,,2,78.26821553,42.29951387,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2010-06-10,12:42
Marmota baibacina,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Gray Marmot,,1,78.26426315,42.302351,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2010-06-10,15:23
Pyrrhocorax pyrrhocorax,Animalia,CROWS_AND_JAYS_CORVIDAE,Red-billed Chough,,4,76.83858972,42.1772311,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2010-06-10,21:00
Emberiza buchanani,Animalia,BUNTINGS_EMBERIZIDAE,Grey-necked Bunting,,2,76.83891435,42.1726828,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2010-06-11,18:26
Eremophila alpestris,Animalia,LARKS_ALAUDIDAE,Horned Lark,,1,76.82444228,42.15153182,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2010-06-12,10:26
Emberiza buchanani,Animalia,BUNTINGS_EMBERIZIDAE,Grey-necked Bunting,,1,76.8323052,42.14050768,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2010-06-12,10:46
Motacilla citreola,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Citrine Wagtail,,1,76.94135162,42.03079117,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2010-06-12,15:14
Petronia petronia,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Rock Sparrow,,2,76.93849935,42.03550577,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2010-06-13,11:11
Alectoris chukar,Animalia,FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE,Chukar Partridge,,1,76.93528165,42.0346267,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2010-06-13,11:50
Montifringilla nivalis,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,White-winged Snowfinch,,1,76.93728215,42.01314255,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2010-06-13,17:26
Eremophila alpestris,Animalia,LARKS_ALAUDIDAE,Horned Lark,,4,76.93728187,42.01314517,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2010-06-13,17:27
Cinclus cinclus,Animalia,DIPPERS_CINCLIDAE,White-throated Dipper,,1,76.9902241,42.0666111,Asia,Kyrgyzstan,KG,,Kyrgyzstan - Ysyk-Köl,2010-06-14,10:40
