scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Passer flaveolus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Plain-backed Sparrow,,1,105.930211656,13.9716032771,Asia,Laos,LA,,Laos - Champasak,2015-01-24,16:00
Glareola lactea,Animalia,COURSERS_AND_PRATINCOLES_GLAREOLIDAE,Small Pratincole,,100,100.410368666,20.2722412651,Asia,Laos,LA,,Laos,2014-12-28,
Charadrius alexandrinus,Animalia,PLOVERS_CHARADRIIDAE,Kentish Plover,,2,105.900709033,14.9067981544,Asia,Laos,LA,,Laos - Champasak,2015-01-15,11:00
Lanius cristatus,Animalia,SHRIKES_LANIIDAE,Brown Shrike,,1,105.922594517,13.9535174272,Asia,Laos,LA,,Laos - Champasak,2015-01-22,09:00
Corvus macrorhynchos,Animalia,CROWS_AND_JAYS_CORVIDAE,Large-billed Crow,,1,105.919905603,13.9498932863,Asia,Laos,LA,,Laos - Champasak,2015-01-21,09:00
Anhinga melanogaster,Animalia,ANHINGAS_ANHINGIDAE,Oriental Darter,,1,105.924883783,13.9388142165,Asia,Laos,LA,,Laos - Champasak,2015-01-21,08:00
Ardea alba,Animalia,HERONS_ARDEIDAE,Great Egret,,1,105.924883783,13.9388142165,Asia,Laos,LA,,Laos - Champasak,2015-01-21,08:00
Anhinga melanogaster,Animalia,ANHINGAS_ANHINGIDAE,Oriental Darter,,2,105.985637158,13.9599312816,Asia,Laos,LA,,Laos - Champasak,2015-01-20,11:00
Lanius cristatus,Animalia,SHRIKES_LANIIDAE,Brown Shrike,,1,105.918817967,13.9643459088,Asia,Laos,LA,,Laos - Champasak,2015-01-19,16:00
Spilornis cheela,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Crested Serpent Eagle,,1,105.917809121,13.9643672203,Asia,Laos,LA,,Laos - Champasak,2015-01-19,16:00
Lanius cristatus,Animalia,SHRIKES_LANIIDAE,Brown Shrike,,1,105.922047012,13.9621599175,Asia,Laos,LA,,Laos - Champasak,2015-01-19,10:00
