scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Corvus cornix,Animalia,CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,1,24.1083956882,56.9484617074,Europe,Latvia,LV,,Latvia - Riga,2015-02-15,
Corvus cornix,Animalia,CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,10,24.1160704941,56.9491169709,Europe,Latvia,LV,,Latvia - Riga,2015-02-15,
Corvus cornix,Animalia,CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,15,24.1165650263429,56.9491542730722,Europe,Latvia,LV,,Latvia - Riga,2015-02-14,14:53
Corvus cornix,Animalia,CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,10,24.1129983589,56.9440670212,Europe,Latvia,LV,,Latvia - Riga,2015-02-02,
Corvus cornix,Animalia,CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,1,24.1349938714286,56.9530939,Europe,Latvia,LV,,Latvia - Riga,2015-01-31,13:57
Corvus cornix,Animalia,CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,1,24.1349938714286,56.9530939,Europe,Latvia,LV,,Latvia - Riga,2015-01-31,14:37
Corvus cornix,Animalia,CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,1,23.7561106682,56.9239889238,Europe,Latvia,LV,,Latvia - Riga,2008-10-08,
Coenonympha glycerion,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Chestnut Heath,,1,25.2,57.3,Europe,Latvia,LV,,Latvia - Gauja NP,2014-07-08,
Polyommatus amandus,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Amanda's Blue,,1,25.2407314628,57.3122238624,Europe,Latvia,LV,,Latvia - Gauja NP,2014-07-08,
Nymphalis xanthomelas,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Yellow-legged Tortoiseshell,,1,25.2327492088,57.3181682551,Europe,Latvia,LV,,Latvia - Gauja NP,2014-07-08,
Coenonympha glycerion,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Chestnut Heath,,1,25.2,57.3,Europe,Latvia,LV,,Latvia - Gauja NP,2014-07-08,
Maniola jurtina,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Meadow Brown,,1,25.2327492088,57.3181682551,Europe,Latvia,LV,,Latvia - Gauja NP,2014-07-08,
Lycaena alciphron,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Purple-shot Copper,,1,25.2277924865,57.3171022749,Europe,Latvia,LV,,Latvia - Gauja NP,2014-07-08,
Coenonympha arcania,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Pearly Heath,,1,25.2,57.3,Europe,Latvia,LV,,Latvia - Gauja NP,2014-07-08,
Brenthis ino,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Lesser Marbled Fritillary,,5,25.2,57.3,Europe,Latvia,LV,,Latvia - Gauja NP,2014-07-08,
Apatura ilia,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Lesser Purple Emperor,,1,25.2,57.3,Europe,Latvia,LV,,Latvia - Gauja NP,2014-07-08,
