scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Corvus cornix,Animalia,CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,1,35.80949705377303,33.727565,Asia,Lebanon,LB,,Lebanon - Aammiq wetland,2018-04-28,08:20
Lanius collurio,Animalia,SHRIKES_LANIIDAE,Red-backed Shrike,,12,35.80949705377303,33.727565,Asia,Lebanon,LB,,Lebanon - Aammiq wetland,2018-04-28,08:20
Egretta garzetta,Animalia,HERONS_ARDEIDAE,Little Egret,,2,35.80949705377303,33.727565,Asia,Lebanon,LB,,Lebanon - Aammiq wetland,2018-04-28,08:20
Tachybaptus ruficollis,Animalia,GREBES_PODICIPEDIDAE,Little Grebe,,3,35.80949705377303,33.727565,Asia,Lebanon,LB,,Lebanon - Aammiq wetland,2018-04-28,08:20
Tachybaptus ruficollis,Animalia,GREBES_PODICIPEDIDAE,Little Grebe,,2,35.80949705377303,33.727565,Asia,Lebanon,LB,,Lebanon - Aammiq wetland,2018-04-28,08:20
Milvus migrans,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Black Kite,,50,35.5099316666667,33.0999016666667,Asia,Lebanon,LB,,Lebanon - Bent Jbayl,2018-04-16,22:58
Grus grus,Animalia,CRANES_GRUIDAE,Common Crane,,4000,35.90673577,33.84038311,Asia,Lebanon,LB,,Lebanon - Zahlé,2018-03-13,11:30
Procavia capensis,Animalia,HYRAXES_PROCAVIIDAE,Common Rock Hyrax,,1,35.80696106,34.06236338,Asia,Lebanon,LB,,Lebanon - Jabal Moussa,2017-11-05,12:00
Pernis apivorus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,European Honey Buzzard,,1000,35.96058369,34.29682039,Asia,Lebanon,LB,,Lebanon - Zgharta,2017-09-10,
Milvus migrans,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Black Kite,,10,35.96058369,34.29682039,Asia,Lebanon,LB,,Lebanon - Zgharta,2017-09-09,
Pernis apivorus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,European Honey Buzzard,,1000,35.96058369,34.29682039,Asia,Lebanon,LB,,Lebanon - Zgharta,2017-09-09,
