scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Anthus hoeschi,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Mountain Pipit,,1,29.2630076408,-29.5740635942,Africa,Lesotho,LS,,Lesotho,2015-02-11,
Prinia maculosa,Animalia,CISTICOLAS_AND_ALLIES_CISTICOLIDAE,Karoo Prinia,,1,29.2582011223,-29.5692859751,Africa,Lesotho,LS,,Lesotho,2015-02-11,
Monticola explorator,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Sentinel Rock Thrush,,1,29.2735433578,-29.5770588221,Africa,Lesotho,LS,,Lesotho,2015-02-11,
Geronticus calvus,Animalia,IBISSES_AND_SPOONBILLS_THRESKIORNITHIDAE,Southern Bald Ibis,,1,29.2712420225,-29.5755495556,Africa,Lesotho,LS,,Lesotho,2015-02-11,
Nectarinia famosa,Animalia,SUNBIRDS_NECTARINIIDAE,Malachite Sunbird,,1,29.2885458474,-29.5846836555,Africa,Lesotho,LS,,Lesotho,2014-12-20,
Crithagra symonsi,Animalia,FINCHES_FRINGILLIDAE,Drakensberg Siskin,,3,29.2884600167,-29.5845374839,Africa,Lesotho,LS,,Lesotho,2014-12-20,
Chaetops aurantius,Animalia,ROCKJUMPERS_CHAETOPIDAE,Drakensberg Rockjumper,,2,29.2887818818,-29.5849480074,Africa,Lesotho,LS,,Lesotho,2014-12-20,
Anthus hoeschi,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Mountain Pipit,,1,29.2720556329,-29.5721706092,Africa,Lesotho,LS,,Lesotho,2014-12-20,
Gypaetus barbatus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Bearded Vulture,,1,29.1826200555,-29.5025355645,Africa,Lesotho,LS,,Lesotho,2014-12-20,
Geocolaptes olivaceus,Animalia,WOODPECKERS_PICIDAE,Ground Woodpecker,,4,29.2120742938,-29.5378830492,Africa,Lesotho,LS,,Lesotho,2014-12-20,
Emarginata sinuata,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Sickle-winged Chat,,2,29.2120742938,-29.5378830492,Africa,Lesotho,LS,,Lesotho,2014-12-20,
Geronticus calvus,Animalia,IBISSES_AND_SPOONBILLS_THRESKIORNITHIDAE,Southern Bald Ibis,,12,29.2781066964,-29.5791128142,Africa,Lesotho,LS,,Lesotho,2014-12-20,
Crithagra symonsi,Animalia,FINCHES_FRINGILLIDAE,Drakensberg Siskin,,4,29.288395645,-29.5844255215,Africa,Lesotho,LS,,Lesotho,2014-12-20,
Chaetops aurantius,Animalia,ROCKJUMPERS_CHAETOPIDAE,Drakensberg Rockjumper,,2,29.2884922045,-29.5849293462,Africa,Lesotho,LS,,Lesotho,2014-12-20,
Monticola explorator,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Sentinel Rock Thrush,,1,29.2492961884,-29.4922436893,Africa,Lesotho,LS,,Lesotho,2009-09-30,
Geronticus calvus,Animalia,IBISSES_AND_SPOONBILLS_THRESKIORNITHIDAE,Southern Bald Ibis,,1,29.2502993345,-29.5628586944,Africa,Lesotho,LS,,Lesotho,2014-11-10,
Crithagra symonsi,Animalia,FINCHES_FRINGILLIDAE,Drakensberg Siskin,,25,29.2863535881,-29.5824238836,Africa,Lesotho,LS,,Lesotho,2014-11-10,
Crithagra flaviventris guillarmodi,Animalia,FINCHES_FRINGILLIDAE,Yellow Canary ssp guillarmodi,,2,29.2568278313,-29.5734664041,Africa,Lesotho,LS,,Lesotho,2014-11-10,
Anthus hoeschi,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Mountain Pipit,,4,29.2527079582,-29.5668970808,Africa,Lesotho,LS,,Lesotho,2014-11-10,
Helichrysum confertum,Plantae,Asteraceae,,,1,29.2406702,-29.57633102,Africa,Lesotho,LS,,Lesotho,2014-10-28,
Emberiza capensis,Animalia,BUNTINGS_EMBERIZIDAE,Cape Bunting,,2,29.2406702042,-29.5763310179,Africa,Lesotho,LS,,Lesotho,2014-10-28,
Crithagra flaviventris guillarmodi,Animalia,FINCHES_FRINGILLIDAE,Yellow Canary ssp guillarmodi,,5,29.2406702042,-29.5763310179,Africa,Lesotho,LS,,Lesotho,2014-10-28,
Passer melanurus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Cape Sparrow,,3,29.2841863632,-29.5824891956,Africa,Lesotho,LS,,Lesotho,2014-10-28,
Anthus hoeschi,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Mountain Pipit,,2,29.2599391937,-29.5741662358,Africa,Lesotho,LS,,Lesotho,2014-10-28,
Emarginata sinuata,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Sickle-winged Chat,,4,29.2700242996,-29.5719267573,Africa,Lesotho,LS,,Lesotho,2014-10-28,
Monticola explorator,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Sentinel Rock Thrush,,5,29.2700242996,-29.5719267573,Africa,Lesotho,LS,,Lesotho,2014-10-28,
