scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Chalcomitra fuliginosa,Animalia,SUNBIRDS_NECTARINIIDAE,Carmelite Sunbird,,1,-10.78319192,6.37504484,Africa,Liberia,LR,,Liberia - Monrovia,2020-04-14,
Anthreptes gabonicus,Animalia,SUNBIRDS_NECTARINIIDAE,Mangrove Sunbird,,1,-10.78319192,6.37504484,Africa,Liberia,LR,,Liberia - Monrovia,2020-04-14,
Chalcomitra fuliginosa,Animalia,SUNBIRDS_NECTARINIIDAE,Carmelite Sunbird,,1,-10.78319192,6.37504484,Africa,Liberia,LR,,Liberia - Monrovia,2020-04-14,
Halcyon senegalensis,Animalia,KINGFISHERS_ALCEDINIDAE,Woodland Kingfisher,,4,-10.78319192,6.37504484,Africa,Liberia,LR,,Liberia - Monrovia,2020-04-14,
Spilopelia senegalensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Laughing Dove,,4,-10.78319192,6.37504484,Africa,Liberia,LR,,Liberia - Monrovia,2020-04-14,
Lonchura cucullata,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Bronze Mannikin,,20,-10.78319192,6.37504484,Africa,Liberia,LR,,Liberia - Monrovia,2020-04-14,
Pternistis bicalcaratus,Animalia,FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE,Double-spurred Spurfowl,,2,-10.65110922,6.5008096,Africa,Liberia,LR,,Liberia - Mount Coffee,2020-04-14,
Motacilla aguimp,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,African Pied Wagtail,,1,-10.65110922,6.5008096,Africa,Liberia,LR,,Liberia - Mount Coffee,2020-04-14,
Streptopelia semitorquata,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Red-eyed Dove,,1,-10.78318477,6.3750484,Africa,Liberia,LR,,Liberia - Monrovia,2020-02-09,
Lamprotornis splendidus,Animalia,STARLINGS_STURNIDAE,Splendid Starling,,15,-10.78318477,6.3750484,Africa,Liberia,LR,,Liberia - Monrovia,2020-02-09,
Cinnyris venustus,Animalia,SUNBIRDS_NECTARINIIDAE,Variable Sunbird,,1,-10.78318477,6.3750484,Africa,Liberia,LR,,Liberia - Monrovia,2020-02-09,
Halcyon senegalensis,Animalia,KINGFISHERS_ALCEDINIDAE,Woodland Kingfisher,,3,-10.78318477,6.3750484,Africa,Liberia,LR,,Liberia - Monrovia,2020-02-09,
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,1,-10.78318477,6.3750484,Africa,Liberia,LR,,Liberia - Monrovia,2020-02-09,
Turdus pelios,Animalia,THRUSHES_TURDIDAE,African Thrush,,2,-10.78318477,6.3750484,Africa,Liberia,LR,,Liberia - Monrovia,2020-02-09,
Merops persicus,Animalia,BEEEATERS_MEROPIDAE,Blue-cheeked Bee-eater,,3,-10.98114968,6.55298473,Africa,Liberia,LR,,Liberia - Bomi,2020-02-09,
Crinifer piscator,Animalia,TURACOS_MUSOPHAGIDAE,Western Plantain-eater,,1,-10.78307748,6.37500984,Africa,Liberia,LR,,Liberia - Monrovia,2019-12-30,
Halcyon senegalensis,Animalia,KINGFISHERS_ALCEDINIDAE,Woodland Kingfisher,,1,-10.78307748,6.37500984,Africa,Liberia,LR,,Liberia - Monrovia,2019-12-30,
Crinifer piscator,Animalia,TURACOS_MUSOPHAGIDAE,Western Plantain-eater,,1,-10.78338861,6.37505249,Africa,Liberia,LR,,Liberia - Monrovia,2019-12-08,
Halcyon malimbica,Animalia,KINGFISHERS_ALCEDINIDAE,Blue-breasted Kingfisher,,1,-10.78338861,6.37505249,Africa,Liberia,LR,,Liberia - Monrovia,2019-12-08,
Eidolon helvum,Animalia,OLD_WORLD_FRUITEATING_BATS_PTEROPODIDAE,African Straw-coloured Fruit Bat,,100,-10.77936173,6.38825035,Africa,Liberia,LR,,Liberia - Monrovia,2019-11-10,
Milvus aegyptius,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Yellow-billed Kite,,8,-10.78318119,6.3751783,Africa,Liberia,LR,,Liberia - Monrovia,2019-10-27,
Ploceus nigricollis,Animalia,WEAVERS_PLOCEIDAE,Black-necked Weaver,,1,-10.78318119,6.3751783,Africa,Liberia,LR,,Liberia - Monrovia,2019-10-27,
Ploceus nigerrimus,Animalia,WEAVERS_PLOCEIDAE,Vieillot's Black Weaver,,40,-10.24108888,6.6392363,Africa,Liberia,LR,,Liberia - Margibi,2019-08-16,
Milvus aegyptius,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Yellow-billed Kite,,6,-10.78328133,6.37510651,Africa,Liberia,LR,,Liberia - Monrovia,2019-10-20,
Crinifer piscator,Animalia,TURACOS_MUSOPHAGIDAE,Western Plantain-eater,,1,-10.78328133,6.37510651,Africa,Liberia,LR,,Liberia - Monrovia,2019-10-20,
Halcyon senegalensis,Animalia,KINGFISHERS_ALCEDINIDAE,Woodland Kingfisher,,1,-10.78328133,6.37510651,Africa,Liberia,LR,,Liberia - Monrovia,2019-10-20,
Corvus albus,Animalia,CROWS_AND_JAYS_CORVIDAE,Pied Crow,,8,-10.78328133,6.37510651,Africa,Liberia,LR,,Liberia - Monrovia,2019-10-20,
Turdus pelios,Animalia,THRUSHES_TURDIDAE,African Thrush,,1,-10.78328133,6.37510651,Africa,Liberia,LR,,Liberia - Monrovia,2019-10-20,
Centropus senegalensis,Animalia,CUCKOOS_AND_COUCALS_CUCULIDAE,Senegal Coucal,,1,-10.78328133,6.37510651,Africa,Liberia,LR,,Liberia - Monrovia,2019-10-20,
Phaegorista agaristiodes,Animalia,EREBIDAE,,,1,-10.48736575,6.17987719,Africa,Liberia,LR,,Liberia - Margibi,2019-03-27,07:53
Eidolon helvum,Animalia,OLD_WORLD_FRUITEATING_BATS_PTEROPODIDAE,African Straw-coloured Fruit Bat,,1,-10.80403805,6.32958347,Africa,Liberia,LR,,Liberia - Montserrado,2019-03-28,
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,6,-10.56555748,6.38767032,Africa,Liberia,LR,,Liberia - Wulki Farms,2019-05-13,
Lanius humeralis,Animalia,SHRIKES_LANIIDAE,Northern Fiscal,,10,-10.56487084,6.39082633,Africa,Liberia,LR,,Liberia - Wulki Farms,2019-05-13,
Halcyon malimbica,Animalia,KINGFISHERS_ALCEDINIDAE,Blue-breasted Kingfisher,,1,-10.56601167,6.38234558,Africa,Liberia,LR,,Liberia - Wulki Farms,2019-05-06,
Tchagra senegalus,Animalia,HELMETSHRIKES_BUSHSHRIKES_MALACONOTIDAE,Black-crowned Tchagra,,1,-10.56500316,6.38853681,Africa,Liberia,LR,,Liberia - Wulki Farms,2019-05-05,
Merops albicollis,Animalia,BEEEATERS_MEROPIDAE,White-throated Bee-eater,,50,-10.56500316,6.38853681,Africa,Liberia,LR,,Liberia - Wulki Farms,2019-05-05,
Merops pusillus,Animalia,BEEEATERS_MEROPIDAE,Little Bee-eater,,3,-10.56500316,6.38853681,Africa,Liberia,LR,,Liberia - Wulki Farms,2019-05-05,
Macronyx croceus,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Yellow-throated Longclaw,,1,-10.56500316,6.38853681,Africa,Liberia,LR,,Liberia - Wulki Farms,2019-05-05,
Ardea intermedia,Animalia,HERONS_ARDEIDAE,Intermediate Egret,,1,-10.65054417,6.5079687,Africa,Liberia,LR,,Liberia - Mount Coffee,2019-05-05,
Milvus aegyptius,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Yellow-billed Kite,,5,-10.65054417,6.5079687,Africa,Liberia,LR,,Liberia - Mount Coffee,2019-05-05,
Ciconia episcopus,Animalia,STORKS_CICONIIDAE,Woolly-necked Stork,,20,-10.65054417,6.5079687,Africa,Liberia,LR,,Liberia - Mount Coffee,2019-05-05,
Crinifer piscator,Animalia,TURACOS_MUSOPHAGIDAE,Western Plantain-eater,,1,-10.56572914,6.38983689,Africa,Liberia,LR,,Liberia - Wulki Farms,2019-04-08,
Halcyon senegalensis,Animalia,KINGFISHERS_ALCEDINIDAE,Woodland Kingfisher,,1,-10.56495667,6.38847639,Africa,Liberia,LR,,Liberia - Wulki Farms,2019-04-08,
Merops albicollis,Animalia,BEEEATERS_MEROPIDAE,White-throated Bee-eater,,25,-10.56465626,6.38676617,Africa,Liberia,LR,,Liberia - Wulki Farms,2019-04-08,
Centropus senegalensis,Animalia,CUCKOOS_AND_COUCALS_CUCULIDAE,Senegal Coucal,,1,-10.56276798,6.38386176,Africa,Liberia,LR,,Liberia - Wulki Farms,2019-04-08,
Kaupifalco monogrammicus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Lizard Buzzard,,1,-10.56328297,6.38921848,Africa,Liberia,LR,,Liberia - Wulki Farms,2019-04-08,
Cecropis abyssinica,Animalia,SWALLOWS_HIRUNDINIDAE,Lesser Striped Swallow,,20,-10.56491375,6.38762768,Africa,Liberia,LR,,Liberia - Wulki Farms,2019-04-08,
Polyboroides typus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,African Harrier-Hawk,,1,-10.56190968,6.39062162,Africa,Liberia,LR,,Liberia - Wulki Farms,2019-04-08,
Butorides striata,Animalia,HERONS_ARDEIDAE,Striated Heron,,1,-10.56512833,6.38911328,Africa,Liberia,LR,,Liberia - Wulki Farms,2019-04-08,
