scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Monachus monachus,Animalia,SEALS_PHOCIDAE,Mediterranean Monk Seal,,1,23.2817983627,32.2241538107,Africa,Libya,LY,,Libya - Geziret al Elba,2012-03-25,
Danaus chrysippus,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,African Monarch,,1,14.2900627852,32.6375384867,Africa,Libya,LY,,Libya - Al Khums,2009-04-16,16:26
Passer domesticus x Passer hispaniolensis,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Hybrid House Sparrow x Spannish Sparrow,,1,12.4820137024,32.8037968844,Africa,Libya,LY,,Libya - Nuqat al Khams,2009-04-17,11:18
Motacilla flava feldegg,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Black-headed Wagtail,,1,14.2916250229,32.6350517326,Africa,Libya,LY,,Libya - Al Khums,2009-04-16,14:30
Serinus serinus,Animalia,FINCHES_FRINGILLIDAE,European Serin,,1,14.2935991287,32.6385075517,Africa,Libya,LY,,Libya - Al Khums,2009-04-16,15:33
Thalasseus bengalensis,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Lesser Crested Tern,,40,23.2832050323,32.2308427084,Africa,Libya,LY,,Libya - Geziret al Elba,1993-07-21,
Sylvia melanocephala,Animalia,OLD_WORLD_WARBLERS_SYLVIIDAE,Sardinian Warbler,,1,-14.061,28.412,Africa,Libya,LY,,Libya - Ash Shati',2020-01-14,
Phylloscopus trochilus,Animalia,LEAF_WARBLERS_AND_ALLIES_PHYLLOSCOPIDAE,Willow Warbler,,1,21.780653,32.71335535,Africa,Libya,LY,,Libya - Jabal al Akhdar,2006-03-20,
Galerida cristata arenicola,Animalia,LARKS_ALAUDIDAE,Crested Lark ssp arenicola,,1,14.28852081,29.98987018,Africa,Libya,LY,,Libya - Gharyan,2006-04-04,
Oenanthe oenanthe,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Northern Wheatear,,1,14.28852081,29.98987018,Africa,Libya,LY,,Libya - Gharyan,2006-04-04,
Oenanthe oenanthe,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Northern Wheatear,,1,14.28852081,29.98987018,Africa,Libya,LY,,Libya - Gharyan,2006-04-04,
Phoenicurus phoenicurus phoenicurus,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Common Redstart ssp phoenicurus,,1,14.28852081,29.98987018,Africa,Libya,LY,,Libya - Gharyan,2006-04-04,
Oenanthe oenanthe,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Northern Wheatear,,1,14.28852081,29.98987018,Africa,Libya,LY,,Libya - Gharyan,2006-04-04,
Phoenicurus phoenicurus phoenicurus,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Common Redstart ssp phoenicurus,,1,14.28852081,29.98987018,Africa,Libya,LY,,Libya - Gharyan,2006-04-04,
Phoenicurus phoenicurus phoenicurus,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Common Redstart ssp phoenicurus,,1,14.28852081,29.98987018,Africa,Libya,LY,,Libya - Gharyan,2006-04-04,
Phoenicurus phoenicurus phoenicurus,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Common Redstart ssp phoenicurus,,1,14.28852081,29.98987018,Africa,Libya,LY,,Libya - Gharyan,2006-04-04,
Argya fulva fulva,Animalia,Leiothrichidae,Fulvous Babbler ssp fulva,,1,13.31647396,26.69299728,Africa,Libya,LY,,Libya - Awbari,2006-04-03,
Danaus chrysippus,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,African Monarch,,1,13.92395496,25.91347862,Africa,Libya,LY,,Libya - Murzuq,2006-04-02,
Cercotrichas galactotes galactotes,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Western Rufous-tailed Scrub Robin,,1,13.92395496,25.91347862,Africa,Libya,LY,,Libya - Murzuq,2006-04-02,
Danaus chrysippus,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,African Monarch,,1,13.92395496,25.91347862,Africa,Libya,LY,,Libya - Murzuq,2006-04-02,
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,1,13.92395496,25.91347862,Africa,Libya,LY,,Libya - Murzuq,2006-04-02,
Oenanthe leucopyga leucopyga,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,White-crowned Wheatear ssp leucopyga,,1,13.92395496,25.91347862,Africa,Libya,LY,,Libya - Murzuq,2006-04-02,
Oenanthe leucopyga leucopyga,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,White-crowned Wheatear ssp leucopyga,,1,13.92395496,25.91347862,Africa,Libya,LY,,Libya - Murzuq,2006-04-02,
Oenanthe leucopyga leucopyga,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,White-crowned Wheatear ssp leucopyga,,1,13.92395496,25.91347862,Africa,Libya,LY,,Libya - Murzuq,2006-04-02,
Passer simplex saharae,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Desert Sparrow ssp saharae,,1,13.92395496,25.91347862,Africa,Libya,LY,,Libya - Murzuq,2006-04-02,
Delichon urbicum meridionale,Animalia,SWALLOWS_HIRUNDINIDAE,Common House Martin ssp meridionale,,1,18.07434079,24.5989115,Africa,Libya,LY,,Libya - Murzuq,2006-03-31,
Oenanthe oenanthe,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Northern Wheatear,,1,16.7357254,25.3020121,Africa,Libya,LY,,Libya - Murzuq,2006-03-30,
Oenanthe oenanthe,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Northern Wheatear,,1,16.7357254,25.3020121,Africa,Libya,LY,,Libya - Murzuq,2006-03-30,
Lanius senator,Animalia,SHRIKES_LANIIDAE,Woodchat Shrike,,1,14.45609093,27.00941135,Africa,Libya,LY,,Libya - Sabha,2006-03-28,
Passer simplex saharae,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Desert Sparrow ssp saharae,,1,14.45609093,27.00941135,Africa,Libya,LY,,Libya - Sabha,2006-03-28,
Lanius excubitor elegans,Animalia,SHRIKES_LANIIDAE,Desert Grey Shrike,,1,14.45609093,27.00941135,Africa,Libya,LY,,Libya - Sabha,2006-03-28,
Passer simplex saharae,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Desert Sparrow ssp saharae,,1,14.45609093,27.00941135,Africa,Libya,LY,,Libya - Sabha,2006-03-28,
Passer simplex saharae,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Desert Sparrow ssp saharae,,1,14.45609093,27.00941135,Africa,Libya,LY,,Libya - Sabha,2006-03-28,
Oenanthe leucura riggenbachi,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Black Wheatear ssp riggenbachi,,1,14.45609093,27.00941135,Africa,Libya,LY,,Libya - Sabha,2006-03-28,
Oenanthe leucopyga leucopyga,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,White-crowned Wheatear ssp leucopyga,,1,12.05909728,31.88774162,Africa,Libya,LY,,Libya - Yafran,2006-03-26,
Emberiza sahari sahari,Animalia,BUNTINGS_EMBERIZIDAE,House Bunting ssp sahari,,1,12.05909728,31.88774162,Africa,Libya,LY,,Libya - Yafran,2006-03-26,
Emberiza sahari sahari,Animalia,BUNTINGS_EMBERIZIDAE,House Bunting ssp sahari,,1,12.05909728,31.88774162,Africa,Libya,LY,,Libya - Yafran,2006-03-26,
Emberiza sahari sahari,Animalia,BUNTINGS_EMBERIZIDAE,House Bunting ssp sahari,,1,12.05909728,31.88774162,Africa,Libya,LY,,Libya - Yafran,2006-03-26,
Serinus serinus,Animalia,FINCHES_FRINGILLIDAE,European Serin,,1,21.85816526,32.82328186,Africa,Libya,LY,,Libya - Jabal al Akhdar,2006-03-22,
Fringilla coelebs harterti,Animalia,FINCHES_FRINGILLIDAE,Common Chaffinch ssp harterti,,1,21.39873504,32.61678321,Africa,Libya,LY,,Libya - Marj,2006-03-21,
Fringilla coelebs harterti,Animalia,FINCHES_FRINGILLIDAE,Common Chaffinch ssp harterti,,1,21.39873504,32.61678321,Africa,Libya,LY,,Libya - Marj,2006-03-21,
Spilopelia senegalensis phoenicophila,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Laughing Dove ssp phoenicophila,,1,21.78062438,32.71304722,Africa,Libya,LY,,Libya - Jabal al Akhdar,2006-03-20,
Motacilla alba alba,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,White Wagtail ssp alba,,1,21.78062438,32.71304722,Africa,Libya,LY,,Libya - Jabal al Akhdar,2006-03-20,
Fringilla coelebs harterti,Animalia,FINCHES_FRINGILLIDAE,Common Chaffinch ssp harterti,,1,21.78062438,32.71304722,Africa,Libya,LY,,Libya - Jabal al Akhdar,2006-03-20,
Carduelis carduelis parva,Animalia,FINCHES_FRINGILLIDAE,European Goldfinch ssp parva,,1,21.78062438,32.71304722,Africa,Libya,LY,,Libya - Jabal al Akhdar,2006-03-20,
Carduelis carduelis parva,Animalia,FINCHES_FRINGILLIDAE,European Goldfinch ssp parva,,1,21.78062438,32.71304722,Africa,Libya,LY,,Libya - Jabal al Akhdar,2006-03-20,
Cyanistes teneriffae cyrenaicae,Animalia,TITS_PARIDAE,Libyan Blue Tit,,1,21.78062438,32.71304722,Africa,Libya,LY,,Libya - Jabal al Akhdar,2006-03-20,
Falco tinnunculus tinnunculus,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Common Kestrel ssp tinnunculus,,1,21.78062438,32.71304722,Africa,Libya,LY,,Libya - Jabal al Akhdar,2006-03-20,
Motacilla flava,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Western Yellow Wagtail,,1,15.1231384,31.85710853,Africa,Libya,LY,,Libya - Sawfajjin,2006-03-19,
Anthus trivialis trivialis,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Tree Pipit ssp trivialis,,1,15.1231384,31.85710853,Africa,Libya,LY,,Libya - Sawfajjin,2006-03-19,
Phylloscopus trochilus,Animalia,LEAF_WARBLERS_AND_ALLIES_PHYLLOSCOPIDAE,Willow Warbler,,1,15.1231384,31.85710853,Africa,Libya,LY,,Libya - Sawfajjin,2006-03-19,
Motacilla alba alba,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,White Wagtail ssp alba,,1,15.1231384,31.85710853,Africa,Libya,LY,,Libya - Sawfajjin,2006-03-19,
Oenanthe oenanthe,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Northern Wheatear,,1,15.1231384,31.85710853,Africa,Libya,LY,,Libya - Sawfajjin,2006-03-19,
Galerida cristata arenicola,Animalia,LARKS_ALAUDIDAE,Crested Lark ssp arenicola,,1,15.1231384,31.85710853,Africa,Libya,LY,,Libya - Sawfajjin,2006-03-19,
Spilopelia senegalensis phoenicophila,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Laughing Dove ssp phoenicophila,,1,15.1231384,31.85710853,Africa,Libya,LY,,Libya - Sawfajjin,2006-03-19,
Passer hispaniolensis hispaniolensis,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Spanish Sparrow ssp hispaniolensis,,1,14.29038763,32.63752819,Africa,Libya,LY,,Libya - Al Khums,2006-03-18,
