scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Gonepteryx rhamni,Animalia,WHITES_PIERIDAE,Brimstone,,2,9.54,47.25,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-13,
Brenthis ino,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Lesser Marbled Fritillary,,1,9.5,47.25,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-13,
Ochlodes sylvanus,Animalia,SKIPPERS_HESPERIIDAE,Large Skipper,,6,9.54,47.25,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-13,
Phoenicurus ochruros,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Black Redstart,,1,9.52717065768,47.0868941432,Europe,Liechtenstein,LI,,Liechtenstein,2014-09-14,
Phoenicurus ochruros,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Black Redstart,,1,9.52738523472,47.0867139497,Europe,Liechtenstein,LI,,Liechtenstein,2014-09-13,
Cinclus cinclus,Animalia,DIPPERS_CINCLIDAE,White-throated Dipper,,1,9.52725648869,47.0859249861,Europe,Liechtenstein,LI,,Liechtenstein,2014-09-13,
Phoenicurus ochruros,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Black Redstart,,1,9.50662683695555,47.1640574047342,Europe,Liechtenstein,LI,,Liechtenstein,2014-09-09,09:40
Libellula depressa,Animalia,SKIMMERS_LIBELLULIDAE,Broad-bodied Chaser,,1,9.54437255859,47.2545338174,Europe,Liechtenstein,LI,,Liechtenstein,2014-07-14,
Iris sibirica,Plantae,IRIDACEAE,Siberian Iris,,1,9.54299926758,47.2572718232,Europe,Liechtenstein,LI,,Liechtenstein,2014-07-14,
Sanguisorba officinalis,Plantae,ROSACEAE,Great Burnet,,1,9.5458,47.2529,Europe,Liechtenstein,LI,,Liechtenstein,2014-07-14,14:46
Ochlodes sylvanus,Animalia,SKIPPERS_HESPERIIDAE,Large Skipper,,1,9.55321504152063,47.2521022679872,Europe,Liechtenstein,LI,,Liechtenstein,2014-06-23,09:39
Aphantopus hyperantus,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Ringlet,,1,9.55321504152063,47.2521022679872,Europe,Liechtenstein,LI,,Liechtenstein,2014-06-23,09:39
Leptidea sinapis,Animalia,WHITES_PIERIDAE,Wood White,,1,9.55362278901829,47.2526405129593,Europe,Liechtenstein,LI,,Liechtenstein,2014-06-23,09:43
Brenthis ino,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Lesser Marbled Fritillary,,1,9.5,47.25,Europe,Liechtenstein,LI,,Liechtenstein,2014-06-23,10:07
Apatura ilia,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Lesser Purple Emperor,,1,9.5,47.25,Europe,Liechtenstein,LI,,Liechtenstein,2014-06-23,10:14
Phengaris teleius,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Scarce Large Blue,,1,9.5,47.25,Europe,Liechtenstein,LI,,Liechtenstein,2014-06-23,10:57
Phengaris teleius,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Scarce Large Blue,,5,9.5,47.25,Europe,Liechtenstein,LI,,Liechtenstein,2014-06-23,11:13
Gonepteryx rhamni,Animalia,WHITES_PIERIDAE,Brimstone,,1,9.54029883101419,47.2456122640939,Europe,Liechtenstein,LI,,Liechtenstein,2014-06-23,11:33
Euthystira brachyptera,Animalia,SHORTHORNED_GRASSHOPPERS_ACRIDIDAE,Small Gold Grasshopper,,100,9.54,47.25,Europe,Liechtenstein,LI,,Liechtenstein,2004-07-02,
Chrysochraon dispar,Animalia,SHORTHORNED_GRASSHOPPERS_ACRIDIDAE,Large Golden Grasshopper,,25,9.54689115286,47.2531356322,Europe,Liechtenstein,LI,,Liechtenstein,2004-07-02,
Pseudochorthippus montanus,Animalia,SHORTHORNED_GRASSHOPPERS_ACRIDIDAE,,,25,9.54689115286,47.2531356322,Europe,Liechtenstein,LI,,Liechtenstein,2004-07-02,
Pholidoptera griseoaptera,Animalia,KATYDIDS_TETTIGONIIDAE,Dark Bush-cricket,,2,9.54689115286,47.2531356322,Europe,Liechtenstein,LI,,Liechtenstein,2004-07-02,
Decticus verrucivorus,Animalia,KATYDIDS_TETTIGONIIDAE,Wart-Biter,,25,9.5,47.25,Europe,Liechtenstein,LI,,Liechtenstein,2004-07-02,
Tettigonia cantans,Animalia,KATYDIDS_TETTIGONIIDAE,Upland Green Bush Cricket,,10,9.54689115286,47.2531356322,Europe,Liechtenstein,LI,,Liechtenstein,2004-07-02,
Roeseliana roeselii,Animalia,KATYDIDS_TETTIGONIIDAE,Roesel's Bush-cricket,,100,9.54689115286,47.2531356322,Europe,Liechtenstein,LI,,Liechtenstein,2004-07-02,
Minois dryas,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Dryad,,2,9.535856,47.268778,Europe,Liechtenstein,LI,,Liechtenstein,2013-08-01,09:36
Melanargia galathea,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Marbled White,,5,9.535896,47.269263,Europe,Liechtenstein,LI,,Liechtenstein,2013-08-01,09:41
Leptidea sinapis,Animalia,WHITES_PIERIDAE,Wood White,,2,9.536383,47.268079,Europe,Liechtenstein,LI,,Liechtenstein,2013-08-01,09:48
Phengaris teleius,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Scarce Large Blue,,10,9.5,47.25,Europe,Liechtenstein,LI,,Liechtenstein,2013-08-01,09:54
Aromia moschata,Animalia,Cerambycidae,Musk beetle,,1,9.5452811568975,47.252858903713,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-20,
Ochlodes sylvanus,Animalia,SKIPPERS_HESPERIIDAE,Large Skipper,,1,9.545571,47.252794,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-20,11:20
Leptidea sinapis,Animalia,WHITES_PIERIDAE,Wood White,,1,9.54519,47.252877,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-20,11:25
Gonepteryx rhamni,Animalia,WHITES_PIERIDAE,Brimstone,,1,9.546015,47.252682,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-20,11:45
Brenthis ino,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Lesser Marbled Fritillary,,1,9.5,47.25,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-20,11:57
Phengaris teleius,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Scarce Large Blue,,3,9.5,47.25,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-20,10:48
Ochlodes sylvanus,Animalia,SKIPPERS_HESPERIIDAE,Large Skipper,,1,9.545571,47.252794,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-20,11:20
Phengaris teleius,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Scarce Large Blue,,1,9.5,47.25,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-20,11:24
Leptidea sinapis,Animalia,WHITES_PIERIDAE,Wood White,,1,9.54519,47.252877,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-20,11:25
Gonepteryx rhamni,Animalia,WHITES_PIERIDAE,Brimstone,,1,9.546015,47.252682,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-20,11:45
Phengaris teleius,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Scarce Large Blue,,1,9.5,47.25,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-20,11:51
Brenthis ino,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Lesser Marbled Fritillary,,1,9.5,47.25,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-20,11:57
Brenthis ino,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Lesser Marbled Fritillary,,1,9.5,47.25,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-20,11:58
Gonepteryx rhamni,Animalia,WHITES_PIERIDAE,Brimstone,,1,9.546090111922204,47.25264044624371,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-20,11:56
Ochlodes sylvanus,Animalia,SKIPPERS_HESPERIIDAE,Large Skipper,,1,9.546643772955681,47.252943933931725,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-20,11:35
Leptidea sinapis,Animalia,WHITES_PIERIDAE,Wood White,,1,9.545215831151697,47.252877899473056,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-20,11:26
Phengaris teleius,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Scarce Large Blue,,1,9.5,47.25,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-20,11:25
Ochlodes sylvanus,Animalia,SKIPPERS_HESPERIIDAE,Large Skipper,,1,9.545321961842344,47.252872543180715,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-20,11:20
Phengaris teleius,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Scarce Large Blue,,2,9.5,47.25,Europe,Liechtenstein,LI,,Liechtenstein,2013-07-20,10:48
Euphorbia amygdaloides,Plantae,EUPHORBIACEAE,Wood Spurge,,1,9.5266639,47.137153,Europe,Liechtenstein,LI,,Liechtenstein - Vaduz,2019-12-29,15:08
Erebia euryale,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Large Ringlet,,1,9.61206465,47.12009442,Europe,Liechtenstein,LI,,Liechtenstein - Schaan,2019-08-18,10:47
Erebia pronoe,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Water Ringlet,,3,9.61206465,47.12009442,Europe,Liechtenstein,LI,,Liechtenstein - Schaan,2019-08-18,10:47
Erebia aethiops,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Scotch Argus,,1,9.6,47.1,Europe,Liechtenstein,LI,,Liechtenstein - Schaan,2019-08-18,11:10
Erebia pronoe,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Water Ringlet,,1,9.58753123,47.12397162,Europe,Liechtenstein,LI,,Liechtenstein - Triesenberg,2019-08-18,13:05
Speyeria aglaja,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Dark Green Fritillary,,1,9.58899035,47.12372823,Europe,Liechtenstein,LI,,Liechtenstein - Schaan,2019-08-18,12:00
Erebia manto,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Yellow-spotted Ringlet,,1,9.58180203,47.11833568,Europe,Liechtenstein,LI,,Liechtenstein - Triesenberg,2019-08-18,
Erebia pronoe,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Water Ringlet,,1,9.58165183,47.1169339,Europe,Liechtenstein,LI,,Liechtenstein - Triesenberg,2019-08-18,
Erebia tyndarus,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Swiss Brassy Ringlet,,1,9.58274617,47.11611618,Europe,Liechtenstein,LI,,Liechtenstein - Triesenberg,2019-08-18,
Argynnis paphia,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Silver-washed Fritillary,,1,9.59452686,47.10994418,Europe,Liechtenstein,LI,,Liechtenstein - Vaduz,2019-08-18,
Gentiana asclepiadea,Plantae,GENTIANACEAE,Willow Gentian,,1,9.60674314,47.11623957,Europe,Liechtenstein,LI,,Liechtenstein - Schaan,2019-08-18,
Cirsium acaule,Plantae,Asteraceae,Dwarf Thistle,,1,9.60674314,47.11623957,Europe,Liechtenstein,LI,,Liechtenstein - Schaan,2019-08-18,
Erebia pronoe,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Water Ringlet,,1,9.59129448,47.13062579,Europe,Liechtenstein,LI,,Liechtenstein - Schaan,2019-08-18,13:55
Erebia montana,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Marbled Ringlet,,1,9.59641514,47.12625897,Europe,Liechtenstein,LI,,Liechtenstein - Schaan,2019-08-18,12:05
Erebia tyndarus,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Swiss Brassy Ringlet,,2,9.59296732,47.13063542,Europe,Liechtenstein,LI,,Liechtenstein - Vaduz,2019-08-18,13:42
Erebia tyndarus,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Swiss Brassy Ringlet,,5,9.59545641,47.12711216,Europe,Liechtenstein,LI,,Liechtenstein - Schaan,2019-08-18,13:06
