scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Pyrrhula pyrrhula,Animalia,FINCHES_FRINGILLIDAE,Eurasian Bullfinch,,1,5.83488035,49.99718124,Europe,Luxembourg,LU,,Luxembourg - Clervaux,2015-03-14,13:15
Pyrrhula pyrrhula,Animalia,FINCHES_FRINGILLIDAE,Eurasian Bullfinch,,1,6.22259728833291,49.6515235981932,Europe,Luxembourg,LU,,Luxembourg - Luxembourg,2015-03-10,14:40
Buteo buteo,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Common Buzzard,,1,6.22261653197199,49.6514631450537,Europe,Luxembourg,LU,,Luxembourg - Luxembourg,2015-03-10,15:00
Agabus bipustulatus,Animalia,DYTISCIDAE,,,1,6.00732672,49.9795049,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-03-08,13:42
Sitta europaea,Animalia,NUTHATCHES_SITTIDAE,Eurasian Nuthatch,,1,6.10833939049009,49.5712891840115,Europe,Luxembourg,LU,,Luxembourg - Luxembourg (ville),2015-03-06,12:21
Corvus frugilegus,Animalia,CROWS_AND_JAYS_CORVIDAE,Rook,,5,6.10911214555423,49.5824452548863,Europe,Luxembourg,LU,,Luxembourg - Luxembourg (ville),2015-03-06,12:59
Buteo buteo,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Common Buzzard,,1,6.09758952896538,49.579438063593,Europe,Luxembourg,LU,,Luxembourg - Luxembourg (ville),2015-03-06,13:29
Dendrocopos major,Animalia,WOODPECKERS_PICIDAE,Great Spotted Woodpecker,,1,6.10023918334389,49.5662558260086,Europe,Luxembourg,LU,,Luxembourg - Esch-sur-Alzette,2015-03-06,14:42
Phalacrocorax carbo,Animalia,CORMORANTS_PHALACROCORACIDAE,Great Cormorant,,4,6.10173826760953,49.5648166204585,Europe,Luxembourg,LU,,Luxembourg - Esch-sur-Alzette,2015-03-06,15:11
Poecile palustris,Animalia,TITS_PARIDAE,Marsh Tit,,1,6.10160830572452,49.5647242924794,Europe,Luxembourg,LU,,Luxembourg - Esch-sur-Alzette,2015-03-06,15:15
Erithacus rubecula,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,European Robin,,1,6.10567883386429,49.5676803788247,Europe,Luxembourg,LU,,Luxembourg - Luxembourg (ville),2015-03-06,15:26
Sturnus vulgaris,Animalia,STARLINGS_STURNIDAE,Common Starling,,6,6.10693233666076,49.5677159934084,Europe,Luxembourg,LU,,Luxembourg - Luxembourg (ville),2015-03-06,15:28
Anthocharis cardamines,Animalia,WHITES_PIERIDAE,Orange-tip,,1,5.9862332046,50.1240996128,Europe,Luxembourg,LU,,Luxembourg - Clervaux,2005-05-28,
Anthocharis cardamines,Animalia,WHITES_PIERIDAE,Orange-tip,,1,5.9862332046,50.1240996128,Europe,Luxembourg,LU,,Luxembourg - Clervaux,2005-05-28,
Sitta europaea,Animalia,NUTHATCHES_SITTIDAE,Eurasian Nuthatch,,1,6.11023842,49.5715724,Europe,Luxembourg,LU,,Luxembourg - Luxembourg (ville),2015-03-06,12:27
Corvus frugilegus,Animalia,CROWS_AND_JAYS_CORVIDAE,Rook,,5,6.10903911,49.58246757,Europe,Luxembourg,LU,,Luxembourg - Luxembourg (ville),2015-03-06,12:59
Dendrocopos major,Animalia,WOODPECKERS_PICIDAE,Great Spotted Woodpecker,,1,6.09996209,49.56635229,Europe,Luxembourg,LU,,Luxembourg - Esch-sur-Alzette,2015-03-06,14:42
Phalacrocorax carbo,Animalia,CORMORANTS_PHALACROCORACIDAE,Great Cormorant,,4,6.10196487,49.56449515,Europe,Luxembourg,LU,,Luxembourg - Esch-sur-Alzette,2015-03-06,15:12
Poecile palustris,Animalia,TITS_PARIDAE,Marsh Tit,,1,6.10198041,49.56453603,Europe,Luxembourg,LU,,Luxembourg - Esch-sur-Alzette,2015-03-06,15:15
Erithacus rubecula,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,European Robin,,1,6.10607642,49.5674278,Europe,Luxembourg,LU,,Luxembourg - Luxembourg (ville),2015-03-06,15:25
Sturnus vulgaris,Animalia,STARLINGS_STURNIDAE,Common Starling,,6,6.10604741,49.56745866,Europe,Luxembourg,LU,,Luxembourg - Luxembourg (ville),2015-03-06,15:28
Pyrrhula pyrrhula,Animalia,FINCHES_FRINGILLIDAE,Eurasian Bullfinch,,1,5.99381553,49.99777733,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-03-08,09:23
Parus major,Animalia,TITS_PARIDAE,Great Tit,,2,5.99381147,49.99776683,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-03-08,09:24
Cyanistes caeruleus,Animalia,TITS_PARIDAE,Eurasian Blue Tit,,3,5.99381158,49.99776959,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-03-08,09:24
Periparus ater,Animalia,TITS_PARIDAE,Coal Tit,,1,5.99381065,49.9977682,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-03-08,09:24
Callophrys rubi,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Green Hairstreak,,1,5.98610445857,50.1239620417,Europe,Luxembourg,LU,,Luxembourg - Clervaux,2005-05-27,
Pyrgus malvae,Animalia,SKIPPERS_HESPERIIDAE,Grizzled Skipper,,1,6.0,50.1,Europe,Luxembourg,LU,,Luxembourg - Clervaux,2005-05-28,
Celastrina argiolus,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Holly Blue,,1,6.19136989117,49.7824815842,Europe,Luxembourg,LU,,Luxembourg - Mersch,2006-06-08,
Polyommatus icarus,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Common Blue,,2,5.98653361201,50.1243747538,Europe,Luxembourg,LU,,Luxembourg - Clervaux,2005-05-28,
Fringilla coelebs,Animalia,FINCHES_FRINGILLIDAE,Common Chaffinch,,1,6.30686915,49.79062314,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,10:40
Turdus merula,Animalia,THRUSHES_TURDIDAE,Common Blackbird,,1,6.30686791,49.7906247,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,10:40
Parus major,Animalia,TITS_PARIDAE,Great Tit,,2,6.30683345,49.79064475,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,10:43
Passer domesticus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,,1,6.30682374,49.79066175,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,10:43
Fringilla coelebs,Animalia,FINCHES_FRINGILLIDAE,Common Chaffinch,,1,6.30558066,49.79019734,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,11:04
Passer domesticus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,,2,6.30529367,49.78993662,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,11:05
Anas platyrhynchos forma domestica,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Domestic Duck,,1,6.30453225,49.78923125,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,11:06
Anas platyrhynchos,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Mallard,,2,6.30439131,49.78919071,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,11:07
Parus major,Animalia,TITS_PARIDAE,Great Tit,,10,6.30285127,49.78918743,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,11:09
Sitta europaea,Animalia,NUTHATCHES_SITTIDAE,Eurasian Nuthatch,,1,6.30149722,49.78782412,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,11:20
Parus major,Animalia,TITS_PARIDAE,Great Tit,,1,6.30005744,49.78636113,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,11:23
Buteo buteo,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Common Buzzard,,1,6.29978896,49.78622117,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,11:24
Asplenium trichomanes,Plantae,ASPLENIACEAE,Maidenhair Spleenwort,,1,6.29944011,49.78551058,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,11:26
Sitta europaea,Animalia,NUTHATCHES_SITTIDAE,Eurasian Nuthatch,,1,6.30010974,49.78497257,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,12:51
Parus major,Animalia,TITS_PARIDAE,Great Tit,,1,6.30010877,49.78495902,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,12:51
Asplenium trichomanes,Plantae,ASPLENIACEAE,Maidenhair Spleenwort,,1,6.30010405,49.78495674,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,12:52
Polypodium spec.,Plantae,POLYPODIACEAE,,,1,6.30010334,49.78497675,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,12:52
Carabus auronitens,Animalia,Carabidae,,,2,6.30212751,49.78485823,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,13:03
Parus major,Animalia,TITS_PARIDAE,Great Tit,,1,6.30156783,49.78306731,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,13:14
Parus major,Animalia,TITS_PARIDAE,Great Tit,,1,6.30228115,49.78354576,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,13:19
Sitta europaea,Animalia,NUTHATCHES_SITTIDAE,Eurasian Nuthatch,,1,6.30243634,49.78406393,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,13:20
Galium odoratum,Plantae,RUBIACEAE,Woodruff,,1,6.30103634,49.78469148,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,13:26
Sambucus nigra,Plantae,ADOXACEAE,Elder,,1,6.30159361,49.78823551,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,13:43
Fagus sylvatica,Plantae,FAGACEAE,European Beech,,1,6.30159285,49.78823452,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,13:43
Polypodium spec.,Plantae,POLYPODIACEAE,,,1,6.30158915,49.78823097,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,13:44
Dendrocopos major,Animalia,WOODPECKERS_PICIDAE,Great Spotted Woodpecker,,1,6.30137021,49.78957374,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,14:04
Motacilla cinerea,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Grey Wagtail,,1,6.3033566,49.78909482,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,14:15
Corvus corone,Animalia,CROWS_AND_JAYS_CORVIDAE,Carrion Crow,,3,6.30489385,49.78945252,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,14:17
Chloris chloris,Animalia,FINCHES_FRINGILLIDAE,European Greenfinch,,1,6.3053395,49.7900049,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,14:19
Parus major,Animalia,TITS_PARIDAE,Great Tit,,1,6.30662496,49.79079838,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,14:21
Viscum album,Plantae,SANTALACEAE,Mistletoe,,1,6.31165609,49.79263336,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,14:25
Fagus sylvatica,Plantae,FAGACEAE,European Beech,,1,6.31326393,49.79783371,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,14:25
Cytisus scoparius,Plantae,Fabaceae,Broom,,1,6.31598022,49.80276299,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,14:26
Cytisus scoparius,Plantae,Fabaceae,Broom,,1,6.31834862,49.80586988,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,14:26
Sambucus nigra,Plantae,ADOXACEAE,Elder,,1,6.32076034,49.80759582,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,14:26
Fagus sylvatica,Plantae,FAGACEAE,European Beech,,1,6.32506921,49.81214065,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,14:27
Turdus merula,Animalia,THRUSHES_TURDIDAE,Common Blackbird,,1,6.32557999,49.81805803,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,14:28
Fagus sylvatica,Plantae,FAGACEAE,European Beech,,1,6.32593064,49.82507399,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,14:28
Viscum album,Plantae,SANTALACEAE,Mistletoe,,1,6.3298121,49.83209348,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,14:29
Asplenium scolopendrium,Plantae,ASPLENIACEAE,Hart's-tongue Fern,,1,6.32990638,49.83585955,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,14:30
Viscum album,Plantae,SANTALACEAE,Mistletoe,,1,6.33122924,49.83612643,Europe,Luxembourg,LU,,Luxembourg - Müllerthal,2015-02-19,14:30
Asplenium trichomanes,Plantae,ASPLENIACEAE,Maidenhair Spleenwort,,1,6.35812351,49.85015342,Europe,Luxembourg,LU,,Luxembourg - Echternach,2015-02-19,14:32
Viscum album,Plantae,SANTALACEAE,Mistletoe,,1,6.39623022,49.82476945,Europe,Luxembourg,LU,,Luxembourg,2015-02-19,14:37
Alopochen aegyptiaca,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Egyptian Goose,,2,6.3984885,49.82274965,Europe,Luxembourg,LU,,Luxembourg,2015-02-19,14:37
Viscum album,Plantae,SANTALACEAE,Mistletoe,,1,6.40238655,49.82079827,Europe,Luxembourg,LU,,Luxembourg,2015-02-19,14:37
Viscum album,Plantae,SANTALACEAE,Mistletoe,,1,6.41335118,49.81789865,Europe,Luxembourg,LU,,Luxembourg,2015-02-19,14:38
Viscum album,Plantae,SANTALACEAE,Mistletoe,,1,6.4258536,49.81265202,Europe,Luxembourg,LU,,Luxembourg - Echternach,2015-02-19,14:39
Viscum album,Plantae,SANTALACEAE,Mistletoe,,1,6.43014993,49.80990865,Europe,Luxembourg,LU,,Luxembourg - Echternach,2015-02-19,14:40
Viscum album,Plantae,SANTALACEAE,Mistletoe,,1,6.43140718,49.81007174,Europe,Luxembourg,LU,,Luxembourg - Echternach,2015-02-19,14:40
Viscum album,Plantae,SANTALACEAE,Mistletoe,,1,6.43534572,49.81173632,Europe,Luxembourg,LU,,Luxembourg - Echternach,2015-02-19,14:41
Viscum album,Plantae,SANTALACEAE,Mistletoe,,1,6.43759257,49.81146815,Europe,Luxembourg,LU,,Luxembourg - Echternach,2015-02-19,14:41
Emberiza citrinella,Animalia,BUNTINGS_EMBERIZIDAE,Yellowhammer,,1,5.8406,49.8994,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-02-17,09:54
Parus major,Animalia,TITS_PARIDAE,Great Tit,,4,5.99381245,49.99796003,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-01-31,15:59
Cyanistes caeruleus,Animalia,TITS_PARIDAE,Eurasian Blue Tit,,7,5.99381245,49.99796003,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-01-31,15:59
Poecile palustris,Animalia,TITS_PARIDAE,Marsh Tit,,3,5.99382638,49.99789734,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-01-31,15:59
Periparus ater,Animalia,TITS_PARIDAE,Coal Tit,,2,5.99382714,49.99789604,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-01-31,16:00
Viburnum opulus,Plantae,ADOXACEAE,Guelder-rose,,1,6.01530833333,49.9815138889,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-01-25,14:21
Pyrrhula pyrrhula,Animalia,FINCHES_FRINGILLIDAE,Eurasian Bullfinch,,1,6.01685,49.9693722222,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-01-25,13:31
Poecile palustris,Animalia,TITS_PARIDAE,Marsh Tit,,1,6.01876944444,49.9658,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-01-25,13:17
Cardamine hirsuta,Plantae,Brassicaceae,Hairy Bitter-cress,,1,6.02248611111,49.9545861111,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-01-25,12:33
Rumex acetosella,Plantae,POLYGONACEAE,Sheep's Sorrel,,1,6.02227222222,49.9545222222,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-01-25,12:33
Sedum rupestre,Plantae,CRASSULACEAE,Reflexed Stonecrop,,1,6.01866666667,49.9518222222,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-01-25,12:21
Papaver spec.,Plantae,PAPAVERACEAE,,,1,6.01855833333,49.9519277778,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-01-25,12:21
Sedum album,Plantae,CRASSULACEAE,White Stonecrop,,1,6.01786388889,49.951975,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-01-25,12:20
Polystichum aculeatum,Plantae,DRYOPTERIDACEAE,Hard Shield-fern,,1,6.01511944444,49.9537055556,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-01-25,12:13
Sedum rupestre,Plantae,CRASSULACEAE,Reflexed Stonecrop,,1,6.014575,49.9555611111,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-01-25,12:09
Silene viscaria,Plantae,CARYOPHYLLACEAE,Sticky Catchfly,,1,6.014575,49.9555611111,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-01-25,12:08
Fragaria vesca,Plantae,ROSACEAE,Wild Strawberry,,1,6.014575,49.9555611111,Europe,Luxembourg,LU,,Luxembourg - Wiltz,2015-01-25,12:08
