scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Parus minor,Animalia,TITS_PARIDAE,Japanese Tit,,1,113.550979614258,22.1977481842041,Asia,Macau,MO,,Macau,2019-12-15,12:01
Phylloscopus inornatus,Animalia,LEAF_WARBLERS_AND_ALLIES_PHYLLOSCOPIDAE,Yellow-browed Warbler,,1,113.54712677002,22.2081260681152,Asia,Macau,MO,,Macau,2019-12-13,16:12
Passer montanus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Eurasian Tree Sparrow,,18,113.540000915527,22.1999015808105,Asia,Macau,MO,,Macau,2019-12-01,13:34
Zosterops japonicus,Animalia,WHITEEYES_ZOSTEROPIDAE,Warbling White-eye,,4,113.539939880371,22.1998958587646,Asia,Macau,MO,,Macau,2019-12-01,13:34
Phoenicurus auroreus,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Daurian Redstart,,1,113.552452087402,22.1979236602783,Asia,Macau,MO,,Macau,2019-11-29,15:33
Spilopelia chinensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Spotted Dove,,3,113.549827575684,22.1970310211182,Asia,Macau,MO,,Macau,2019-11-29,15:40
Passer montanus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Eurasian Tree Sparrow,,15,113.550971984863,22.1994571685791,Asia,Macau,MO,,Macau,2019-11-29,16:48
Callosciurus erythraeus,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Pallas's Squirrel,,1,113.55186939,22.19767547,Asia,Macau,MO,,Macau,2018-12-06,
Spodiopsar cineraceus,Animalia,STARLINGS_STURNIDAE,White-cheeked Starling,,1,113.54065061,22.1977056,Asia,Macau,MO,,Macau,2018-11-27,
Callosciurus erythraeus,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Pallas's Squirrel,,1,113.55074298,22.19795478,Asia,Macau,MO,,Macau,2018-12-07,
Copsychus saularis,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Oriental Magpie-Robin,,1,113.550605773926,22.1972732543945,Asia,Macau,MO,,Macau,2018-12-07,11:47
Parus minor,Animalia,TITS_PARIDAE,Japanese Tit,,1,113.550704956055,22.1973190307617,Asia,Macau,MO,,Macau,2018-12-07,11:47
Passer montanus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Eurasian Tree Sparrow,,1,113.550811767578,22.1974239349365,Asia,Macau,MO,,Macau,2018-12-07,11:48
Spilopelia chinensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Spotted Dove,,1,113.550895690918,22.1974258422852,Asia,Macau,MO,,Macau,2018-12-07,11:50
Pycnonotus sinensis,Animalia,BULBULS_PYCNONOTIDAE,Light-vented Bulbul,,1,113.550918579102,22.1974353790283,Asia,Macau,MO,,Macau,2018-12-07,11:51
Pycnonotus aurigaster,Animalia,BULBULS_PYCNONOTIDAE,Sooty-headed Bulbul,,1,113.548179626465,22.2079334259033,Asia,Macau,MO,,Macau,2018-12-07,14:17
Urocissa erythroryncha,Animalia,CROWS_AND_JAYS_CORVIDAE,Red-billed Blue Magpie,,1,113.547706604004,22.2084045410156,Asia,Macau,MO,,Macau,2018-12-07,14:37
Aethopyga christinae,Animalia,SUNBIRDS_NECTARINIIDAE,Fork-tailed Sunbird,,1,113.53968621,22.19988629,Asia,Macau,MO,,Macau,2018-12-06,
Gracula religiosa,Animalia,STARLINGS_STURNIDAE,Common Hill Myna,,1,113.539886474609,22.2012100219727,Asia,Macau,MO,,Macau,2018-12-06,15:07
Pycnonotus jocosus jocosus,Animalia,BULBULS_PYCNONOTIDAE,Red-whiskered Bulbul ssp jocosus,,1,113.539878845215,22.2012271881103,Asia,Macau,MO,,Macau,2018-12-06,15:07
Passer montanus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Eurasian Tree Sparrow,,1,113.5390625,22.201057434082,Asia,Macau,MO,,Macau,2018-12-06,15:26
Pycnonotus sinensis,Animalia,BULBULS_PYCNONOTIDAE,Light-vented Bulbul,,1,113.542449951172,22.1967124938965,Asia,Macau,MO,,Macau,2018-12-06,16:47
Phylloscopus inornatus,Animalia,LEAF_WARBLERS_AND_ALLIES_PHYLLOSCOPIDAE,Yellow-browed Warbler,,1,113.541931152344,22.1964473724365,Asia,Macau,MO,,Macau,2018-12-06,16:50
Copsychus saularis,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Oriental Magpie-Robin,,1,113.547760009766,22.2007846832275,Asia,Macau,MO,,Macau,2018-11-27,13:57
Spilopelia chinensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Spotted Dove,,1,113.547721862793,22.2006797790527,Asia,Macau,MO,,Macau,2018-11-27,13:57
Alcedo atthis,Animalia,KINGFISHERS_ALCEDINIDAE,Common Kingfisher,,1,113.548515319824,22.2008743286133,Asia,Macau,MO,,Macau,2018-11-27,14:12
Zosterops japonicus,Animalia,WHITEEYES_ZOSTEROPIDAE,Warbling White-eye,,1,113.55083987,22.19777551,Asia,Macau,MO,,Macau,2018-11-27,
