scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Elminia albonotata,Animalia,Stenostiridae,White-tailed Crested Flycatcher,,1,35.541883770973186,-15.9010129752,Africa,Malawi,MW,,Malawi - Mulanje,1989-08-15,
Galago moholi,Animalia,GALAGOS_GALAGIDAE,Southern Lesser Galago,,1,34.87330919567367,-14.056884999999937,Africa,Malawi,MW,,Malawi - Lake Malawi NP,1989-08-11,
Haliaeetus vocifer,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,African Fish Eagle,,1,34.6282786131,-13.7127062585,Africa,Malawi,MW,,Malawi - Salima,2010-04-16,
Motacilla aguimp,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,African Pied Wagtail,,1,34.6282786131,-13.7127062585,Africa,Malawi,MW,,Malawi - Salima,2010-04-16,
Precis octavia,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Gaudy commodore,,1,35.2916633333,-15.3613833333,Africa,Malawi,MW,,Malawi - Zomba,1998-01-01,
Anastomus lamelligerus,Animalia,STORKS_CICONIIDAE,African Openbill,,6,34.0162015334,-9.49553104118,Africa,Malawi,MW,,Malawi - Karonga,2014-08-30,16:49
Laniarius major,Animalia,HELMETSHRIKES_BUSHSHRIKES_MALACONOTIDAE,Tropical Boubou,,1,34.0173073578626,-9.49904456734657,Africa,Malawi,MW,,Malawi - Karonga,2014-08-30,17:25
Baliochila hildegarda,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,,,1,35.5491292477,-15.9359107857,Africa,Malawi,MW,,Malawi - Mulanje,2013-12-16,
Gloriosa superba,Plantae,COLCHICACEAE,Flame lily,,1,35.542203784,-15.9402024124,Africa,Malawi,MW,,Malawi - Mulanje,2013-12-20,
Borassus aethiopum,Plantae,Arecaceae,Palmyra palm,,1,35.2546709776,-15.0228882946,Africa,Malawi,MW,,Malawi - Liwonde NP,2013-12-14,
Dryoscopus cubla,Animalia,HELMETSHRIKES_BUSHSHRIKES_MALACONOTIDAE,Black-backed Puffback,,2,33.6415395141,-11.1392451472,Africa,Malawi,MW,,Malawi - Rumphi,2013-12-23,
Iduna natalensis,Animalia,Acrocephalidae,African Yellow Warbler,,1,35.5430620909,-15.9641347998,Africa,Malawi,MW,,Malawi - Mulanje,2013-12-18,
Bradypterus cinnamomeus,Animalia,Locustellidae,Cinnamon Bracken Warbler,,1,35.5555933714,-15.9525815902,Africa,Malawi,MW,,Malawi - Mulanje,2013-12-18,
Accipiter badius,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Shikra,,1,33.6415395141,-11.1392451472,Africa,Malawi,MW,,Malawi - Rumphi,2013-12-23,
Falco subbuteo,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Eurasian Hobby,,1,33.6415395141,-11.1392451472,Africa,Malawi,MW,,Malawi - Rumphi,2013-12-23,
Aves indet.,Animalia,unknown,Unidentified bird,,1,33.6415395141,-11.1392451472,Africa,Malawi,MW,,Malawi - Rumphi,2013-12-23,
Sclerophrys gutturalis,Animalia,Bufonidae,Guttural Toad,,1,35.5422627926,-15.9623193396,Africa,Malawi,MW,,Malawi - Mulanje,2013-12-17,
Chiromantis xerampelina,Animalia,Rhacophoridae,Grey Foam-nest Treefrog,,1,35.2518090606,-15.0354882967,Africa,Malawi,MW,,Malawi - Machinga,2013-12-14,
Sclerophrys gutturalis,Animalia,Bufonidae,Guttural Toad,,1,35.5368876457,-15.9415228944,Africa,Malawi,MW,,Malawi - Mulanje,2013-12-20,
Ispidina picta,Animalia,KINGFISHERS_ALCEDINIDAE,African Pygmy Kingfisher,,1,34.1780502163,-11.9177754432,Africa,Malawi,MW,,Malawi - Nkhata Bay,2013-12-25,
Platysteira peltata,Animalia,WATTLEEYES_BATISES_PLATYSTEIRIDAE,Black-throated Wattle-eye,,3,34.1780502163,-11.9177754432,Africa,Malawi,MW,,Malawi - Nkhata Bay,2013-12-25,
Cercotrichas barbata,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Miombo Scrub Robin,,1,33.6434572935,-11.1484242943,Africa,Malawi,MW,,Malawi - Mzimba,2013-12-24,
Pernis apivorus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,European Honey Buzzard,,1,33.6434572935,-11.1484242943,Africa,Malawi,MW,,Malawi - Mzimba,2013-12-23,
Falco subbuteo,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Eurasian Hobby,,10,33.6443156004,-11.1455611052,Africa,Malawi,MW,,Malawi - Rumphi,2013-12-23,
Hieraaetus wahlbergi,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Wahlberg's Eagle,,1,33.57682289550067,-11.849425999999966,Africa,Malawi,MW,,Malawi - Mzimba,2013-12-22,
Varanus niloticus,Animalia,Varanidae,Nile Monitor,,1,34.8326110835,-13.9901079696,Africa,Malawi,MW,,Malawi - Mangochi,2013-12-12,
Galagoides granti,Animalia,GALAGOS_GALAGIDAE,Mozambique Dwarf Galago,,1,35.5300158262,-15.9395421681,Africa,Malawi,MW,,Malawi - Mulanje,2013-12-20,
Cercopithecus mitis erythrarchus,Animalia,OLD_WORLD_MONKEYS_CERCOPITHECIDAE,Stairs's White-collared Monkey,,2,35.5409717542,-15.9468212422,Africa,Malawi,MW,,Malawi - Mulanje,2013-12-17,
Tauraco porphyreolophus,Animalia,TURACOS_MUSOPHAGIDAE,Purple-crested Turaco,,1,35.0043869016,-15.7793710311,Africa,Malawi,MW,,Malawi - Blantyre,2013-12-21,
Ploceus xanthops,Animalia,WEAVERS_PLOCEIDAE,Holub's Golden Weaver,,1,35.0043869,-15.77937103,Africa,Malawi,MW,,Malawi - Blantyre,2013-12-21,
Urocolius indicus,Animalia,MOUSEBIRDS_COLIIDAE,Red-faced Mousebird,,6,35.0043869016,-15.7793710311,Africa,Malawi,MW,,Malawi - Blantyre,2013-12-21,
