scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Amphiprion clarkii,Animalia,POMACENTRIDAE_DAMSELFISHES,Yellowtail clownfish,,10,73.4661501646,5.54696075847,Asia,Maldives,MV,,Indian Ocean - Maldives,2014-05-13,
Charadrius leschenaultii,Animalia,PLOVERS_CHARADRIIDAE,Greater Sand Plover,,10,73.4659785032,5.54747333087,Asia,Maldives,MV,,Indian Ocean - Maldives,2014-05-13,
Chelonia mydas,Animalia,Cheloniidae,Green Turtle,,25,73.4659785032,5.54747333087,Asia,Maldives,MV,,Indian Ocean - Maldives,2014-05-13,
Balistoides viridescens,Animalia,TRIGGERFISHES_BALISTIDAE,Titan triggerfish,,7,73.4659785032,5.54747333087,Asia,Maldives,MV,,Indian Ocean - Maldives,2014-05-13,
Aetobatus narinari,Animalia,EAGLE_AND_MANTA_RAYS,Spotted eagle ray,,1,73.4659785032,5.54747333087,Asia,Maldives,MV,,Indian Ocean - Maldives,2014-05-13,
Stenella longirostris,Animalia,DOLPHINS_DELPHINIDAE,Spinner Dolphin,,250,73.4658068419,5.54730247345,Asia,Maldives,MV,,Indian Ocean - Maldives,2014-05-13,
Corvus splendens maledivicus,Animalia,CROWS_AND_JAYS_CORVIDAE,House Crow ssp maledivicus,,7,73.4658068419,5.54730247345,Asia,Maldives,MV,,Indian Ocean - Maldives,2014-05-13,
Ardeola grayii,Animalia,HERONS_ARDEIDAE,Indian Pond Heron,,7,73.4658068419,5.54730247345,Asia,Maldives,MV,,Indian Ocean - Maldives,2014-05-13,
Phaethon lepturus,Animalia,TROPICBIRDS_PHAETHONTIDAE,White-tailed Tropicbird,,15,73.4658068419,5.54730247345,Asia,Maldives,MV,,Indian Ocean - Maldives,2014-05-13,
Pteropus giganteus,Animalia,OLD_WORLD_FRUITEATING_BATS_PTEROPODIDAE,Indian Flying Fox,,25,73.4658068419,5.54730247345,Asia,Maldives,MV,,Indian Ocean - Maldives,2014-05-13,
Chaetodon lunulatus,Animalia,Butterflyfishes,Redfin Butterflyfish,,1,73.5374486446,4.21254637841,Asia,Maldives,MV,,Indian Ocean - Maldives,2013-09-19,
Pygoplites diacanthus,Animalia,Angelfishes,Regal angelfish,,1,73.5374486446,4.21254637841,Asia,Maldives,MV,,Indian Ocean - Maldives,2013-09-19,
Balistoides viridescens,Animalia,TRIGGERFISHES_BALISTIDAE,Titan triggerfish,,1,73.5374486446,4.21254637841,Asia,Maldives,MV,,Indian Ocean - Maldives,2013-09-19,
Forcipiger flavissimus,Animalia,Butterflyfishes,Longnose Butterflyfish,,1,73.5374486446,4.21254637841,Asia,Maldives,MV,,Indian Ocean - Maldives,2013-09-19,
Zanclus cornutus,Animalia,Zanclidae,Moorish idol,,1,73.5374486446,4.21254637841,Asia,Maldives,MV,,Indian Ocean - Maldives,2013-09-19,
Sula dactylatra melanops,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Masked Booby ssp melanops,,1,73.5374486446,4.21254637841,Asia,Maldives,MV,,Indian Ocean - Maldives,2013-09-19,
Pteropus giganteus,Animalia,OLD_WORLD_FRUITEATING_BATS_PTEROPODIDAE,Indian Flying Fox,,1,73.5374486446,4.21254637841,Asia,Maldives,MV,,Indian Ocean - Maldives,2013-09-19,
Onychoprion anaethetus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Bridled Tern,,7,72.812232971191,4.1964108356609,Asia,Maldives,MV,,Indian Ocean - Maldives,2011-04-12,
Amaurornis phoenicurus,Animalia,RAILS_RALLIDAE,White-breasted Waterhen,,3,72.817575931549,4.1950840255156,Asia,Maldives,MV,,Indian Ocean - Maldives,2011-04-11,
Diplacodes trivialis,Animalia,SKIMMERS_LIBELLULIDAE,Chalky Percher,,1,73.7024688721,4.43370170977,Asia,Maldives,MV,,Maldives,1983-01-09,
Butorides striata albolimbata,Animalia,HERONS_ARDEIDAE,Striated Heron ssp albolimbata,,1,73.44726574,4.66110992,Asia,Maldives,MV,,Maldives,2004-02-20,
Bubulcus coromandus,Animalia,HERONS_ARDEIDAE,Eastern Cattle Egret,,1,73.25178478,3.37481931,Asia,Maldives,MV,,Maldives,1995-06-22,
Puffinus bailloni,Animalia,PETRELS_AND_SHEARWATERS_PROCELLARIIDAE,Tropical Shearwater,,1,73.2517847777,3.37481931427,Asia,Maldives,MV,,Maldives,1995-06-22,
Delphinus capensis,Animalia,DOLPHINS_DELPHINIDAE,Long-beaked Common Dolphin,,1,73.2517847777,3.37481931427,Asia,Maldives,MV,,Maldives,1994-06-24,
Chelonia mydas,Animalia,Cheloniidae,Green Turtle,,1,73.251784777683,3.3748193142668,Asia,Maldives,MV,,Maldives,1994-06-24,
Actitis hypoleucos,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Common Sandpiper,,1,72.95533678501188,3.6103112529996877,Asia,Maldives,MV,,Indian Ocean - Maldives,2018-12-21,16:46
Corvus splendens,Animalia,CROWS_AND_JAYS_CORVIDAE,House Crow,,2,72.95082808,3.59976461,Asia,Maldives,MV,,Indian Ocean - Maldives,2018-04-21,07:34
Columba livia domestica,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Feral Pigeon,,1,72.928936666667,3.53421,Asia,Maldives,MV,,Indian Ocean - Maldives,2018-04-27,07:01
Butorides striata,Animalia,HERONS_ARDEIDAE,Striated Heron,,1,72.929281666667,3.533595,Asia,Maldives,MV,,Indian Ocean - Maldives,2018-04-27,06:43
Ardea cinerea,Animalia,HERONS_ARDEIDAE,Grey Heron,,1,72.911996666667,3.5113333333333,Asia,Maldives,MV,,Indian Ocean - Maldives,2018-05-01,09:35
Amaurornis phoenicurus,Animalia,RAILS_RALLIDAE,White-breasted Waterhen,,1,72.928948333333,3.5342033333333,Asia,Maldives,MV,,Indian Ocean - Maldives,2018-04-27,06:59
Butorides striata,Animalia,HERONS_ARDEIDAE,Striated Heron,,1,72.926065,3.53193667,Asia,Maldives,MV,,Indian Ocean - Maldives,2018-04-08,11:51
Numenius phaeopus,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Eurasian Whimbrel,,1,72.912166666667,3.5110183333333,Asia,Maldives,MV,,Indian Ocean - Maldives,2018-04-17,16:26
Actitis hypoleucos,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Common Sandpiper,,1,72.926461666667,3.5329616666667,Asia,Maldives,MV,,Indian Ocean - Maldives,2018-04-10,08:08
Acanthurus leucosternon,Animalia,SURGEONFISHES_TANGS_AND_UNICORNFISHES,Powderblue surgeonfish,,1,73.35925523,3.90211421,Asia,Maldives,MV,,Indian Ocean - Maldives,2016-06-14,
Zanclus cornutus,Animalia,Zanclidae,Moorish idol,,1,73.35925523,3.90211421,Asia,Maldives,MV,,Indian Ocean - Maldives,2016-06-14,
Chaetodon meyeri,Animalia,Butterflyfishes,Meyer’s Butterflyfish,,1,73.35925523,3.90211421,Asia,Maldives,MV,,Indian Ocean - Maldives,2016-06-14,
Pygoplites diacanthus,Animalia,Angelfishes,Regal angelfish,,10,73.35925523,3.90211421,Asia,Maldives,MV,,Indian Ocean - Maldives,2016-06-14,
Amaurornis phoenicurus,Animalia,RAILS_RALLIDAE,White-breasted Waterhen,,1,72.81131744,3.47839877,Asia,Maldives,MV,,Indian Ocean - Maldives,2005-01-08,
