scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Actophilornis africanus,Animalia,JACANAS_JACANIDAE,African Jacana,,1,-7.97388184816,12.6336170849,Africa,Mali,ML,,Mali - Koulikoro,2014-04-26,
Amadina fasciata,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Cut-throat Finch,,1,-5.4073333740234,13.232927260096,Africa,Mali,ML,,Mali - Ségou,2009-01-18,
Lagonosticta senegala,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Red-billed Firefinch,,1,-4.5109176635742,13.876746246499,Africa,Mali,ML,,Mali - Mopti,2009-01-18,
Egretta garzetta,Animalia,HERONS_ARDEIDAE,Little Egret,,1,-3.9736175537109,15.113889978918,Africa,Mali,ML,,Mali - Mopti,2009-01-18,
Pluvianus aegyptius,Animalia,Pluvianidae,Egyptian Plover,,2,-4.20699513796,14.5001032828,Africa,Mali,ML,,Mali - Mopti,2010-12-26,
Milvus aegyptius,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Yellow-billed Kite,,10,-4.201888212,14.4946811542,Africa,Mali,ML,,Mali - Mopti,2010-12-26,
Ardeola ralloides,Animalia,HERONS_ARDEIDAE,Squacco Heron,,20,-4.1887251735,14.4773362074,Africa,Mali,ML,,Mali - Mopti,2010-12-26,01:00
Vanellus tectus,Animalia,PLOVERS_CHARADRIIDAE,Black-headed Lapwing,,2,-6.71528291705,13.0653077109,Africa,Mali,ML,,Mali - Ségou,2010-12-25,01:00
Tringa nebularia,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Common Greenshank,,1,-5.18280029297,13.1707791801,Africa,Mali,ML,,Mali - Ségou,2009-01-18,
Milvus aegyptius parasitus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Yellow-billed Kite ssp parasitus,,1,-2.97866821289,16.6796086122,Africa,Mali,ML,,Mali - Tombouctou,2009-01-18,
