scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Fregata magnificens,Animalia,FRIGATEBIRDS_FREGATTIDAE,Magnificent Frigatebird,,1,-60.8492079377,14.4109881075,South America,Martinique,MQ,,Martinique - Sainte-Anne,2012-06-22,
Anous stolidus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Brown Noddy,,100,-60.8548253216,14.402125406,South America,Martinique,MQ,,Martinique - Sainte-Anne,2012-06-17,
Quiscalus lugubris,Animalia,ICTERIDS_ICTERIDAE,Carib Grackle,,4,-60.869378,14.396308,South America,Martinique,MQ,,Martinique - Sainte-Anne,2013-12-09,17:06
Egretta thula,Animalia,HERONS_ARDEIDAE,Snowy Egret,,11,-60.875141,14.399309,South America,Martinique,MQ,,Martinique - Sainte-Anne,2013-12-10,08:55
Quiscalus lugubris,Animalia,ICTERIDS_ICTERIDAE,Carib Grackle,,25,-60.875173,14.399363,South America,Martinique,MQ,,Martinique - Sainte-Anne,2013-12-10,08:56
Quiscalus lugubris,Animalia,ICTERIDS_ICTERIDAE,Carib Grackle,,1,-60.88873,14.417075,South America,Martinique,MQ,,Martinique - Sainte-Anne,2013-12-10,09:21
Gallinula galeata,Animalia,RAILS_RALLIDAE,Common Gallinule,,1,-60.996665,14.625433,South America,Martinique,MQ,,Martinique - Le Lamentin,2013-12-10,15:39
Buteo platypterus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Broad-winged Hawk,,2,-60.996011,14.624446,South America,Martinique,MQ,,Martinique - Le Lamentin,2013-12-10,17:14
Zenaida aurita,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Zenaida Dove,,1,-61.05868,14.762356,South America,Martinique,MQ,,Martinique - Le Marigot,2013-12-11,09:03
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,3,-60.90658123,14.60093815,South America,Martinique,MQ,,Martinique - Le François,2012-07-04,
Phaethon aethereus aethereus,Animalia,TROPICBIRDS_PHAETHONTIDAE,Red-billed Tropicbird ssp aethereus,,2,-60.87417126,14.7725172,South America,Martinique,MQ,,Martinique - Caribbean Sea,2018-03-05,11:50
Onychoprion fuscatus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Sooty Tern,,1,-60.8557694592,14.4007588971,South America,Martinique,MQ,,Martinique - Sainte-Anne,2012-06-17,
Egretta thula,Animalia,HERONS_ARDEIDAE,Snowy Egret,,1,-60.8681290783,14.4050402506,South America,Martinique,MQ,,Martinique - Sainte-Anne,2012-06-17,
Quiscalus lugubris,Animalia,ICTERIDS_ICTERIDAE,Carib Grackle,,1,-60.8488171734,14.411690734,South America,Martinique,MQ,,Martinique - Sainte-Anne,2012-06-28,
Calidris alba,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Sanderling,,1,-60.8488171734,14.411690734,South America,Martinique,MQ,,Martinique - Sainte-Anne,2012-07-08,
Arenaria interpres,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Ruddy Turnstone,,4,-60.8488171734,14.411690734,South America,Martinique,MQ,,Martinique - Sainte-Anne,2012-07-08,
Actitis macularius,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Spotted Sandpiper,,1,-60.8443539776,14.4145171294,South America,Martinique,MQ,,Martinique - Sainte-Anne,2012-07-05,
Charadrius semipalmatus,Animalia,PLOVERS_CHARADRIIDAE,Semipalmated Plover,,1,-60.8469288982,14.4130623715,South America,Martinique,MQ,,Martinique - Sainte-Anne,2012-07-05,
Butorides virescens,Animalia,HERONS_ARDEIDAE,Green Heron,,1,-60.9065812267,14.6009381544,South America,Martinique,MQ,,Martinique - Le François,2012-07-04,
Gallinula galeata,Animalia,RAILS_RALLIDAE,Common Gallinule,,1,-60.9065812267,14.6009381544,South America,Martinique,MQ,,Martinique - Le François,2012-07-04,
