scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Zosterops mauritianus,Animalia,WHITEEYES_ZOSTEROPIDAE,Mauritius Grey White-eye,,1,57.522354126,-20.1036544579,Africa,Mauritius,MU,,Mauritius,2014-11-09,
Nesoenas picturatus,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Malagasy Turtle Dove,,1,57.5717926025,-20.0069031468,Africa,Mauritius,MU,,Mauritius,2014-11-07,
Hypsipetes olivaceus,Animalia,BULBULS_PYCNONOTIDAE,Mauritius Bulbul,,1,57.4069976807,-20.4456722413,Africa,Mauritius,MU,,Mauritius,2014-11-03,
Herpestes auropunctatus,Animalia,MONGOOSES_HERPESTIDAE,Small Indian Mongoose,,1,57.4069976807,-20.4456722413,Africa,Mauritius,MU,,Mauritius,2014-11-03,
Butorides striata,Animalia,HERONS_ARDEIDAE,Striated Heron,,1,57.5794744492,-20.1063948755,Africa,Mauritius,MU,,Mauritius,2014-07-22,
Geopelia striata,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Zebra Dove,,4,57.5794744492,-20.1063948755,Africa,Mauritius,MU,,Mauritius,2014-07-22,
Zosterops mauritianus,Animalia,WHITEEYES_ZOSTEROPIDAE,Mauritius Grey White-eye,,8,57.5794744492,-20.1063948755,Africa,Mauritius,MU,,Mauritius,2014-07-22,
Nesoenas picturatus,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Malagasy Turtle Dove,,6,57.5794744492,-20.1063948755,Africa,Mauritius,MU,,Mauritius,2014-07-22,
Gallinula chloropus,Animalia,RAILS_RALLIDAE,Common Moorhen,,3,57.5794744492,-20.1063948755,Africa,Mauritius,MU,,Mauritius,2014-07-22,
Pycnonotus jocosus,Animalia,BULBULS_PYCNONOTIDAE,Red-whiskered Bulbul,,2,57.7875160205,-20.2870659272,Africa,Mauritius,MU,,Mauritius,2014-07-24,
Aves indet.,Animalia,unknown,Unidentified bird,,1,57.583768180854435,-20.252641677856445,Africa,Mauritius,MU,,Mauritius,2014-07-24,
Geopelia striata,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Zebra Dove,,2,57.7755761147,-20.2704501313,Africa,Mauritius,MU,,Mauritius,2014-07-24,
Passer domesticus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,,20,57.7845025063,-20.2865522953,Africa,Mauritius,MU,,Mauritius,2014-07-24,
Ploceus cucullatus,Animalia,WEAVERS_PLOCEIDAE,Village Weaver,,5,57.7906823159,-20.2743148031,Africa,Mauritius,MU,,Mauritius,2014-07-24,
Phelsuma ornata,Animalia,Gekkonidae,Ornate Day Gecko,,2,57.7868199348,-20.2930128185,Africa,Mauritius,MU,,Mauritius,2014-07-19,
Geopelia striata,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Zebra Dove,,2,57.7869486808,-20.2929323151,Africa,Mauritius,MU,,Mauritius,2014-07-19,
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,2,57.7868199348,-20.2929323151,Africa,Mauritius,MU,,Mauritius,2014-07-19,
Pycnonotus jocosus,Animalia,BULBULS_PYCNONOTIDAE,Red-whiskered Bulbul,,4,57.7867341041,-20.2928518118,Africa,Mauritius,MU,,Mauritius,2014-07-19,
Passer domesticus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,,3,57.7876782417,-20.2928518118,Africa,Mauritius,MU,,Mauritius,2014-07-19,
Nesoenas mayeri,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Pink Pigeon,,2,57.7297210694,-20.4189692596,Africa,Mauritius,MU,,Mauritius,2014-07-20,
Zosterops chloronothos,Animalia,WHITEEYES_ZOSTEROPIDAE,Mauritius Olive White-eye,,1,57.7304077149,-20.4196127595,Africa,Mauritius,MU,,Mauritius,2014-07-20,
Foudia rubra,Animalia,WEAVERS_PLOCEIDAE,Mauritius Fody,,6,57.7304077149,-20.4189692596,Africa,Mauritius,MU,,Mauritius,2014-07-20,
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,2,57.4933862686,-20.418164881,Africa,Mauritius,MU,,Mauritius,2014-07-16,
Spilopelia chinensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Spotted Dove,,1,57.4933862686,-20.418164881,Africa,Mauritius,MU,,Mauritius,2014-07-16,
Macaca fascicularis,Animalia,OLD_WORLD_MONKEYS_CERCOPITHECIDAE,Long-tailed Macaque,,3,57.4533462524,-20.4258867419,Africa,Mauritius,MU,,Mauritius - Black River Gorges NP,2014-07-16,
Pycnonotus jocosus,Animalia,BULBULS_PYCNONOTIDAE,Red-whiskered Bulbul,,1,57.3668289185,-20.4508192709,Africa,Mauritius,MU,,Mauritius,2014-07-16,
Pycnonotus jocosus,Animalia,BULBULS_PYCNONOTIDAE,Red-whiskered Bulbul,,1,57.7868413925,-20.2927511826,Africa,Mauritius,MU,,Mauritius,2014-07-15,
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,6,57.7870130538,-20.2927914343,Africa,Mauritius,MU,,Mauritius,2014-07-15,
Passer domesticus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,,4,57.7866697311,-20.2926304275,Africa,Mauritius,MU,,Mauritius,2014-07-15,
Phelsuma ornata,Animalia,Gekkonidae,Ornate Day Gecko,,2,57.7866268158,-20.292952441,Africa,Mauritius,MU,,Mauritius,2014-07-14,
Pycnonotus jocosus,Animalia,BULBULS_PYCNONOTIDAE,Red-whiskered Bulbul,,2,57.7876138687,-20.2907989623,Africa,Mauritius,MU,,Mauritius,2014-07-14,
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,6,57.7867984771,-20.2928115601,Africa,Mauritius,MU,,Mauritius,2014-07-14,
Passer domesticus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,,8,57.7864551544,-20.2922480354,Africa,Mauritius,MU,,Mauritius,2014-07-14,
Trithemis annulata,Animalia,SKIMMERS_LIBELLULIDAE,Violet Dropwing,,1,57.5802254677,-20.1093971898,Africa,Mauritius,MU,,Mauritius,2014-01-19,
Danaus chrysippus,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,African Monarch,,1,57.4504709244,-20.4000250278,Africa,Mauritius,MU,,Mauritius - Gorges du Rivière Noire NP,2014-01-20,
Monetaria moneta,Animalia,CYPRAEIDAE,Nodular Money Cowry,,12,57.55255938,-20.0217523,Africa,Mauritius,MU,,Mauritius,1989-08-15,
Monetaria annulus,Animalia,CYPRAEIDAE,Ring cowrie,,10,57.549763,-20.024819,Africa,Mauritius,MU,,Mauritius,1989-08-14,
Cypraea tigris,Animalia,CYPRAEIDAE,Tiger cowrie,,1,57.549763,-20.024819,Africa,Mauritius,MU,,Mauritius,1989-08-15,
Phalanta phalantha,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Common Leopard,,1,57.581523656845,-20.018516451702,Africa,Mauritius,MU,,Mauritius,2009-04-25,
