scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Dromas ardeola,Animalia,CRABPLOVER_DROMADIDAE,Crab-plover,,6,45.2696947753,-12.7847255653,Africa,Mayotte,YT,,Mayotte,2014-10-16,
Eulemur fulvus,Animalia,TRUE_LEMURS_LEMURIDAE,Common Brown Lemur,,1,45.1677775383,-12.8231938804,Africa,Mayotte,YT,,Mayotte,2014-10-16,
Xylocopa spec.,Animalia,Apidae,Carpenter Bee unknown,,1,45.2353048325,-12.7703066914,Africa,Mayotte,YT,,Mayotte,2014-10-15,
Stenella longirostris,Animalia,DOLPHINS_DELPHINIDAE,Spinner Dolphin,,20,45.24032593,-12.84527662,Africa,Mayotte,YT,,Mayotte,2014-10-15,19:51
Eretmochelys imbricata,Animalia,Cheloniidae,Hawksbill Turtle,,2,45.1543,-12.8066,Africa,Mayotte,YT,,Mayotte,2014-10-15,19:30
Megaptera novaeangliae,Animalia,RORQUAL_WHALES_BALAENOPTERIDAE,Humpback Whale,,1,45.1537,-12.8072,Africa,Mayotte,YT,,Mayotte,2014-10-15,19:28
Megaptera novaeangliae,Animalia,RORQUAL_WHALES_BALAENOPTERIDAE,Humpback Whale,,1,45.154,-12.8068,Africa,Mayotte,YT,,Mayotte,2014-10-15,19:28
Dicrurus waldenii,Animalia,DRONGOS_DICRURIDAE,Mayotte Drongo,,4,45.1535,-12.8071,Africa,Mayotte,YT,,Mayotte,2014-10-14,13:14
Foudia madagascariensis,Animalia,WEAVERS_PLOCEIDAE,Red Fody,,1,45.15139832026395,-12.79291820526123,Africa,Mayotte,YT,,Mayotte,2010-01-13,
Corvus albus,Animalia,CROWS_AND_JAYS_CORVIDAE,Pied Crow,,3,45.15696911975743,-12.827500343322754,Africa,Mayotte,YT,,Mayotte,2009-10-16,
Cinnyris coquerellii,Animalia,SUNBIRDS_NECTARINIIDAE,Mayotte Sunbird,,1,45.204620361328,-12.806444855045,Africa,Mayotte,YT,,Mayotte,2009-10-16,
Numenius phaeopus,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Eurasian Whimbrel,,1,45.15696911975743,-12.827500343322754,Africa,Mayotte,YT,,Mayotte,2009-04-09,
Actitis hypoleucos,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Common Sandpiper,,1,45.15696911975743,-12.827500343322754,Africa,Mayotte,YT,,Mayotte,2009-04-03,
Tachybaptus ruficollis,Animalia,GREBES_PODICIPEDIDAE,Little Grebe,,1,45.142650604248,-12.774303696889,Africa,Mayotte,YT,,Mayotte,2010-07-10,
Ardeola idae,Animalia,HERONS_ARDEIDAE,Malagasy Pond Heron,,10,45.15139832026395,-12.79291820526123,Africa,Mayotte,YT,,Mayotte,2010-07-10,
Acridotheres tristis,Animalia,STARLINGS_STURNIDAE,Common Myna,,1,45.2211856842,-12.7853526816,Africa,Mayotte,YT,,Mayotte,2009-09-08,
Cinnyris coquerellii,Animalia,SUNBIRDS_NECTARINIIDAE,Mayotte Sunbird,,1,45.2211856842,-12.7853526816,Africa,Mayotte,YT,,Mayotte,2009-10-16,
Hypsipetes madagascariensis,Animalia,BULBULS_PYCNONOTIDAE,Malagasy Bulbul,,1,45.1432418823,-12.8488941249,Africa,Mayotte,YT,,Mayotte,2009-10-04,
Dromas ardeola,Animalia,CRABPLOVER_DROMADIDAE,Crab-plover,,6,45.2689223,-12.78531148,Africa,Mayotte,YT,,Mayotte,2014-10-16,
Eretmochelys imbricata,Animalia,Cheloniidae,Hawksbill Turtle,,2,45.1543,-12.8066,Africa,Mayotte,YT,,Mayotte,2014-10-15,19:30
Dicrurus waldenii,Animalia,DRONGOS_DICRURIDAE,Mayotte Drongo,,4,45.15308641,-12.80726121,Africa,Mayotte,YT,,Mayotte,2014-10-14,
Leptosomus discolor,Animalia,CUCKOO_ROLLER_LEPTOSOMATIDAE,Cuckoo Roller,,1,45.13944805,-12.79707339,Africa,Mayotte,YT,,Mayotte,2004-07-17,
Cypsiurus gracilis griveaudi,Animalia,SWIFTS_APODIDAE,Malagasy Palm Swift ssp griveaudi,,1,45.15139832026395,-12.79291820526123,Africa,Mayotte,YT,,Mayotte,2004-07-14,
Ardea humbloti,Animalia,HERONS_ARDEIDAE,Humblot's Heron,,1,45.15139832026395,-12.79291820526123,Africa,Mayotte,YT,,Mayotte,2004-07-14,
