scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Viscum album,Plantae,SANTALACEAE,Mistletoe,,1,28.654661178589,47.334285695644,Europe,Moldova,MD,,Moldova - Orhei,2010-02-24,
Felis silvestris,Animalia,CATS_FELIDAE,Wild Cat,,1,27.612491607666,48.2796669006348,Europe,Moldova,MD,,Moldova - Dondușeni,2020-02-16,11:51
Graphosoma italicum,Animalia,Pentatomidae,Striped shield bug,,1,28.815099999999994,47.03901667,Europe,Moldova,MD,,Moldova - Chișinău,2019-10-16,13:22
Lamium purpureum,Plantae,Lamiaceae,Red Dead-nettle,,1,28.8465232849121,46.9997024536133,Europe,Moldova,MD,,Moldova - Chișinău,2020-03-01,14:13
Tussilago farfara,Plantae,Asteraceae,Colt's-foot,,1,28.846227645874,47.0006446838379,Europe,Moldova,MD,,Moldova - Chișinău,2020-03-01,14:08
Leptoglossus occidentalis,Animalia,Coreidae,Western conifer seed bug (WCSB),,1,28.441569,47.337737,Europe,Moldova,MD,,Moldova - Călărași,2013-10-08,17:13
Egretta garzetta,Animalia,HERONS_ARDEIDAE,Little Egret,,1,28.441569,47.337737,Europe,Moldova,MD,,Moldova - Călărași,2013-10-03,14:00
Buteo buteo,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Common Buzzard,,1,27.5503044128418,47.4740333557129,Europe,Moldova,MD,,Moldova - Fălești,2019-09-29,17:24
Tritomegas sexmaculatus,Animalia,Cydnidae,Rambur's Pied Shieldbug,,1,28.6515731811523,46.2420349121094,Europe,Moldova,MD,,Moldova - Gagauzia,2019-07-26,16:36
Graphosoma italicum,Animalia,Pentatomidae,Striped shield bug,,1,28.8561954498291,47.2484817504883,Europe,Moldova,MD,,Moldova - Criuleni,2019-07-14,12:49
Lucanus cervus,Animalia,STAG_BEETLES_LUCANIDAE,Stag Beetle,,1,28.8,47.25,Europe,Moldova,MD,,Moldova - Orhei,2019-07-14,08:24
Viburnum lantana,Plantae,ADOXACEAE,Wayfaring Tree,,1,28.8431758880615,47.2636260986328,Europe,Moldova,MD,,Moldova - Orhei,2019-07-14,08:52
Circaea lutetiana,Plantae,ONAGRACEAE,Enchanter's-nightshade,,1,28.8351516723633,47.2678718566895,Europe,Moldova,MD,,Moldova - Orhei,2019-07-14,09:27
Asarum europaeum,Plantae,ARISTOLOCHIACEAE,European Wild Ginger,,1,28.8352184295654,47.2679901123047,Europe,Moldova,MD,,Moldova - Orhei,2019-07-14,09:30
Staphylea pinnata,Plantae,STAPHYLEACEAE,Bladder-nut,,1,28.8348922729492,47.2871170043945,Europe,Moldova,MD,,Moldova - Orhei,2019-07-14,10:10
Plebejus argus,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Silver-studded Blue,,1,28.8312473297119,47.2794036865234,Europe,Moldova,MD,,Moldova - Orhei,2019-07-14,10:38
Plebejus argus,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Silver-studded Blue,,30,28.87704682,46.96976555,Europe,Moldova,MD,,Moldova - Chișinău,2019-07-07,10:12
Erynnis tages,Animalia,SKIPPERS_HESPERIIDAE,Dingy Skipper,,2,28.85,46.95,Europe,Moldova,MD,,Moldova - Chișinău,2019-07-07,10:13
Melanargia galathea,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Marbled White,,2,28.8783507049084,46.9687039698539,Europe,Moldova,MD,,Moldova - Chișinău,2019-07-07,10:21
Iphiclides podalirius,Animalia,SWALLOWTAILS_PAPILIONIDAE,Scarce Swallowtail,,2,28.85,46.95,Europe,Moldova,MD,,Moldova - Chișinău,2019-07-07,10:30
Argynnis paphia,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Silver-washed Fritillary,,1,28.880918584764,46.9684049383048,Europe,Moldova,MD,,Moldova - Chișinău,2019-07-07,10:45
