scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Thalasseus sandvicensis,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Sandwich Tern,,3,7.48910039663,43.749706223,Europe,Monaco,MC,,Monaco,2015-03-04,
Phalacrocorax carbo,Animalia,CORMORANTS_PHALACROCORACIDAE,Great Cormorant,,3,7.48910039663,43.749706223,Europe,Monaco,MC,,Monaco,2015-03-04,
Phalacrocorax aristotelis desmarestii,Animalia,CORMORANTS_PHALACROCORACIDAE,European Shag ssp desmarestii,,2,7.48910039663,43.749706223,Europe,Monaco,MC,,Monaco,2015-03-04,
Burhinus oedicnemus,Animalia,THICKKNEES_BURHINIDAE,Eurasian Stone-curlew,,1,7.48704046011,43.7493342141,Europe,Monaco,MC,,Monaco,2015-03-04,
Corvus cornix,Animalia,CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,1,7.48655498028,43.7499532589,Europe,Monaco,MC,,Monaco,2015-02-27,
Phalacrocorax aristotelis desmarestii,Animalia,CORMORANTS_PHALACROCORACIDAE,European Shag ssp desmarestii,,3,7.48689830303,43.7479071895,Europe,Monaco,MC,,Monaco,2015-02-27,
Larus michahellis,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Yellow-legged Gull,,3,7.42488026619,43.7371816189,Europe,Monaco,MC,,Monaco,2014-09-25,10:30
Falco tinnunculus,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Common Kestrel,,1,7.42681984,43.73765721,Europe,Monaco,MC,,Monaco,2014-08-19,14:14
Larus michahellis,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Yellow-legged Gull,,50,7.42691239,43.73768771,Europe,Monaco,MC,,Monaco,2014-08-19,14:14
Larus michahellis,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Yellow-legged Gull,,6,7.42756003274458,43.7313664506048,Europe,Monaco,MC,,Monaco,2014-04-14,09:38
Larus michahellis,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Yellow-legged Gull,,5,7.43465423584,43.7468550641,Europe,Monaco,MC,,Monaco,2013-09-25,
Larus michahellis,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Yellow-legged Gull,,1,7.422265,43.735198,Europe,Monaco,MC,,Monaco,2013-07-23,12:49
Chromis chromis,Animalia,POMACENTRIDAE_DAMSELFISHES,Damselfish,,10,7.4221622942787,43.735560698934,Europe,Monaco,MC,,Monaco,2013-07-09,
Ischnura elegans,Animalia,POND_DAMSELS_COENAGRIONIDAE,Common Bluetail,,6,7.4309492110115,43.74241177763,Europe,Monaco,MC,,Monaco,2013-07-09,
Orthetrum cancellatum,Animalia,SKIMMERS_LIBELLULIDAE,Black-tailed Skimmer,,2,7.4309492110115,43.74241177763,Europe,Monaco,MC,,Monaco,2013-07-09,
Sylvia atricapilla,Animalia,OLD_WORLD_WARBLERS_SYLVIIDAE,Eurasian Blackcap,,1,7.4272871008725,43.731986664418,Europe,Monaco,MC,,Monaco,2013-07-09,
Larus michahellis,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Yellow-legged Gull,,55,7.4223518362851,43.737847234875,Europe,Monaco,MC,,Monaco,2013-07-09,
Passer italiae,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Italian Sparrow,,2,7.4223518362851,43.737847234875,Europe,Monaco,MC,,Monaco,2013-07-09,
Larus michahellis,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Yellow-legged Gull,,63,7.4333810797543,43.745329739595,Europe,Monaco,MC,,Monaco,2013-07-01,
Iphiclides podalirius,Animalia,SWALLOWTAILS_PAPILIONIDAE,Scarce Swallowtail,,1,7.4,43.7,Europe,Monaco,MC,,Monaco,2012-07-26,
Larus michahellis,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Yellow-legged Gull,,10,7.44259828301,43.746198578,Europe,Monaco,MC,,Monaco,2012-07-23,
Corvus cornix,Animalia,CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,1,7.44259828301,43.746198578,Europe,Monaco,MC,,Monaco,2012-07-23,
Sylvia atricapilla,Animalia,OLD_WORLD_WARBLERS_SYLVIIDAE,Eurasian Blackcap,,1,7.42641448975,43.7424526002,Europe,Monaco,MC,,Monaco,2012-06-15,
Larus michahellis,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Yellow-legged Gull,,1,7.42363572121,43.7328172054,Europe,Monaco,MC,,Monaco,2009-07-16,
Phalacrocorax aristotelis,Animalia,CORMORANTS_PHALACROCORACIDAE,European Shag,,1,7.43185400963,43.7420340392,Europe,Monaco,MC,,Monaco,2009-07-16,
Streptopelia decaocto,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Eurasian Collared Dove,,1,7.43098497391,43.7424758534,Europe,Monaco,MC,,Monaco,2009-07-16,
Ischnura elegans,Animalia,POND_DAMSELS_COENAGRIONIDAE,Common Bluetail,,1,7.43098497391,43.7424758534,Europe,Monaco,MC,,Monaco,2009-07-16,
Chroicocephalus ridibundus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Black-headed Gull,,1,7.46804237366,43.7569919011,Europe,Monaco,MC,,Monaco,2009-07-16,
Hyles livornica,Animalia,Sphingidae,Striped Hawk-moth,,1,7.47084259987,43.7574413541,Europe,Monaco,MC,,Monaco,2009-07-14,
Phalacrocorax aristotelis,Animalia,CORMORANTS_PHALACROCORACIDAE,European Shag,,2,7.47456550598,43.7511952045,Europe,Monaco,MC,,Monaco,2009-07-14,
Larus michahellis,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Yellow-legged Gull,,1,7.4267873,43.731014,Europe,Monaco,MC,,Monaco,2012-06-16,15:42
Apus pallidus,Animalia,SWIFTS_APODIDAE,Pallid Swift,,5,7.42415237426758,43.7297096252441,Europe,Monaco,MC,,Monaco,2019-08-15,16:17
Apus pallidus,Animalia,SWIFTS_APODIDAE,Pallid Swift,,2,7.423664319606521,43.737189570674765,Europe,Monaco,MC,,Monaco,2019-09-21,14:23
Macroglossum stellatarum,Animalia,Sphingidae,Humming-bird Hawk Moth,,1,7.4237564369008116,43.73724704927878,Europe,Monaco,MC,,Monaco,2019-09-21,14:11
Streptopelia decaocto,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Eurasian Collared Dove,,1,7.423981149968667,43.737170049265984,Europe,Monaco,MC,,Monaco,2019-09-21,14:10
Apus pallidus,Animalia,SWIFTS_APODIDAE,Pallid Swift,,10,7.42059278488159,43.7383155822754,Europe,Monaco,MC,,Monaco,2019-08-15,14:09
Sympetrum fonscolombii,Animalia,SKIMMERS_LIBELLULIDAE,Red-veined Darter,,1,7.42146348953247,43.7357025146484,Europe,Monaco,MC,,Monaco,2019-08-15,14:19
