scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Dosinia hepatica,Animalia,VENERIDAE,,,1,32.6144170761,-25.9515234889,Africa,Mozambique,MZ,,Mozambique,2013-05-30,
Eidolon helvum,Animalia,OLD_WORLD_FRUITEATING_BATS_PTEROPODIDAE,African Straw-coloured Fruit Bat,,1,32.5734758377,-25.9715971626,Africa,Mozambique,MZ,,Mozambique - Maputo,2013-05-30,
Camaroptera brachyura,Animalia,CISTICOLAS_AND_ALLIES_CISTICOLIDAE,Green-backed Camaroptera,,1,32.5923156738,-25.9821197624,Africa,Mozambique,MZ,,Mozambique - Maputo,2014-09-29,
Coracias caudatus,Animalia,ROLLERS_CORACIIDAE,Lilac-breasted Roller,,1,35.2276611328,-24.4371478616,Africa,Mozambique,MZ,,Mozambique - Inhambane,2014-09-21,
Microcarbo africanus,Animalia,CORMORANTS_PHALACROCORACIDAE,Reed Cormorant,,1,35.2276611328,-24.4371478616,Africa,Mozambique,MZ,,Mozambique - Inhambane,2014-09-20,
Hydroprogne caspia,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Caspian Tern,,1,40.3724116087,-22.3437275109,Africa,Mozambique,MZ,,Mozambique,2014-04-14,
Phaethon lepturus,Animalia,TROPICBIRDS_PHAETHONTIDAE,White-tailed Tropicbird,,1,40.3724116087,-22.3437275109,Africa,Mozambique,MZ,,Mozambique,2014-04-14,
Sula sula,Animalia,GANNETS_AND_BOOBIES_SULIDAE,Red-footed Booby,,1,40.3724116087,-22.3437275109,Africa,Mozambique,MZ,,Mozambique,2014-04-14,
Numenius arquata,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Eurasian Curlew,,1,40.3724116087,-22.3437275109,Africa,Mozambique,MZ,,Mozambique,2014-04-14,
Egretta dimorpha,Animalia,HERONS_ARDEIDAE,Dimorphic Egret,,1,40.3727549314,-22.3507133485,Africa,Mozambique,MZ,,Mozambique,2014-04-14,
Chelonia mydas,Animalia,Cheloniidae,Green Turtle,,1,40.357992053,-22.3449976892,Africa,Mozambique,MZ,,Mozambique,2014-04-13,
Ardea cinerea,Animalia,HERONS_ARDEIDAE,Grey Heron,,1,40.3727549314,-22.3475380112,Africa,Mozambique,MZ,,Mozambique,2014-04-13,
Fregata ariel,Animalia,FRIGATEBIRDS_FREGATTIDAE,Lesser Frigatebird,,1,40.3676050901,-22.3597626629,Africa,Mozambique,MZ,,Mozambique,2014-04-13,
Fregata minor,Animalia,FRIGATEBIRDS_FREGATTIDAE,Great Frigatebird,,1,40.3676050901,-22.3597626629,Africa,Mozambique,MZ,,Mozambique,2014-04-13,
Accipiter tachiro,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,African Goshawk,,1,35.17248631,-24.49419915,Africa,Mozambique,MZ,,Mozambique - Inhambane,2013-06-13,06:57
Phoenicopterus roseus,Animalia,FLAMINGOS_PHOENICOPTERIDAE,Greater Flamingo,,30,35.379467009625,-23.86776781394,Africa,Mozambique,MZ,,Mozambique - Inhambane,2013-06-14,10:40
Dicrurus adsimilis,Animalia,DRONGOS_DICRURIDAE,Fork-tailed Drongo,,1,35.130014423,-24.5492727789,Africa,Mozambique,MZ,,Mozambique - Inhambane,2013-06-12,15:20
Corvus albus,Animalia,CROWS_AND_JAYS_CORVIDAE,Pied Crow,,1,35.182313918849,-24.499119741977,Africa,Mozambique,MZ,,Mozambique - Inhambane,2013-06-11,06:35
Dryoscopus cubla,Animalia,HELMETSHRIKES_BUSHSHRIKES_MALACONOTIDAE,Black-backed Puffback,,1,35.182313918849,-24.499119741977,Africa,Mozambique,MZ,,Mozambique - Inhambane,2013-06-11,06:37
Cinnyris talatala talatala,Animalia,SUNBIRDS_NECTARINIIDAE,,,1,35.145192145428,-24.565919219523,Africa,Mozambique,MZ,,Mozambique - Inhambane,2013-06-11,06:53
Cinnyris bifasciatus,Animalia,SUNBIRDS_NECTARINIIDAE,Purple-banded Sunbird,,1,35.145192145428,-24.565919219523,Africa,Mozambique,MZ,,Mozambique - Inhambane,2013-06-13,06:36
Vanellus armatus,Animalia,PLOVERS_CHARADRIIDAE,Blacksmith Lapwing,,1,35.144913195691,-24.566451339413,Africa,Mozambique,MZ,,Mozambique - Inhambane,2013-06-12,16:00
Burhinus vermiculatus,Animalia,THICKKNEES_BURHINIDAE,Water Thick-knee,,1,35.144205092511,-24.566822129891,Africa,Mozambique,MZ,,Mozambique - Inhambane,2013-06-12,16:00
Charadrius tricollaris,Animalia,PLOVERS_CHARADRIIDAE,Three-banded Plover,,1,35.144205092511,-24.566822129891,Africa,Mozambique,MZ,,Mozambique - Inhambane,2013-06-12,16:00
Aviceda cuculoides batesi,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,African Cuckoo-Hawk ssp batesi,,1,35.143475531659,-24.566314732118,Africa,Mozambique,MZ,,Mozambique - Inhambane,2013-06-12,16:00
Coracias caudatus,Animalia,ROLLERS_CORACIIDAE,Lilac-breasted Roller,,1,35.180275439343,-24.501898882447,Africa,Mozambique,MZ,,Mozambique - Inhambane,2013-06-12,07:30
Colius striatus,Animalia,MOUSEBIRDS_COLIIDAE,Speckled Mousebird,,2,35.18368720921,-24.498130432323,Africa,Mozambique,MZ,,Mozambique - Inhambane,2013-06-12,07:30
Kaupifalco monogrammicus meridionalis,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Lizard Buzzard ssp meridionalis,,1,35.172014235577,-24.501566950962,Africa,Mozambique,MZ,,Mozambique - Inhambane,2013-06-12,07:00
Pycnonotus tricolor layardi,Animalia,BULBULS_PYCNONOTIDAE,Dark-capped Bulbul ssp layardi,,6,35.1709842673,-24.4975056007,Africa,Mozambique,MZ,,Mozambique - Inhambane,2013-06-09,14:00
