scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Calidris ferruginea,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Curlew Sandpiper,,58,150.864751339,-23.493752166,Europe,Netherlands,NL,,Australia- Rockhampton (QLD),2014-02-15,10:55
Gelochelidon macrotarsa,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Australian Tern,,40,150.865373611,-23.4928469331,Europe,Netherlands,NL,,Australia- Rockhampton (QLD),2014-02-15,11:25
Pteropus scapulatus,Animalia,OLD_WORLD_FRUITEATING_BATS_PTEROPODIDAE,Little Red Flying Fox,,1,150.860180855,-23.5081956923,Europe,Netherlands,NL,,Australia- Rockhampton (QLD),2013-10-06,
Butorides striata,Animalia,HERONS_ARDEIDAE,Striated Heron,,1,150.855073929,-23.5093369389,Europe,Netherlands,NL,,Australia- Rockhampton (QLD),2012-08-03,14:00
Gavicalis fasciogularis,Animalia,HONEYEATERS_MELIPHAGIDAE,Mangrove Honeyeater,,15,150.85349679,-23.5107142923,Europe,Netherlands,NL,,Australia- Rockhampton (QLD),2012-08-03,13:30
Charadrius mongolus,Animalia,PLOVERS_CHARADRIIDAE,Lesser Sand Plover,,100,150.869922638,-23.5480940948,Europe,Netherlands,NL,,Australia- Rockhampton (QLD),2012-08-03,08:00
Larus argentatus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,European Herring Gull,,1,2.89438,51.713938,Europe,Netherlands,NL,,Noordzee - Borssele Offshore Windpark,2020-01-23,15:14
Loxia curvirostra,Animalia,FINCHES_FRINGILLIDAE,Red Crossbill,,1,6.00098540491264,51.735220696464,Europe,Netherlands,NL,,Gennep (gemeente) ,2018-03-20,14:19
Cordulegaster boltonii,Animalia,SPIKETAILS_CORDULEGASTRIDAE,Common Goldenring,,2,6.1,51.1,Europe,Netherlands,NL,,Nationaal Park de Meinweg - Roode Beek e.o.,2017-06-18,14:28
Lullula arborea,Animalia,LARKS_ALAUDIDAE,Woodlark,,1,6.12567924,51.1818348,Europe,Netherlands,NL,,Nationaal Park de Meinweg,2017-02-25,10:37
Lepus europaeus,Animalia,HARES_AND_RABBITS_LEPORIDAE,Brown Hare,,1,7.1395194047363,53.184212795363,Europe,Netherlands,NL,,Finsterwolde - Buitengebied Oost,2016-08-28,16:05
Netta rufina,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Red-crested Pochard,,2,5.1217478513718,52.376226312389,Europe,Netherlands,NL,,Almere - Muiderhoek,2016-04-11,
