scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Eresia clio,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Clio Crescent,,1,-84.7749094393,11.1336840006,North America,Nicaragua,NI,,Nicaragua,2010-02-09,
Calocitta formosa,Animalia,CROWS_AND_JAYS_CORVIDAE,White-throated Magpie-Jay,,1,-85.8792980275,11.2636381,North America,Nicaragua,NI,,Nicaragua,2015-01-09,16:39
Fregata magnificens,Animalia,FRIGATEBIRDS_FREGATTIDAE,Magnificent Frigatebird,,1,-85.880095,11.262493,North America,Nicaragua,NI,,Nicaragua,2015-01-09,16:37
Cathartes aura,Animalia,NEW_WORLD_VULTURES_CATHARTIDAE,Turkey Vulture,,20,-85.83588928,11.20431004,North America,Nicaragua,NI,,Nicaragua,2015-01-08,13:03
Leptotes cassius,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,,,1,-86.05401903,11.93353211,North America,Nicaragua,NI,,Nicaragua,2015-01-05,07:35
Eumomota superciliosa,Animalia,MOTMOTS_MOMOTIDAE,Turquoise-browed Motmot,,5,-86.054019034,11.9335321092,North America,Nicaragua,NI,,Nicaragua,2015-01-04,07:38
Melanerpes santacruzi santacruzi,Animalia,WOODPECKERS_PICIDAE,Velasquez's Woodpecker ssp santacruzi,,1,-86.054019034,11.9335321092,North America,Nicaragua,NI,,Nicaragua,2015-01-04,07:36
Campylorhynchus capistratus,Animalia,WRENS_TROGLODYTIDAE,Rufous-backed Wren,,1,-86.05401903,11.93353211,North America,Nicaragua,NI,,Nicaragua,2015-01-04,07:35
Actitis macularius,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Spotted Sandpiper,,1,-86.054019034,11.9335321092,North America,Nicaragua,NI,,Nicaragua,2015-01-03,15:51
Fregata magnificens,Animalia,FRIGATEBIRDS_FREGATTIDAE,Magnificent Frigatebird,,1,-86.054019034,11.9335321092,North America,Nicaragua,NI,,Nicaragua,2015-01-03,14:37
Pandion haliaetus,Animalia,OSPREY_PANDIONIDAE,Western Osprey,,4,-86.054019034,11.9335321092,North America,Nicaragua,NI,,Nicaragua,2015-01-03,07:36
Ardea alba egretta,Animalia,HERONS_ARDEIDAE,American Great Egret,,1,-86.054019034,11.9335321092,North America,Nicaragua,NI,,Nicaragua,2015-01-03,07:45
Calocitta formosa,Animalia,CROWS_AND_JAYS_CORVIDAE,White-throated Magpie-Jay,,1,-85.5285644531,11.4800246486,North America,Nicaragua,NI,,Nicaragua,2013-08-10,
Megaceryle torquata,Animalia,KINGFISHERS_ALCEDINIDAE,Ringed Kingfisher,,2,-86.0540380556,11.9334881,North America,Nicaragua,NI,,Nicaragua,2015-01-03,06:44
Ctenosaura similis,Animalia,Iguanidae,Black Iguana,,1,-86.2543665245,11.9784339794,North America,Nicaragua,NI,,Nicaragua,2014-03-06,14:23
Coragyps atratus,Animalia,NEW_WORLD_VULTURES_CATHARTIDAE,Black Vulture,,1,-86.2684960663,11.9755997621,North America,Nicaragua,NI,,Nicaragua,2014-03-06,11:07
Argemone mexicana,Plantae,PAPAVERACEAE,Mexican Poppy,,1,-86.2527320534,11.9780349966,North America,Nicaragua,NI,,Nicaragua,2014-03-06,
Alouatta palliata,Animalia,SPIDER_MONKEYS_ATELIDAE,Mantled Howler Monkey,,5,-86.2641187012,11.9777827828,North America,Nicaragua,NI,,Nicaragua,2014-03-06,10:25
Cairina moschata,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Muscovy Duck,,1,-85.6360745432,11.4791779039,North America,Nicaragua,NI,,Nicaragua,2014-10-19,17:07
Chaetura pelagica,Animalia,SWIFTS_APODIDAE,Chimney Swift,,1,-85.6357741358,11.4796195011,North America,Nicaragua,NI,,Nicaragua,2014-10-19,16:22
Sciurus variegatoides dorsalis,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Variegated Squirrel ssp dorsalis,,1,-85.55411339,11.5105394,North America,Nicaragua,NI,,Nicaragua,2014-10-19,14:14
Egretta tricolor,Animalia,HERONS_ARDEIDAE,Tricolored Heron,,1,-87.010724545,12.3537063834,North America,Nicaragua,NI,,Nicaragua,2014-10-23,10:40
Fregata magnificens,Animalia,FRIGATEBIRDS_FREGATTIDAE,Magnificent Frigatebird,,18,-87.017223988206,12.3595089588613,North America,Nicaragua,NI,,Nicaragua,2014-10-23,09:41
Coragyps atratus,Animalia,NEW_WORLD_VULTURES_CATHARTIDAE,Black Vulture,,80,-87.017223988206,12.3595089588613,North America,Nicaragua,NI,,Nicaragua,2014-10-23,09:41
Egretta thula,Animalia,HERONS_ARDEIDAE,Snowy Egret,,50,-87.017223988206,12.3595089588613,North America,Nicaragua,NI,,Nicaragua,2014-10-23,09:42
Numenius hudsonicus hudsonicus,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Hudsonian Whimbrel ssp hudsonicus,,10,-87.0131946903,12.3549060125,North America,Nicaragua,NI,,Nicaragua,2014-10-23,10:36
Procyon lotor,Animalia,COATIS_RACCOONS_AND_RINGTAILS_PROCYONIDAE,Northern Raccoon,,1,-86.9942048914,12.3453236832,North America,Nicaragua,NI,,Nicaragua,2014-10-23,11:10
Pelecanus occidentalis,Animalia,PELICANS_PELECANIDAE,Brown Pelican,,6,-87.0188943804844,12.3597136954412,North America,Nicaragua,NI,,Nicaragua,2014-10-23,13:50
Calidris alba,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Sanderling,,100,-87.0188943804844,12.3597136954412,North America,Nicaragua,NI,,Nicaragua,2014-10-23,13:51
Charadrius semipalmatus,Animalia,PLOVERS_CHARADRIIDAE,Semipalmated Plover,,1,-87.0189024063778,12.3598963030805,North America,Nicaragua,NI,,Nicaragua,2014-10-23,13:52
Butorides virescens,Animalia,HERONS_ARDEIDAE,Green Heron,,4,-87.0189226918908,12.3598457709621,North America,Nicaragua,NI,,Nicaragua,2014-10-23,13:53
