scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Cerastes vipera,Animalia,Viperidae,Sahara Sand Viper,,1,13.14,14.68,Africa,Niger,NE,,Niger - Diffa,2012-05-01,
Cerastes cerastes,Animalia,Viperidae,Desert Horned Viper,,1,11.45,15.86,Africa,Niger,NE,,Niger - Zinder,2012-05-07,
Cerastes cerastes,Animalia,Viperidae,Desert Horned Viper,,1,11.45,15.8,Africa,Niger,NE,,Niger - Zinder,2012-05-06,
Varanus griseus,Animalia,Varanidae,Desert Monitor,,1,12.2,16.22,Africa,Niger,NE,,Niger - Diffa,2012-05-04,
Varanus griseus,Animalia,Varanidae,Desert Monitor,,1,12.91,16.56,Africa,Niger,NE,,Niger - Diffa,2012-05-04,
Varanus griseus,Animalia,Varanidae,Desert Monitor,,1,13.19,14.83,Africa,Niger,NE,,Niger - Diffa,2012-05-02,
Apus affinis aerobates,Animalia,SWIFTS_APODIDAE,Little Swift ssp aerobates,,15,7.98451423,16.98249332,Africa,Niger,NE,,Niger - Agadez,2019-03-24,
Schistocerca gregaria,Animalia,SHORTHORNED_GRASSHOPPERS_ACRIDIDAE,Desert Locust,,100,2.5952062,13.31671384,Africa,Niger,NE,,Niger - Tillabéry,2003-12-19,
Gallinula chloropus,Animalia,RAILS_RALLIDAE,Common Moorhen,,4,2.03730583,13.52583233,Africa,Niger,NE,,Niger - Niamey,2019-01-20,
Streptopelia decipiens,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Mourning Collared Dove,,1,2.54731201,12.5005414,Africa,Niger,NE,,Niger - W du Niger NP,2003-12-30,
Chlorocebus tantalus,Animalia,OLD_WORLD_MONKEYS_CERCOPITHECIDAE,Tantalus Monkey,,1,2.54726909,12.50060424,Africa,Niger,NE,,Niger - W du Niger NP,2003-12-29,
Dicrurus divaricatus,Animalia,DRONGOS_DICRURIDAE,Glossy-backed Drongo,,1,2.41444677,12.46875884,Africa,Niger,NE,,Niger - W du Niger NP,2003-12-28,
Ptilostomus afer,Animalia,CROWS_AND_JAYS_CORVIDAE,Piapiac,,1,2.1228218,13.45715411,Africa,Niger,NE,,Niger - Niamey,2014-12-22,
Bubalornis albirostris,Animalia,WEAVERS_PLOCEIDAE,White-billed Buffalo Weaver,,1,2.10535526,13.50810686,Africa,Niger,NE,,Niger - Niamey,2014-12-14,
Dendropicos goertae,Animalia,WOODPECKERS_PICIDAE,African Grey Woodpecker,,1,2.11506843,13.50018394,Africa,Niger,NE,,Niger - Niamey,2014-12-14,
Passer griseus,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Northern Grey-headed Sparrow,,1,2.11506843,13.50018394,Africa,Niger,NE,,Niger - Niamey,2014-12-14,
Crinifer piscator,Animalia,TURACOS_MUSOPHAGIDAE,Western Plantain-eater,,1,2.37487792,13.19598348,Africa,Niger,NE,,Niger - Tillabéry,2014-12-11,
Motacilla flava flava,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Blue-headed Wagtail,,1,2.39547727,13.17639521,Africa,Niger,NE,,Niger - Tillabéry,2014-12-11,
Buphagus africanus,Animalia,Buphagidae,Yellow-billed Oxpecker,,1,2.39547727,13.17639521,Africa,Niger,NE,,Niger - Tillabéry,2014-12-11,
Himantopus himantopus,Animalia,STILTS_AND_AVOCETS_RECURVIROSTRIDAE,Black-winged Stilt,,1,2.1423912,13.44897351,Africa,Niger,NE,,Niger - Niamey,2014-12-10,
Vanellus spinosus,Animalia,PLOVERS_CHARADRIIDAE,Spur-winged Lapwing,,1,2.1423912,13.44897351,Africa,Niger,NE,,Niger - Niamey,2014-12-10,
Corvus albus,Animalia,CROWS_AND_JAYS_CORVIDAE,Pied Crow,,1,2.1423912,13.44897351,Africa,Niger,NE,,Niger - Niamey,2014-12-10,
Coracias abyssinicus,Animalia,ROLLERS_CORACIIDAE,Abyssinian Roller,,1,2.1423912,13.44897351,Africa,Niger,NE,,Niger - Niamey,2014-12-10,
Lamprotornis pulcher,Animalia,STARLINGS_STURNIDAE,Chestnut-bellied Starling,,1,2.1423912,13.44897351,Africa,Niger,NE,,Niger - Niamey,2014-12-10,
Ardeola ralloides,Animalia,HERONS_ARDEIDAE,Squacco Heron,,1,2.1423912,13.44897351,Africa,Niger,NE,,Niger - Niamey,2014-12-10,
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,1,2.1423912,13.44897351,Africa,Niger,NE,,Niger - Niamey,2014-12-10,
Merops nubicus,Animalia,BEEEATERS_MEROPIDAE,Northern Carmine Bee-eater,,1,2.1423912,13.44897351,Africa,Niger,NE,,Niger - Niamey,2014-12-10,
Egretta garzetta,Animalia,HERONS_ARDEIDAE,Little Egret,,1,2.1423912,13.44897351,Africa,Niger,NE,,Niger - Niamey,2014-12-10,
Tringa glareola,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Wood Sandpiper,,1,2.1423912,13.44897351,Africa,Niger,NE,,Niger - Niamey,2014-12-10,
Bubulcus ibis,Animalia,HERONS_ARDEIDAE,Western Cattle Egret,,1,2.12333679,13.48959553,Africa,Niger,NE,,Niger - Niamey,2014-12-09,
Spilopelia senegalensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Laughing Dove,,1,2.12333679,13.48959553,Africa,Niger,NE,,Niger - Niamey,2014-12-09,
Gallinula chloropus,Animalia,RAILS_RALLIDAE,Common Moorhen,,3,2.14393614,13.44225073,Africa,Niger,NE,,Niger - Niamey,2018-12-16,
Actophilornis africanus,Animalia,JACANAS_JACANIDAE,African Jacana,,12,2.14393614,13.44225073,Africa,Niger,NE,,Niger - Niamey,2018-12-16,
Porzana parva,Animalia,RAILS_RALLIDAE,Little Crake,,1,2.06648826,13.52115908,Africa,Niger,NE,,Niger - Niamey,2018-11-01,
Elanus caeruleus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Black-winged Kite,,1,2.05902099,13.52244423,Africa,Niger,NE,,Niger - Niamey,2018-08-30,
Bucorvus abyssinicus,Animalia,GROUND_HORNBILLS_BUCORVIDAE,Abyssinian Ground Hornbill,,1,2.2662806005675336,12.238885000000067,Africa,Niger,NE,,Niger - W du Niger NP,2012-03-15,12:41
Terathopius ecaudatus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Bateleur,,1,2.2662806005675336,12.238885000000067,Africa,Niger,NE,,Niger - W du Niger NP,2012-03-15,09:41
Syncerus caffer brachyceros,Animalia,BOVIDS_BOVIDAE,Lake Chad Buffalo,,7,2.2662806005675336,12.238885000000067,Africa,Niger,NE,,Niger - W du Niger NP,2012-03-15,08:35
Merops orientalis,Animalia,BEEEATERS_MEROPIDAE,Green Bee-eater,,2,2.377400205005,12.226467632774,Africa,Niger,NE,,Niger - W du Niger NP,2012-03-13,15:44
Merops orientalis,Animalia,BEEEATERS_MEROPIDAE,Green Bee-eater,,1,2.2662806005675336,12.238885000000067,Africa,Niger,NE,,Niger - W du Niger NP,2012-03-13,15:20
